Cluster 1,Cluster 2,Distance,Sample Count
0.0,1.0,0.0,2.0
10.0,11.0,0.0,2.0
13.0,14.0,0.05009681374329164,2.0
16.0,17.0,0.060706665642957194,2.0
27.0,28.0,0.06139566192586307,2.0
31.0,32.0,0.06243100229156067,2.0
29.0,39.0,0.06457535338255033,3.0
15.0,37.0,0.06765721147515445,3.0
33.0,40.0,0.06886169149167504,3.0
30.0,43.0,0.07285066340092629,4.0
26.0,41.0,0.07554551400883619,4.0
5.0,6.0,0.07561010526079798,2.0
7.0,8.0,0.07632190634189823,2.0
34.0,44.0,0.0907490876893583,5.0
12.0,42.0,0.0910687482224624,4.0
24.0,25.0,0.10741572858519506,2.0
18.0,38.0,0.10743612923923977,3.0
21.0,22.0,0.11994053807076839,2.0
45.0,48.0,0.12973006482539537,9.0
2.0,3.0,0.1391540548390483,2.0
19.0,20.0,0.16343691976487107,2.0
9.0,47.0,0.1690136432177783,3.0
4.0,46.0,0.1730310442527608,3.0
23.0,50.0,0.17469581365212214,3.0
36.0,51.0,0.19548585271088081,5.0
49.0,59.0,0.3540090797509954,9.0
56.0,57.0,0.3649759455108057,6.0
52.0,58.0,0.4042461152052962,5.0
55.0,60.0,0.5306054559478498,11.0
35.0,54.0,0.61372419760801,4.0
53.0,62.0,0.851195633878463,14.0
61.0,65.0,1.4330891495477611,20.0
64.0,66.0,1.8220771472794122,24.0
63.0,67.0,3.35172619609221,35.0
