25C,60C,70C,75C,80C,85C,90C,95C,100C,105C,111C,117C,122C,154C,209C,264C,318C,372C,427C,481C,536C,590C,644C,650C,655C,661C,666C,672C,677C,688C,699C
111.16641757294737,111.16713545859614,111.16975422722334,111.29309140792769,111.3884182627591,111.39800060153478,111.38760321808363,111.37138507375347,111.3463027290384,111.40524159029887,111.40592436184593,111.40592436184592,111.40592436184593,111.40592436184593,111.4059243618459,111.4059243618459,111.4059243618459,111.24590501521668,110.93646782845885,111.03540301948874,110.80714028064446,110.79976340377925,110.5628713255517,110.56638549491089,110.59116758577986,110.61850153973572,110.6421072395208,110.63335774100779,110.75896719963099,110.76384824224996,110.96919417715728
106.89798562033116,106.89908905849887,106.89989815661072,106.77590563328741,106.47981737712074,106.42118419338156,106.41526161765705,106.41161690156694,106.41405705431451,106.25281455738246,106.25174907401575,106.25174907401578,106.25174907401575,106.25174907401573,106.25174907401576,106.25174907401578,106.25174907401578,106.47794863749635,106.39673621993325,106.49648177477388,106.9229857190825,106.96974808388222,107.50834102637002,107.5147045859285,107.54586120783264,107.59251045677904,107.62956625462473,107.94432619697419,108.00017879091745,108.00371529084065,108.35098092839253
111.28930216438995,111.28856912315145,111.28824198060714,111.16511168292419,111.2457260228164,111.31000036274166,111.30810233405192,111.35501541518525,111.39263994420041,111.54100244924577,111.54141952942393,111.54141952942392,111.54141952942392,111.54141952942392,111.54141952942389,111.54141952942392,111.54141952942389,111.90171157176694,112.66068029037429,112.93344483280929,113.1522163916218,113.14368157662493,113.29980589485288,113.29782262616617,113.29082617217142,113.28963477634284,113.29986503615429,113.27515649520248,113.20934247518493,113.20902227336292,113.17260992654062
106.50829811731886,106.5099590875985,106.51122558078471,106.69762597460374,106.68635579988992,106.66812789163855,106.69930855555668,106.6724252557706,106.65325096085235,106.50480406559302,106.50423068594598,106.50423068594598,106.50423068594598,106.50423068594601,106.50423068594603,106.50423068594601,106.504230685946,106.33469733029172,106.20131420910363,106.574038270767,106.9138541446019,106.99216710760398,107.38450150623905,107.39442614372052,107.43187762660894,107.49312227641822,107.53442590608005,107.89348193087156,108.02857707754586,108.0317176643639,108.5719921779886
113.17914817231923,113.17753025982415,113.17546888997775,113.27192817473271,113.61061907239869,113.70346391423911,113.71087023434343,113.71466547256098,113.71144505615975,113.91985796957827,113.92093740130504,113.92093740130503,113.92093740130504,113.92093740130505,113.92093740130505,113.92093740130501,113.92093740130503,113.54954429280943,113.32941568203334,113.03416602268142,112.50420734455784,112.45554205296416,111.90300358295696,111.89609897846476,111.86388446480292,111.82484884477019,111.78597517059042,111.49909992417592,111.43224979399096,111.42894969228175,111.15096390830314
107.40815838053584,107.40724506245702,107.4049850721135,107.23394839793704,106.96167435104242,106.8508103659598,106.83065859698199,106.8227584294335,106.82921197351857,106.66805452642011,106.66721052468023,106.66721052468024,106.66721052468023,106.66721052468021,106.66721052468021,106.66721052468024,106.66721052468026,106.81067548438175,106.76162489094689,106.21519862845783,106.06539561544876,106.01443209183677,105.79626529046227,105.78610105301709,105.73404178154404,105.64140611328838,105.56905402920471,105.25166743592598,105.06709511931632,105.05890904864245,104.28175987464545
107.55624040038927,107.5551064388377,107.5544231569965,107.45380675647442,107.29095176975085,107.2153291689695,107.18927720745396,107.17879374082152,107.17741159821115,107.09812270045512,107.0981227004551,107.09812270045524,107.09812270045519,107.09812270045518,107.09812270045524,107.09812270045508,107.0981227004552,107.08712044210492,106.75451208553108,106.18789954292772,105.80809861597243,105.74986176070168,105.35575137536055,105.34794384290858,105.31419232810357,105.24393183331719,105.19153160483374,104.8812152424478,104.78136231141059,104.77941298335718,104.18138507082772
113.45344583907128,113.45234212307832,113.45166774102121,113.5125038911555,113.67132905741163,113.71715076685916,113.71940413813749,113.7202946411938,113.72036206710304,113.78109188846676,113.78109188846686,113.78109188846683,113.78109188846685,113.78109188846676,113.78109188846697,113.78109188846675,113.78109188846682,113.68550291480642,113.66716440664867,113.65446149051057,113.53590288987236,113.52612880545975,113.38914376491846,113.38728764451331,113.37991470669981,113.37111222922486,113.35855930050955,113.28740266811721,113.27028531227734,113.26685100098143,113.20575337492438
111.45946256133476,111.46114686317212,111.46057192560629,111.4245909274276,111.5275723284481,111.58023435506047,111.59057789762825,111.6164150134279,111.64193337816928,111.69135621028667,111.69135621028656,111.6913562102864,111.69135621028659,111.6913562102865,111.69135621028647,111.69135621028656,111.69135621028639,111.9039671687656,112.39440866330206,112.6454951583731,112.82463327360817,112.83393394601781,113.0314152104315,113.03187555921218,113.03719756338445,113.05083968996449,113.06533436166225,113.14159075613485,113.13399701264495,113.13701618166976,113.23627623533804
106.32218919152145,106.32144068051899,106.32289254581002,106.43252479229682,106.4234417677004,106.41938822484252,106.43839499436585,106.43205154335864,106.42426260440264,106.393475029717,106.3934750297171,106.39347502971718,106.39347502971702,106.39347502971715,106.39347502971721,106.3934750297172,106.39347502971722,106.33841960851518,106.50614455497877,106.94817563610495,107.32987126477887,107.39318944042154,107.74787210940639,107.75563003974368,107.78261466561267,107.83179307955882,107.87235111779745,108.14277391939595,108.23109745586652,108.23095527480932,108.66692878628838
