25C,60C,70C,75C,80C,85C,90C,95C,100C,105C,111C,117C,122C,154C,209C,264C,318C,372C,427C,481C,536C,590C,644C,650C,655C,661C,666C,672C,677C,688C,699C
180.0,180.0,180.0,179.99311565735925,180.0,179.99929566778883,179.9985769736875,180.0,179.9999855613775,180.0,179.99999914622634,179.99999914622634,179.99999879258172,180.0,180.0,180.0,179.99999914622634,179.99622890809172,179.99875464506755,179.99621138110354,179.99928069278957,179.99928069329627,180.0,179.99999914622634,180.0,180.0,179.99928068113584,180.0,180.0,180.0,180.0
179.99999914622634,180.0,180.0,179.9974025852435,180.0,179.99929566778883,179.99856973520886,180.0,179.99929566778883,180.0,180.0,179.99999914622634,180.0,180.0,179.99999914622634,180.0,180.0,179.99785032019616,179.99929580906996,179.9985846292007,180.0,179.99999914622634,180.0,180.0,180.0,180.0,179.99928837262368,180.0,180.0,179.99999914622634,180.0
171.6178279672151,171.5995931096688,171.59857078752034,171.5159509662387,171.4932434251789,171.4475406043,171.45212345908027,171.45692241900605,171.46329147853427,171.4865931327029,171.4870238150605,171.48702381506052,171.48702381506064,171.48702381506058,171.48702381506067,171.48702381506067,171.4865931327029,171.83523720577475,172.1483479648841,172.21270324129407,172.32889189244256,172.33757658062197,172.36047049512672,172.3616278489465,172.36410727535923,172.3485399721711,172.33716446313284,172.28269100987123,172.31471369140908,172.31478141591757,172.42511014483028
171.66738672157268,171.65000790119396,171.64891199668043,171.572445317966,171.57654762152703,171.5369663700841,171.5401217286453,171.54921916135427,171.55512692696647,171.56001996457118,171.56044160775855,171.56044160775846,171.5604416077587,171.56044160775858,171.56044160775852,171.56044160775855,171.56001996457124,171.89015853526914,172.17204424273027,172.20763618955377,172.30489247758973,172.3076638505198,173.1745885102274,173.17374896419275,173.1655461620192,173.14520475359726,173.12669798099927,173.03077669023028,173.02331096514823,173.02171502582513,172.97208789673408
171.61782796721508,171.5995931096688,171.59857078752032,171.5139807202978,171.54343913168572,171.5243289908683,171.5240208170581,171.52678717069054,171.53136029266767,171.58503086108348,171.58503086108337,171.58503086108337,171.5850308610835,171.58503086108342,171.58503086108337,171.58503086108348,171.58491584720042,171.86380382166408,172.18176693041974,172.3050938151919,172.46915892850367,172.49458272973843,172.61923888084215,172.62228140576244,172.63029133732456,172.6244060917917,172.63003427154706,172.61807792147067,172.65436976141433,172.6513805928134,172.80945247790387
171.61782796721494,171.6002367217519,171.59929078432737,171.5197274106065,171.56352894210596,171.55651150851304,171.55779533930757,171.5604163592905,171.56454691849393,171.5897570486671,171.5902797930022,171.59041594074333,171.59041594074355,171.59041594074333,171.5904159407434,171.5904159407434,171.59027979300214,171.77532709033494,171.91376089948196,171.87913413970062,171.93442310080212,171.93976453494778,171.91278416047,171.91340651605634,171.91440866942818,171.9098518538267,171.90125220976364,171.8572242708407,171.86168146940057,171.8683746228403,171.86468972610112
171.61782796721496,171.5995931096688,171.5985707875204,171.50664447845907,171.49396729104868,171.44819548449487,171.45138282410917,171.45744399024045,171.46439994260572,171.48659313270286,171.48702381506052,171.48702381506052,171.48702381506064,171.48702381506064,171.48702381506067,171.48702381506067,171.48659313270292,171.8291494583885,172.148967154522,172.2155336041347,172.3276765914517,172.33830209949562,172.36107119511627,172.36162784894657,172.36410727535934,172.3485399721711,172.33716446313284,172.28269100987131,172.314713691409,172.31478141591757,172.42511014483028
171.66738672157263,171.65000790119396,171.64891199668048,171.57309573780282,171.5765476215271,171.53857434956356,171.54118073839976,171.54942283780053,171.55866743204766,171.56001996457118,171.56044160775858,171.56044160775852,171.56044160775863,171.56044160775858,171.56044160775858,171.56044160775852,171.56001996457124,171.88861665787206,172.17183002316924,172.20789209813304,172.30429761464237,172.30809780919645,173.1745885102275,173.1737489641928,173.1655461620192,173.14520475359734,173.12526652659471,173.03077669023023,173.0233109651484,173.02171502582522,172.97208789673408
156.53439403487627,156.53151550492123,156.52913017701988,156.3994324878495,156.06039455369609,156.05569669416244,156.02501432018175,156.01159579564296,155.99247226443435,156.10987397619195,156.10987397619192,156.10987397619192,156.10987397619186,156.10987397619192,156.10987397619184,156.10987397619192,156.10987397619186,155.99426981628153,155.6995247980616,155.3067078274525,155.0803424276844,155.04970870978798,154.78961740497957,154.78735669650013,154.77869197475417,154.75003004560278,154.73107037392535,154.56632733112932,154.59211739689226,154.59145630330582,154.33498872502875
156.55363532059295,156.55207146964443,156.55018418926682,156.43829818315396,156.09233173892392,156.0887013224604,156.05692374811946,156.04384988954274,156.02802245176454,156.14612784988861,156.14612784988879,156.1461278498889,156.1461278498887,156.1461278498887,156.14612784988867,156.14612784988876,156.14612784988867,156.0778004006032,155.89380000584165,155.65245386514212,155.52293949447852,155.50856366672747,155.44860710526441,155.44785226173832,155.44937529019964,155.42907824165547,155.4251180108122,155.32122278648455,155.38949083128264,155.38760796401152,155.2610881687024
165.02246752207725,165.02167676705014,165.02344033988157,165.1221995529881,165.24053485351024,165.2734368373328,165.28295652217219,165.2906963815038,165.29807738252154,165.306197114866,165.3061971148659,165.30619711486597,165.30619711486605,165.3061971148659,165.306197114866,165.306197114866,165.3061971148659,165.03212190579345,164.6136342928679,164.90322538601148,165.08275318767505,165.07958023443305,164.95047849818366,164.95326676999719,164.96522886894203,164.97007907928213,164.9723375128569,164.99016586004169,164.97646749877168,164.9762875907454,164.9856695741173
163.61667373186748,163.61623699652043,163.61696609034306,163.6534844759409,163.7097586874341,163.7541227966943,163.7662508308885,163.77379250021255,163.78018937977794,163.7730576678492,163.77305766784906,163.77305766784912,163.7730576678493,163.77305766784906,163.77305766784906,163.77305766784906,163.77305766784917,163.6489868005251,163.53086919363463,163.63553118342304,163.7349034875344,163.73150052478795,163.65093008876553,163.65048490385024,163.65507311101115,163.65389412896627,163.65151757059115,163.63916986783738,163.63657908340338,163.63741904513662,163.61080055566163
161.9703484853762,161.97004441932788,161.9704491377032,161.93061322228874,161.84487007164216,161.87045717028025,161.8839647954898,161.8870639104422,161.89269951252763,161.83746122477638,161.83746122477638,161.83746122477632,161.83746122477632,161.83746122477635,161.83746122477632,161.8374612247765,161.8374612247765,161.8748766207627,161.91419001150146,162.14239988742096,162.45816085068353,162.50201526888483,162.75546546320973,162.76121027194583,162.77975627303636,162.80957991090995,162.83382697037308,163.01223317895648,163.06138199473514,163.06280104058308,163.3464004808448
162.04014142351528,162.040766623343,162.04138583419234,162.0097980058445,161.90256338524122,161.92183025827768,161.94001160000198,161.93975205088213,161.94285761856813,161.82516488777685,161.8244186710412,161.8244186710412,161.8244186710412,161.8244186710412,161.8244186710412,161.8244186710412,161.8244186710412,161.8866342701697,161.91544362588573,162.17404209486236,162.554747919649,162.60912241427906,162.9281208437359,162.93639935942787,162.9605635046987,162.99638100368958,163.0216340331624,163.26170121972444,163.32267089666465,163.32822358922274,163.65722386063084
155.56290889422007,155.5639777196041,155.56503106625632,155.62941390070586,155.59528552666757,155.67313085008183,155.68603739865716,155.6839821367836,155.69029570168348,155.75177521737447,155.7508926574828,155.7508926574829,155.75089265748278,155.7508926574829,155.75089265748286,155.7508926574828,155.7508926574828,155.9214466013248,156.33951697503701,157.12910691948673,157.471319956908,157.52974492389748,157.44551526479972,157.45515559165804,157.48803154144505,157.50788143953628,157.5544165219556,157.61202057336865,157.70694482340312,157.70712051972797,157.85436526869373
155.56290889422021,155.56397771960397,155.56503106625607,155.62194391295367,155.57357426592452,155.64266568043908,155.65298353128483,155.6474974852835,155.65110896168247,155.64859224250898,155.64859224250876,155.64859224250895,155.64859224250884,155.6485922425088,155.64859224250887,155.6485922425088,155.64859224250904,155.84663073690518,156.2317093066377,156.66213844085092,156.82492894623684,156.85041770954754,156.85590216505085,156.86008212534566,156.8717575592131,156.87220355797874,156.88916103944433,156.88264878160382,156.90404840559492,156.9109571770362,156.8506552637767
156.53439403487633,156.53151550492132,156.52913017701994,156.40431804972653,156.06147370844474,156.05643527936354,156.02509673082747,156.0110170388962,155.99371028314073,156.10987397619198,156.10987397619198,156.10987397619198,156.10987397619195,156.10987397619198,156.10987397619192,156.10987397619198,156.10987397619198,156.00680048950844,155.79718875103922,155.4862561931078,155.30404178990506,155.28379654193378,155.14980097391933,155.14687042129637,155.14140661761965,155.11570817990068,155.10432723362155,154.96146511416634,155.00068790962794,155.00076472960055,154.77351388956427
156.55363532059295,156.55207146964443,156.55018418926684,156.43911850733227,156.09233173892392,156.08796254887065,156.0569237481194,156.04327181750506,156.02823041752265,156.14612784988864,156.14612784988879,156.14612784988884,156.1461278498887,156.1461278498887,156.14612784988864,156.14612784988876,156.1461278498887,156.07550654274775,155.89407962542262,155.65273042996117,155.52236911691088,155.50870047131386,155.4486071052644,155.4478522617383,155.44937529019964,155.42907824165547,155.42511801081224,155.32122278648455,155.38949083128264,155.38760796401152,155.2610881687024
164.10569961174284,164.10569961174295,164.10653611051458,164.23008234657715,164.35087981875262,164.38648044425278,164.3970052373184,164.4025052767062,164.4103386945222,164.4424694883176,164.44246948831776,164.44246948831773,164.44246948831767,164.4424694883176,164.4424694883178,164.44246948831784,164.4424694883178,164.04336311067894,163.38098802342995,163.49890889038352,163.56757624227305,163.53715108432743,163.15069861006617,163.15124531542736,163.1554299363687,163.13998574806408,163.12384919586322,163.00976507643662,162.95791556449564,162.95595666909767,162.8034365073615
163.871963475126,163.87196347512588,163.8724950229404,163.9430091786109,163.97270277841463,163.9849793129078,163.98684276583262,163.98821075662786,163.9921286694656,163.99005263745806,163.99005263745806,163.99005263745798,163.99005263745804,163.99005263745795,163.99005263745812,163.99005263745792,163.99005263745798,163.79001129557778,163.5203769994169,163.50782056356206,163.45306242324912,163.4302699893327,163.17699205000858,163.17637096092758,163.17459310722015,163.16002282889716,163.14477364735316,163.04633653269818,163.0229967703673,163.02178158764627,162.9149471031748
