25C,60C,70C,75C,80C,85C,90C,95C,100C,105C,111C,117C,122C,154C,209C,264C,318C,372C,427C,481C,536C,590C,644C,650C,655C,661C,666C,672C,677C,688C,699C
157.15044932024767,157.1526893429134,157.15512777172546,157.26920879355623,157.09004373896207,157.090665402661,157.08825852122698,157.08459873812095,157.07378430907792,156.98618485424458,156.98625404708517,156.98625404708517,156.9862540470852,156.98625404708517,156.98625404708523,156.98625404708517,156.98625404708517,157.06509163382836,156.8828254042919,156.6923768907637,156.46782876812716,156.43596885815938,156.26098426083655,156.25752915237902,156.24816969833702,156.21374968036773,156.2058494368449,155.92907018193438,155.90208235973085,155.90170229189445,155.56571334357957
157.28058837960498,157.2820132215351,157.28461642697653,157.39491995748833,157.18360309930202,157.14743126982526,157.16660132366206,157.1598126317612,157.14616781212098,157.00707695345756,157.00751489149238,157.0075148914924,157.0075148914923,157.00751489149224,157.00751489149238,157.00751489149226,157.00751489149226,157.074876338986,156.89505481558814,156.59026234250948,156.33970907216496,156.30525492687437,156.0744410977663,156.07039782407568,156.0590687452898,156.03003095445376,156.0143665613327,155.8162606821459,155.7937142010339,155.798063486622,155.52532738042976
153.22593945151078,153.22581498977183,153.22588611629138,153.05573104341366,152.6087643795448,152.5385859523543,152.49308455732134,152.4876408335827,152.46630713741862,152.46540576674667,152.46628711238907,152.46628711238904,152.46628711238907,152.46628711238915,152.46628711238907,152.46628711238907,152.466287112389,152.4482947351281,152.40345820140652,152.1662570659701,151.95189741192107,151.940479024893,151.83726034653225,151.83944728997886,151.83466056293736,151.83904996788485,151.83428490115034,151.8066436426761,151.79749032746767,151.79668755469888,151.7340596537761
153.27165104718517,153.27147801254088,153.2707322609247,153.08810563239874,152.5617678866386,152.63593308272215,152.62135023893956,152.62435239953194,152.66492606579303,152.64968974668747,152.64968974668744,152.64968974668744,152.6496897466874,152.64968974668747,152.6496897466875,152.64968974668744,152.64968974668744,152.5883607677023,152.42479275548214,152.05540080946298,151.7423414223577,151.72763270290434,151.5835593943051,151.58484326953854,151.57696329153515,151.57501198690093,151.5594691061165,151.48197293681957,151.46648564304078,151.46395601907415,151.29721470025203
154.44082213027275,154.44143570958258,154.4414398869655,154.37803128603952,154.46595165527853,154.37974310696393,154.34258439341914,154.31323398222952,154.26989334422547,154.21238157243639,154.21258682651668,154.2125868265168,154.21258682651677,154.21258682651694,154.21258682651685,154.21258682651677,154.21258682651674,154.1506855086632,154.13505739333047,153.87525981106185,153.42155434723992,153.39038399668715,153.09573456491853,153.09206643705915,153.075424797175,153.0389876609337,153.031101385573,152.847456858794,152.75719287498754,152.75390325978165,152.23860869274193
154.74692422960413,154.74892571292494,154.74892631360507,154.703502436419,154.73160637657284,154.57428368396108,154.5141925695866,154.50946910894456,154.51346758871176,154.4792510151792,154.48006657890215,154.48006657890215,154.48006657890213,154.48006657890213,154.48006657890213,154.48006657890213,154.48006657890213,154.43422172412053,154.47900034040288,154.29372699084712,153.87998956409854,153.85498039888296,153.60821429446028,153.60701766353588,153.59414540779656,153.5655554776855,153.5702869331816,153.43298181990974,153.3614500767985,153.35836269330534,152.91292311856824
154.382699609597,154.3834992223967,154.38278484489908,154.41142986231472,154.3360244691347,154.2588906361787,154.2435597960338,154.23328784574107,154.27024562548914,154.1690120647572,154.16871678401375,154.16871678401375,154.16871678401375,154.16871678401367,154.16871678401378,154.16871678401364,154.1687167840137,154.01194158640573,153.9147030577481,153.63590036424154,153.42391476682917,153.42038611537075,153.21831501057147,153.2158572926337,153.22019409052123,153.2326403291151,153.22573975529087,153.23362027467255,153.23822673686928,153.23890302041661,153.0497632382305
154.5407734603012,154.5418742606577,154.5420023294117,154.6032789093256,154.49970155762514,154.41759602973542,154.43640516004942,154.43172964496515,154.49312518414317,154.35599551875856,154.355218698412,154.35521869841193,154.35521869841193,154.3552186984119,154.355218698412,154.3552186984119,154.35521869841193,154.14537602546616,154.00964987015743,153.6051918000277,153.31321778156504,153.2999578604862,153.0579078842136,153.05420723806182,153.05791965311343,153.06357104172352,153.0550841982379,153.04176144560384,153.03752548278848,153.03713471147088,152.8058942102945
157.26500307782274,157.26917747746225,157.27357808150242,157.40981878296733,157.4025804811411,157.44408976052307,157.50896498142154,157.52159906408352,157.55312444057023,157.39297231983787,157.39264741709184,157.39264741709184,157.39264741709187,157.39264741709184,157.39264741709187,157.39264741709184,157.39264741709184,157.45812116444722,157.22919073439937,156.947469285397,156.67700242841195,156.64682029747144,156.41644431187254,156.41060844013236,156.39710921368686,156.35517118896888,156.34176505837095,156.0344347496501,155.99003027120088,155.98868510275116,155.5959649619945
157.4052250589234,157.40891052533343,157.41189836712476,157.47436493351006,157.36127239927507,157.39957246100076,157.38343575207622,157.35142376814713,157.32797091321922,157.14954086234422,157.14940238457982,157.14940238457987,157.14940238457982,157.14940238457973,157.1494023845799,157.14940238457982,157.1499688387754,157.21488492921407,157.00686509850414,156.6720293191261,156.38820841672668,156.3507865154911,156.08765815009465,156.08212758252847,156.06515907224752,156.03061192593927,156.00890834443203,155.78586486291766,155.7483431796673,155.75190317845932,155.43087666034089
153.1796768161448,153.17965965892495,153.179733519219,153.05682310185887,152.86167189757674,152.82009824286632,152.73764752726018,152.6972630108798,152.61939591803375,152.67778344317747,152.67778344317753,152.67778344317745,152.6777834431775,152.6777834431776,152.67778344317762,152.67778344317756,152.67778344317747,152.7098675338088,152.81659807931533,152.74818216889958,152.6610892479938,152.65925740847882,152.65511799145145,152.65665687551473,152.65728654496317,152.6677233273751,152.67169185676622,152.67462334867642,152.702701040079,152.7028457549639,152.7069115322678
153.12808732200105,153.1280145461189,153.12731983955834,153.00246547824884,152.55780832470097,152.50794209182075,152.46306965035447,152.47818910832208,152.4637040960222,152.43596409011354,152.43657770286302,152.43657770286305,152.436577702863,152.436577702863,152.43657770286308,152.43657770286305,152.43657770286302,152.42603592372978,152.30970531648057,151.96501954731917,151.6641345602653,151.64893959837386,151.52678836342935,151.52900034866352,151.52173075752273,151.52062955282335,151.50577128548872,151.4339721548574,151.4226594605682,151.42039729914757,151.2506923914778
