Temperature,Path,Final_Rw,a,vol,outlier_pct,VO_Total,VO_Outliers,VO_Outlier_Pct,Mean_U_tra_V-O-V,Mean_U_tra_Zr-O-V,Uiso_O_Phase0,Uiso_O_Phase0_err,Uiso_V_Phase0,Uiso_V_Phase0_err,Uiso_Zr_Phase0,Uiso_Zr_Phase0_err,delta2_Phase0,delta2_Phase0_err,psize_Phase0,psize_Phase0_err,s_Phase0,s_Phase0_err
25,fits/NewResults_Feb2026/Fit_ContinousSeries/ZirconiumVanadate_Refinement09012026_FreshStartIso100CPhaseTransition/PDF_ZrV2O7_061_25C_avg_46_65_00000 (Copy),0.1456967299687963,26.3398,18274.159829800796,0,800,115,14.374999999999998,0.409082838379422,0.44410121678956094,0.00559090449,25814984300.0,0.000549170357,4099994700.0,0.000675133046,4634503640.0,2.55991326,27637130100000.0,184.804484,428908136000.0,0.490796968,2885154770.0
25,fits/NewResults_Feb2026/Fit_ContinousSeries/ZirconiumVanadate_Refinement09012026_FreshStartIso100CPhaseTransition/PDF_ZrV2O7_061_25C_avg_46_65_00000,0.1470012752640903,26.3399,18274.3679661102,0,800,115,14.374999999999998,0.40903050103545013,0.4441015146325505,0.00555935279,74163526400.0,0.000532647896,11253257100.0,0.000711189976,16036380300.0,2.55989096,88972487200000.0,184.804484,1432028480000.0,0.490320838,9717232420.0
60,fits/NewResults_Feb2026/Fit_ContinousSeries/ZirconiumVanadate_Refinement09012026_FreshStartIso100CPhaseTransition/PDF_ZrV2O7_061_60C_avg_66_85_00000,0.1288368242776401,26.3635,18323.532345572872,0,800,115,14.374999999999998,0.40947049554522813,0.44450196354839977,0.00639108712,2596280130000.0,0.00119421463,592582870000.0,0.000105797997,48063506400.0,2.56374818,1831990210000000.0,184.804489,30763426500000.0,0.497171531,638562253000.0
70,fits/NewResults_Feb2026/Fit_ContinousSeries/ZirconiumVanadate_Refinement09012026_FreshStartIso100CPhaseTransition/PDF_ZrV2O7_061_70C_avg_106_125_00000,0.1270920099051525,26.3722,18341.67872344305,0,800,115,14.374999999999998,0.40962015759103254,0.4446603017213411,0.00664004386,4201254100000.0,0.00145953511,1153626200000.0,0.000148545331,129274188000.0,2.5645004,1949981080000000.0,184.804495,54723127800000.0,0.505220374,968021240000.0
75,fits/NewResults_Feb2026/Fit_ContinousSeries/ZirconiumVanadate_Refinement09012026_FreshStartIso100CPhaseTransition/PDF_ZrV2O7_061_75C_avg_126_145_00000,0.1225107163010679,26.3945,18388.24655563363,0,800,119,14.875,0.4102853673723208,0.4460997093999156,0.00652681223,8187607040000.0,0.00140327985,2338975300000.0,0.000212507094,324726148000.0,2.55231859,3771061460000000.0,184.804535,107976153000000.0,0.516539767,1398133240000.0
80,fits/NewResults_Feb2026/Fit_ContinousSeries/ZirconiumVanadate_Refinement09012026_FreshStartIso100CPhaseTransition/PDF_ZrV2O7_061_80C_avg_146_165_00000,0.113341319105592,26.4067,18413.756451588764,0,800,119,14.875,0.4122777284349518,0.4470746963593553,0.0061087673,1421394050000.0,0.000887111803,249415397000.0,9.5097955e-05,26400997200.0,2.55591075,854481671000000.0,255.31134,17997410000000.0,0.496116103,419157544000.0
85,fits/NewResults_Feb2026/Fit_ContinousSeries/ZirconiumVanadate_Refinement09012026_FreshStartIso100CPhaseTransition/PDF_ZrV2O7_061_85C_avg_166_185_00000,0.1059180051695039,26.4106,18421.91622810301,0,800,122,15.25,0.4125534416329939,0.4473332147168263,0.00622155766,854009098000.0,0.000809135939,121777208000.0,3.9863798e-05,5680801550.0,2.55716338,581341021000000.0,255.31134,9881248560000.0,0.498227347,271957867000.0
90,fits/NewResults_Feb2026/Fit_ContinousSeries/ZirconiumVanadate_Refinement09012026_FreshStartIso100CPhaseTransition/PDF_ZrV2O7_061_90C_avg_186_205_00000,0.104191121169918,26.4106,18421.91622810301,0,800,122,15.25,0.4125833647656427,0.44752678255116113,0.00630391669,515302819000.0,0.000827564213,85021016200.0,2.81115236e-05,2829233570.0,2.55755547,259306832000000.0,255.31134,6676769610000.0,0.50181989,189456643000.0
95,fits/NewResults_Feb2026/Fit_ContinousSeries/ZirconiumVanadate_Refinement09012026_FreshStartIso100CPhaseTransition/PDF_ZrV2O7_061_95C_avg_206_225_00000,0.1027639563315919,26.411,18422.753264531002,0,800,122,15.25,0.4126634785126245,0.44765043799112514,0.00648326561,548599393000.0,0.000958279693,109723982000.0,2.69800385e-05,2644578160.0,2.55810194,258836299000000.0,255.31134,6777434870000.0,0.500936605,193389539000.0
100,fits/NewResults_Feb2026/Fit_ContinousSeries/ZirconiumVanadate_Refinement09012026_FreshStartIso100CPhaseTransition/PDF_ZrV2O7_061_100C_avg_226_245_00000,0.1055756097665408,26.4125,18425.89237695313,0,800,122,15.25,0.41270547459084306,0.4478444418869919,0.00654406554,431594642000.0,0.00103453273,73559540400.0,2.58881031e-05,2210593350.0,2.55819368,218830663000000.0,255.31134,5139782490000.0,0.503077044,150164629000.0
