Results written: Sun Feb  1 02:14:56 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01874434
Contributions  0.01874434
Restraints     0.00000000
Chi2           3.88724311
Reduced Chi2   0.01561142
Rw             0.13690996

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   6.72408479e-03 +/- 8.32074060e+11
Uiso_V_Phase0   1.40313856e-03 +/- 1.75556006e+11
Uiso_Zr_Phase0  1.07983768e-04 +/- 1.29306630e+10
a_Phase0        2.64644073e+01 +/- 1.28289566e+13
delta2_Phase0   2.56115919e+00 +/- 6.80711690e+13
psize_Phase0    2.55311345e+02 +/- 2.96068453e+13
s_Phase0        5.19501786e-01 +/- 7.67680896e+11
x_O0_Phase0     4.03923627e-02 +/- 4.71842538e+12
x_O100_Phase0   9.04836520e-01 +/- 2.75735417e+13
x_O101_Phase0   9.52409537e-02 +/- 1.07824129e+13
x_O102_Phase0   5.96856617e-01 +/- 2.46121064e+13
x_O120_Phase0   2.11212835e-02 +/- 2.66995216e+12
x_O122_Phase0   4.79654851e-01 +/- 2.38725682e+13
x_O124_Phase0   9.78981726e-01 +/- 2.60234588e+13
x_O126_Phase0   5.21311654e-01 +/- 2.45766526e+13
x_O144_Phase0   1.36764034e-01 +/- 1.52475115e+13
x_O146_Phase0   3.62680960e-01 +/- 2.33039249e+13
x_O148_Phase0   8.63118552e-01 +/- 2.61837038e+13
x_O150_Phase0   6.36183138e-01 +/- 2.72206916e+13
x_O151_Phase0   3.63640040e-01 +/- 2.45417211e+13
x_O168_Phase0   7.22267680e-02 +/- 9.02927795e+12
x_O170_Phase0   4.26540384e-01 +/- 2.31612172e+13
x_O172_Phase0   9.25745601e-01 +/- 2.75651903e+13
x_O174_Phase0   5.74959782e-01 +/- 2.72962858e+13
x_O175_Phase0   4.24643396e-01 +/- 2.41345417e+13
x_O180_Phase0   1.31308789e-01 +/- 1.40369922e+13
x_O181_Phase0   8.68669427e-01 +/- 2.87157158e+13
x_O182_Phase0   6.32214444e-01 +/- 2.74966249e+13
x_O189_Phase0   3.09150118e-01 +/- 2.23041371e+13
x_O192_Phase0   2.16616822e-02 +/- 2.70260609e+12
x_O193_Phase0   9.78485127e-01 +/- 2.82073534e+13
x_O194_Phase0   4.77645044e-01 +/- 2.46203614e+13
x_O196_Phase0   9.77489064e-01 +/- 2.82507201e+13
x_O197_Phase0   2.19806000e-02 +/- 2.42695967e+12
x_O198_Phase0   5.22932684e-01 +/- 2.54061631e+13
x_O205_Phase0   6.87488849e-01 +/- 2.74502532e+13
x_O218_Phase0   1.62558960e-01 +/- 1.65104008e+13
x_O224_Phase0   1.58051981e-01 +/- 1.55193039e+13
x_O226_Phase0   3.38966283e-01 +/- 2.42776768e+13
x_O228_Phase0   8.38795117e-01 +/- 2.79182332e+13
x_O230_Phase0   6.58913854e-01 +/- 2.47920565e+13
x_O234_Phase0   1.82614697e-03 +/- 2.32303363e+11
x_O236_Phase0   9.97585218e-01 +/- 2.74105432e+13
x_O248_Phase0   1.64064948e-01 +/- 1.65604241e+13
x_O24_Phase0    2.27886174e-02 +/- 2.68046546e+12
x_O250_Phase0   3.37665648e-01 +/- 2.41776124e+13
x_O251_Phase0   6.62238436e-01 +/- 2.72120906e+13
x_O252_Phase0   8.34417134e-01 +/- 2.60247036e+13
x_O254_Phase0   6.63038493e-01 +/- 2.87171321e+13
x_O26_Phase0    4.75902762e-01 +/- 2.48544428e+13
x_O272_Phase0   1.11796902e-02 +/- 1.25174538e+12
x_O274_Phase0   4.88374740e-01 +/- 2.39102592e+13
x_O276_Phase0   9.88367487e-01 +/- 2.53648792e+13
x_O278_Phase0   5.12081374e-01 +/- 2.32927612e+13
x_O28_Phase0    9.75969549e-01 +/- 2.67799583e+13
x_O296_Phase0   5.84780855e-03 +/- 7.21034305e+11
x_O298_Phase0   4.96416163e-01 +/- 2.44278127e+13
x_O2_Phase0     4.60218252e-01 +/- 2.49985154e+13
x_O300_Phase0   9.95149202e-01 +/- 2.65799049e+13
x_O302_Phase0   5.06244410e-01 +/- 2.45054335e+13
x_O30_Phase0    5.23651783e-01 +/- 2.53224071e+13
x_O320_Phase0   3.58409281e-01 +/- 2.45304313e+13
x_O322_Phase0   1.41484962e-01 +/- 1.36220164e+13
x_O324_Phase0   6.41045047e-01 +/- 2.53483176e+13
x_O326_Phase0   8.58802291e-01 +/- 2.68007480e+13
x_O328_Phase0   4.37762351e-01 +/- 2.44716762e+13
x_O335_Phase0   4.39537358e-01 +/- 2.65245736e+13
x_O344_Phase0   1.08130179e-02 +/- 1.34589042e+12
x_O346_Phase0   4.89196497e-01 +/- 2.40650973e+13
x_O348_Phase0   9.88552562e-01 +/- 2.56413234e+13
x_O350_Phase0   5.09354835e-01 +/- 2.44048316e+13
x_O368_Phase0   2.35619407e-01 +/- 1.99906802e+13
x_O370_Phase0   2.64719893e-01 +/- 1.97967914e+13
x_O372_Phase0   7.67086966e-01 +/- 2.59706949e+13
x_O374_Phase0   7.32376849e-01 +/- 2.50147604e+13
x_O392_Phase0   2.83974067e-01 +/- 2.10462204e+13
x_O394_Phase0   2.16216217e-01 +/- 1.88823154e+13
x_O396_Phase0   7.18501925e-01 +/- 2.50916132e+13
x_O398_Phase0   7.83242952e-01 +/- 2.54328210e+13
x_O3_Phase0     5.39802829e-01 +/- 2.69463334e+13
x_O416_Phase0   1.91297881e-01 +/- 1.70746664e+13
x_O418_Phase0   3.09930973e-01 +/- 2.37508757e+13
x_O419_Phase0   6.90061488e-01 +/- 2.74519974e+13
x_O420_Phase0   8.09952886e-01 +/- 2.60733051e+13
x_O422_Phase0   6.90095388e-01 +/- 2.76063502e+13
x_O423_Phase0   3.09744695e-01 +/- 2.35424199e+13
x_O431_Phase0   2.98697281e-01 +/- 2.33440511e+13
x_O440_Phase0   1.57417331e-01 +/- 1.55603627e+13
x_O441_Phase0   8.42510230e-01 +/- 2.79471048e+13
x_O442_Phase0   3.43559371e-01 +/- 2.39582133e+13
x_O444_Phase0   8.43140001e-01 +/- 2.85119470e+13
x_O445_Phase0   1.56717635e-01 +/- 1.52749906e+13
x_O446_Phase0   6.57858527e-01 +/- 2.75202052e+13
x_O447_Phase0   3.42076199e-01 +/- 2.47656114e+13
