Results written: Mon Feb  2 21:00:05 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01886287
Contributions  0.01886287
Restraints     0.00000000
Chi2           3.77957094
Reduced Chi2   0.00087571
Rw             0.13734215

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   6.95363409e-03 +/- 3.19712735e+12
Uiso_V_Phase0   1.61387165e-03 +/- 1.02214840e+12
Uiso_Zr_Phase0  1.17492685e-04 +/- 7.32405928e+10
a_Phase0        2.64642974e+01 +/- 1.44319075e+13
delta2_Phase0   2.56112746e+00 +/- 8.14908775e+14
psize_Phase0    2.55311347e+02 +/- 4.11635419e+13
s_Phase0        5.12664213e-01 +/- 8.58193088e+11
x_O0_Phase0     4.03923628e-02 +/- 2.13780903e+13
x_O100_Phase0   9.04836520e-01 +/- 4.06568084e+13
x_O101_Phase0   9.52409537e-02 +/- 3.36743399e+13
x_O102_Phase0   5.96856617e-01 +/- 4.06503225e+13
x_O103_Phase0   4.03143383e-01 +/- 4.03998260e+13
x_O104_Phase0   3.53459314e-01 +/- 4.03263178e+13
x_O105_Phase0   6.46540686e-01 +/- 4.07031585e+13
x_O106_Phase0   8.52075382e-01 +/- 4.07760340e+13
x_O107_Phase0   1.47924618e-01 +/- 3.79717538e+13
x_O108_Phase0   1.46128028e-01 +/- 3.76737825e+13
x_O109_Phase0   8.53866768e-01 +/- 4.08110892e+13
x_O10_Phase0    5.90259076e-01 +/- 4.06496617e+13
x_O110_Phase0   6.46651321e-01 +/- 4.07391602e+13
x_O111_Phase0   3.53348679e-01 +/- 4.03403462e+13
x_O112_Phase0   3.70765873e-01 +/- 4.03988029e+13
x_O113_Phase0   6.29234127e-01 +/- 4.06876898e+13
x_O114_Phase0   6.30116004e-01 +/- 4.07588404e+13
x_O115_Phase0   3.69883996e-01 +/- 4.04117069e+13
x_O116_Phase0   8.71834971e-01 +/- 4.08487171e+13
x_O117_Phase0   1.28116876e-01 +/- 3.63702431e+13
x_O118_Phase0   1.29363639e-01 +/- 3.69201015e+13
x_O119_Phase0   8.70636361e-01 +/- 4.07998143e+13
x_O11_Phase0    4.09737571e-01 +/- 4.04038569e+13
x_O120_Phase0   2.11212835e-02 +/- 1.63374020e+13
x_O121_Phase0   9.78878716e-01 +/- 4.08251017e+13
x_O122_Phase0   4.79654851e-01 +/- 4.03919441e+13
x_O123_Phase0   5.20345149e-01 +/- 4.05496363e+13
x_O124_Phase0   9.78981726e-01 +/- 4.07613565e+13
x_O125_Phase0   2.10182739e-02 +/- 1.31065627e+13
x_O126_Phase0   5.21311654e-01 +/- 4.06845098e+13
x_O127_Phase0   4.78688346e-01 +/- 4.05018395e+13
x_O128_Phase0   3.77604091e-01 +/- 4.02429476e+13
x_O129_Phase0   6.22395909e-01 +/- 4.06618026e+13
x_O12_Phase0    4.10417220e-01 +/- 4.02243217e+13
x_O130_Phase0   8.88772781e-01 +/- 4.02202209e+13
x_O131_Phase0   1.11227219e-01 +/- 3.58537590e+13
x_O132_Phase0   1.21874605e-01 +/- 3.61317531e+13
x_O133_Phase0   8.78125395e-01 +/- 4.06739622e+13
x_O134_Phase0   6.22077982e-01 +/- 4.07374267e+13
x_O135_Phase0   3.77922018e-01 +/- 4.04865427e+13
x_O136_Phase0   4.33838833e-01 +/- 4.01951525e+13
x_O137_Phase0   5.66161167e-01 +/- 4.04870185e+13
x_O138_Phase0   5.73915135e-01 +/- 3.97016238e+13
x_O139_Phase0   4.26084865e-01 +/- 3.95699306e+13
x_O13_Phase0    5.89582780e-01 +/- 4.05360228e+13
x_O140_Phase0   9.34483742e-01 +/- 4.06158403e+13
x_O141_Phase0   6.55162577e-02 +/- 2.99396761e+13
x_O142_Phase0   6.51708506e-02 +/- 2.88544688e+13
x_O143_Phase0   9.34829149e-01 +/- 4.06724878e+13
x_O144_Phase0   1.36764034e-01 +/- 3.81952407e+13
x_O145_Phase0   8.63235966e-01 +/- 4.08040383e+13
x_O146_Phase0   3.62680960e-01 +/- 4.03759936e+13
x_O147_Phase0   6.37319040e-01 +/- 4.07033009e+13
x_O148_Phase0   8.63118552e-01 +/- 4.08334700e+13
x_O149_Phase0   1.36881448e-01 +/- 3.75892241e+13
x_O14_Phase0    9.11080097e-01 +/- 4.06766284e+13
x_O150_Phase0   6.36183138e-01 +/- 4.07146221e+13
x_O151_Phase0   3.63640040e-01 +/- 4.03448402e+13
x_O152_Phase0   3.63473418e-01 +/- 4.03006132e+13
x_O153_Phase0   6.36526582e-01 +/- 4.06318691e+13
x_O154_Phase0   8.63278587e-01 +/- 4.07593433e+13
x_O155_Phase0   1.36721413e-01 +/- 3.68229169e+13
x_O156_Phase0   1.35229360e-01 +/- 3.63547281e+13
x_O157_Phase0   8.64770640e-01 +/- 4.07599260e+13
x_O158_Phase0   6.36555755e-01 +/- 4.06759193e+13
x_O159_Phase0   3.63481507e-01 +/- 4.03027433e+13
x_O15_Phase0    8.89199034e-02 +/- 3.25492956e+13
x_O160_Phase0   2.71369361e-01 +/- 3.98746220e+13
x_O161_Phase0   7.28630639e-01 +/- 4.07451250e+13
x_O162_Phase0   7.28420572e-01 +/- 4.07145924e+13
x_O163_Phase0   2.71579428e-01 +/- 3.97323519e+13
x_O164_Phase0   7.69659346e-01 +/- 4.07963596e+13
x_O165_Phase0   2.30340654e-01 +/- 3.97282561e+13
x_O166_Phase0   2.28399232e-01 +/- 3.94354310e+13
x_O167_Phase0   7.71719974e-01 +/- 4.07430742e+13
x_O168_Phase0   7.22267680e-02 +/- 3.06413301e+13
x_O169_Phase0   9.27773232e-01 +/- 4.07560509e+13
x_O16_Phase0    3.47392078e-01 +/- 4.03210774e+13
x_O170_Phase0   4.26540384e-01 +/- 4.03773426e+13
x_O171_Phase0   5.73459616e-01 +/- 4.05171887e+13
x_O172_Phase0   9.25745601e-01 +/- 4.06328200e+13
x_O173_Phase0   7.42543989e-02 +/- 3.16787841e+13
x_O174_Phase0   5.74959782e-01 +/- 4.04238331e+13
x_O175_Phase0   4.24643396e-01 +/- 4.03053684e+13
x_O176_Phase0   3.67500481e-01 +/- 4.02655299e+13
x_O177_Phase0   6.32499519e-01 +/- 4.06719784e+13
x_O178_Phase0   8.67377111e-01 +/- 4.07571055e+13
