Results written: Tue Feb  3 03:51:55 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01912666
Contributions  0.01912666
Restraints     0.00000000
Chi2           3.58390870
Reduced Chi2   0.01439321
Rw             0.13829916

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   6.73778945e-03 +/- 2.71181063e+08
Uiso_V_Phase0   1.27522449e-03 +/- 4.93090281e+07
Uiso_Zr_Phase0  6.10364919e-04 +/- 2.43382961e+07
a_Phase0        2.64616913e+01 +/- 1.46029508e+09
delta2_Phase0   2.56065510e+00 +/- 1.09495959e+11
psize_Phase0    2.55311347e+02 +/- 8.82689058e+09
s_Phase0        4.95714355e-01 +/- 8.30839662e+07
x_O0_Phase0     4.03923628e-02 +/- 1.51439312e+09
x_O100_Phase0   9.04836520e-01 +/- 7.98660979e+09
x_O101_Phase0   9.52409537e-02 +/- 3.17793930e+09
x_O102_Phase0   5.96856617e-01 +/- 6.80112479e+09
x_O120_Phase0   2.11212835e-02 +/- 7.98657911e+08
x_O122_Phase0   4.79654851e-01 +/- 6.28836602e+09
x_O124_Phase0   9.78981726e-01 +/- 6.92631517e+09
x_O126_Phase0   5.21311654e-01 +/- 6.64315446e+09
x_O144_Phase0   1.36764034e-01 +/- 3.89417540e+09
x_O146_Phase0   3.62680960e-01 +/- 6.43481666e+09
x_O148_Phase0   8.63118552e-01 +/- 7.23099254e+09
x_O150_Phase0   6.36183138e-01 +/- 8.05249032e+09
x_O151_Phase0   3.63640040e-01 +/- 7.35231693e+09
x_O168_Phase0   7.22267680e-02 +/- 2.42445981e+09
x_O170_Phase0   4.26540384e-01 +/- 6.24914159e+09
x_O172_Phase0   9.25745601e-01 +/- 8.00420518e+09
x_O174_Phase0   5.74959782e-01 +/- 8.18663793e+09
x_O175_Phase0   4.24643396e-01 +/- 7.40719409e+09
x_O180_Phase0   1.31308789e-01 +/- 4.49770418e+09
x_O181_Phase0   8.68669427e-01 +/- 8.54871516e+09
x_O182_Phase0   6.32214444e-01 +/- 8.24373194e+09
x_O189_Phase0   3.09150118e-01 +/- 6.82544460e+09
x_O192_Phase0   2.16616822e-02 +/- 8.03823296e+08
x_O193_Phase0   9.78485127e-01 +/- 8.34855415e+09
x_O194_Phase0   4.77645044e-01 +/- 6.78037625e+09
x_O196_Phase0   9.77489064e-01 +/- 8.30114888e+09
x_O197_Phase0   2.19806000e-02 +/- 8.63738968e+08
x_O198_Phase0   5.22932684e-01 +/- 7.09022526e+09
x_O205_Phase0   6.87488849e-01 +/- 8.36328140e+09
x_O218_Phase0   1.62558960e-01 +/- 4.41116043e+09
x_O224_Phase0   1.58051981e-01 +/- 4.47649040e+09
x_O226_Phase0   3.38966283e-01 +/- 7.21651396e+09
x_O228_Phase0   8.38795117e-01 +/- 8.38704715e+09
x_O230_Phase0   6.58913854e-01 +/- 7.06873264e+09
x_O234_Phase0   1.82614701e-03 +/- 6.73465113e+07
x_O236_Phase0   9.97585218e-01 +/- 7.86943081e+09
x_O248_Phase0   1.64064948e-01 +/- 5.17724880e+09
x_O24_Phase0    2.27886173e-02 +/- 8.72908401e+08
x_O250_Phase0   3.37665648e-01 +/- 7.14048283e+09
x_O251_Phase0   6.62238436e-01 +/- 8.08324325e+09
x_O252_Phase0   8.34417134e-01 +/- 7.01979287e+09
x_O254_Phase0   6.63038520e-01 +/- 6.28735902e+09
x_O26_Phase0    4.75902762e-01 +/- 6.98441709e+09
x_O272_Phase0   1.11796902e-02 +/- 4.28885063e+08
x_O274_Phase0   4.88374740e-01 +/- 6.68759647e+09
x_O276_Phase0   9.88367487e-01 +/- 7.01251007e+09
x_O278_Phase0   5.12081374e-01 +/- 6.54301681e+09
x_O28_Phase0    9.75969549e-01 +/- 7.49513391e+09
x_O296_Phase0   5.84780846e-03 +/- 1.98805826e+08
x_O298_Phase0   4.96416163e-01 +/- 6.60517549e+09
x_O2_Phase0     4.60218252e-01 +/- 7.64489754e+09
x_O300_Phase0   9.95149202e-01 +/- 7.58226553e+09
x_O302_Phase0   5.06244410e-01 +/- 6.71687400e+09
x_O30_Phase0    5.23651783e-01 +/- 7.17749978e+09
x_O320_Phase0   3.58409281e-01 +/- 7.38957176e+09
x_O322_Phase0   1.41484962e-01 +/- 4.07730369e+09
x_O324_Phase0   6.41045047e-01 +/- 6.99253052e+09
x_O326_Phase0   8.58802291e-01 +/- 7.55238339e+09
x_O328_Phase0   4.37762351e-01 +/- 7.17797711e+09
x_O335_Phase0   4.39537356e-01 +/- 7.76556708e+09
x_O344_Phase0   1.08130179e-02 +/- 4.08979184e+08
x_O346_Phase0   4.89196497e-01 +/- 6.73587731e+09
x_O348_Phase0   9.88552561e-01 +/- 7.05050599e+09
x_O350_Phase0   5.09354835e-01 +/- 6.68592402e+09
x_O368_Phase0   2.35619407e-01 +/- 5.80572870e+09
x_O370_Phase0   2.64719893e-01 +/- 6.22148584e+09
x_O372_Phase0   7.67086966e-01 +/- 7.12038576e+09
x_O374_Phase0   7.32376849e-01 +/- 7.07665767e+09
x_O392_Phase0   2.83974067e-01 +/- 5.78517606e+09
x_O394_Phase0   2.16216217e-01 +/- 5.45549347e+09
x_O396_Phase0   7.18501925e-01 +/- 7.07265092e+09
x_O398_Phase0   7.83242953e-01 +/- 7.12946652e+09
x_O3_Phase0     5.39802829e-01 +/- 7.91043693e+09
x_O416_Phase0   1.91297881e-01 +/- 4.92508228e+09
x_O418_Phase0   3.09930973e-01 +/- 6.90690043e+09
x_O419_Phase0   6.90061488e-01 +/- 8.03376225e+09
x_O420_Phase0   8.09952886e-01 +/- 6.96868238e+09
x_O422_Phase0   6.90095388e-01 +/- 8.07914096e+09
x_O423_Phase0   3.09744695e-01 +/- 6.91646895e+09
x_O431_Phase0   2.98697281e-01 +/- 6.84044256e+09
x_O440_Phase0   1.57417330e-01 +/- 4.66158485e+09
x_O441_Phase0   8.42510230e-01 +/- 8.16962965e+09
x_O442_Phase0   3.43559371e-01 +/- 6.71143878e+09
x_O444_Phase0   8.43140001e-01 +/- 8.46601011e+09
x_O445_Phase0   1.56717635e-01 +/- 5.14269870e+09
x_O446_Phase0   6.57858527e-01 +/- 7.99326526e+09
x_O447_Phase0   3.42076199e-01 +/- 7.03153688e+09
