Iteration,Rw
1,0.14571104044500321
2,0.1457101868300995
3,0.14570973588168876
4,0.14570973148576077
5,0.14570593445897373
6,0.14570303435973903
7,0.14570166564154707
8,0.145701643956457
9,0.14570164386259057
10,0.14570164377969902
11,0.1457001595189479
12,0.1456995213196219
13,0.14569821290856066
14,0.14569809196114553
15,0.14569786430441173
16,0.14569765172667729
17,0.14569752637500066
18,0.14569740400211076
19,0.14569735412632034
20,0.14569730978051104
21,0.14569730691949231
22,0.14569730231150846
23,0.14569729584199176
