Results written: Wed Feb  4 18:51:18 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02052876
Contributions  0.02052876
Restraints     0.00000000
Chi2           3.57608007
Reduced Chi2   0.01436177
Rw             0.14327862

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   6.76671603e-03 +/- 6.01233051e+07
Uiso_V_Phase0   1.28240010e-03 +/- 1.15356536e+07
Uiso_Zr_Phase0  9.75316415e-04 +/- 9.56916589e+06
a_Phase0        2.64607818e+01 +/- 3.90361816e+08
delta2_Phase0   2.56048198e+00 +/- 7.01104419e+09
psize_Phase0    2.55311346e+02 +/- 2.33096462e+09
s_Phase0        4.84083308e-01 +/- 2.18285923e+07
x_O0_Phase0     4.03923628e-02 +/- 4.12918014e+08
x_O100_Phase0   9.04836520e-01 +/- 2.16104611e+09
x_O101_Phase0   9.52409537e-02 +/- 9.02668341e+08
x_O102_Phase0   5.96856617e-01 +/- 1.80803580e+09
x_O120_Phase0   2.11212835e-02 +/- 2.28391516e+08
x_O122_Phase0   4.79654851e-01 +/- 1.73566033e+09
x_O124_Phase0   9.78981726e-01 +/- 1.82026018e+09
x_O126_Phase0   5.21311654e-01 +/- 1.80659543e+09
x_O144_Phase0   1.36764034e-01 +/- 1.15235306e+09
x_O146_Phase0   3.62680960e-01 +/- 1.67207154e+09
x_O148_Phase0   8.63118552e-01 +/- 1.93050228e+09
x_O150_Phase0   6.36183138e-01 +/- 2.13309232e+09
x_O151_Phase0   3.63640040e-01 +/- 1.91596349e+09
x_O168_Phase0   7.22267680e-02 +/- 6.44939829e+08
x_O170_Phase0   4.26540384e-01 +/- 1.69217761e+09
x_O172_Phase0   9.25745601e-01 +/- 2.13361583e+09
x_O174_Phase0   5.74959782e-01 +/- 2.20773483e+09
x_O175_Phase0   4.24643396e-01 +/- 1.93080660e+09
x_O180_Phase0   1.31308789e-01 +/- 1.22668511e+09
x_O181_Phase0   8.68669427e-01 +/- 2.26283800e+09
x_O182_Phase0   6.32214444e-01 +/- 2.16801927e+09
x_O189_Phase0   3.09150118e-01 +/- 1.84168472e+09
x_O192_Phase0   2.16616822e-02 +/- 2.19215782e+08
x_O193_Phase0   9.78485127e-01 +/- 2.20296227e+09
x_O194_Phase0   4.77645044e-01 +/- 1.87446070e+09
x_O196_Phase0   9.77489064e-01 +/- 2.19554738e+09
x_O197_Phase0   2.19806000e-02 +/- 2.13574959e+08
x_O198_Phase0   5.22932684e-01 +/- 1.83560861e+09
x_O205_Phase0   6.87488849e-01 +/- 2.22440784e+09
x_O218_Phase0   1.62558960e-01 +/- 1.23292335e+09
x_O224_Phase0   1.58051981e-01 +/- 1.12584071e+09
x_O226_Phase0   3.38966283e-01 +/- 1.90129222e+09
x_O228_Phase0   8.38795117e-01 +/- 2.23647468e+09
x_O230_Phase0   6.58913854e-01 +/- 1.83163451e+09
x_O234_Phase0   1.82614701e-03 +/- 1.66933782e+07
x_O236_Phase0   9.97585218e-01 +/- 2.10005728e+09
x_O248_Phase0   1.64064948e-01 +/- 1.26127085e+09
x_O24_Phase0    2.27886173e-02 +/- 2.30618668e+08
x_O250_Phase0   3.37665648e-01 +/- 1.88420073e+09
x_O251_Phase0   6.62238436e-01 +/- 2.16428600e+09
x_O252_Phase0   8.34417134e-01 +/- 1.85796714e+09
x_O254_Phase0   6.63038520e-01 +/- 1.68368734e+09
x_O26_Phase0    4.75902762e-01 +/- 1.86709191e+09
x_O272_Phase0   1.11796902e-02 +/- 1.14122275e+08
x_O274_Phase0   4.88374740e-01 +/- 1.78021713e+09
x_O276_Phase0   9.88367487e-01 +/- 1.87883165e+09
x_O278_Phase0   5.12081374e-01 +/- 1.76252468e+09
x_O28_Phase0    9.75969549e-01 +/- 1.98351599e+09
x_O296_Phase0   5.84780846e-03 +/- 6.58865285e+07
x_O298_Phase0   4.96416163e-01 +/- 1.79003650e+09
x_O2_Phase0     4.60218252e-01 +/- 1.97583888e+09
x_O300_Phase0   9.95149202e-01 +/- 2.00935655e+09
x_O302_Phase0   5.06244410e-01 +/- 1.77337977e+09
x_O30_Phase0    5.23651783e-01 +/- 1.89766481e+09
x_O320_Phase0   3.58409281e-01 +/- 1.92030872e+09
x_O322_Phase0   1.41484962e-01 +/- 1.16490659e+09
x_O324_Phase0   6.41045047e-01 +/- 1.84173137e+09
x_O326_Phase0   8.58802291e-01 +/- 1.96726508e+09
x_O328_Phase0   4.37762351e-01 +/- 1.92588401e+09
x_O335_Phase0   4.39537356e-01 +/- 2.09307146e+09
x_O344_Phase0   1.08130179e-02 +/- 1.05338840e+08
x_O346_Phase0   4.89196497e-01 +/- 1.83298291e+09
x_O348_Phase0   9.88552561e-01 +/- 1.86010379e+09
x_O350_Phase0   5.09354835e-01 +/- 1.78170507e+09
x_O368_Phase0   2.35619407e-01 +/- 1.47791272e+09
x_O370_Phase0   2.64719893e-01 +/- 1.62999000e+09
x_O372_Phase0   7.67086966e-01 +/- 1.88168685e+09
x_O374_Phase0   7.32376849e-01 +/- 1.84206350e+09
x_O392_Phase0   2.83974067e-01 +/- 1.54377635e+09
x_O394_Phase0   2.16216217e-01 +/- 1.40380165e+09
x_O396_Phase0   7.18501925e-01 +/- 1.89413820e+09
x_O398_Phase0   7.83242953e-01 +/- 1.87291671e+09
x_O3_Phase0     5.39802829e-01 +/- 2.06669264e+09
x_O416_Phase0   1.91297881e-01 +/- 1.38684910e+09
x_O418_Phase0   3.09930973e-01 +/- 1.84609116e+09
x_O419_Phase0   6.90061488e-01 +/- 2.15382927e+09
x_O420_Phase0   8.09952886e-01 +/- 1.87222119e+09
x_O422_Phase0   6.90095388e-01 +/- 2.09906213e+09
x_O423_Phase0   3.09744695e-01 +/- 1.86342552e+09
x_O431_Phase0   2.98697281e-01 +/- 1.80437163e+09
x_O440_Phase0   1.57417330e-01 +/- 1.35729098e+09
x_O441_Phase0   8.42510230e-01 +/- 2.16758281e+09
x_O442_Phase0   3.43559371e-01 +/- 1.78289603e+09
x_O444_Phase0   8.43140001e-01 +/- 2.27521779e+09
x_O445_Phase0   1.56717635e-01 +/- 1.24565830e+09
x_O446_Phase0   6.57858527e-01 +/- 2.09127620e+09
x_O447_Phase0   3.42076199e-01 +/- 1.89799404e+09
