Results written: Thu Feb  5 00:19:55 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01870964
Contributions  0.01870964
Restraints     0.00000000
Chi2           3.25919173
Reduced Chi2   0.00499111
Rw             0.13678319

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   7.60632974e-03 +/- 1.78076409e+12
Uiso_V_Phase0   2.00542817e-03 +/- 4.42228339e+11
Uiso_Zr_Phase0  1.57448904e-03 +/- 3.29599693e+11
a_Phase0        2.64526653e+01 +/- 4.99571572e+12
delta2_Phase0   2.55888271e+00 +/- 3.90288360e+14
psize_Phase0    2.55311350e+02 +/- 3.58414433e+13
s_Phase0        5.01582128e-01 +/- 2.88335381e+11
x_O0_Phase0     4.03923628e-02 +/- 8.21807581e+12
x_O100_Phase0   9.04836520e-01 +/- 3.24141135e+13
x_O101_Phase0   9.52409537e-02 +/- 1.79938775e+13
x_O102_Phase0   5.96856617e-01 +/- 3.25732491e+13
x_O103_Phase0   4.03143383e-01 +/- 3.10412299e+13
x_O120_Phase0   2.11212836e-02 +/- 5.23646983e+12
x_O121_Phase0   9.78878716e-01 +/- 3.29098495e+13
x_O122_Phase0   4.79654851e-01 +/- 3.14101257e+13
x_O123_Phase0   5.20345149e-01 +/- 3.13991704e+13
x_O124_Phase0   9.78981726e-01 +/- 3.26555946e+13
x_O125_Phase0   2.10182740e-02 +/- 4.98264842e+12
x_O126_Phase0   5.21311654e-01 +/- 3.18070515e+13
x_O127_Phase0   4.78688346e-01 +/- 3.14864953e+13
x_O144_Phase0   1.36764034e-01 +/- 2.26592430e+13
x_O145_Phase0   8.63235966e-01 +/- 3.36267444e+13
x_O146_Phase0   3.62680960e-01 +/- 3.14721107e+13
x_O147_Phase0   6.37319040e-01 +/- 3.31092271e+13
x_O148_Phase0   8.63118552e-01 +/- 3.33195307e+13
x_O149_Phase0   1.36881448e-01 +/- 2.36664303e+13
x_O150_Phase0   6.36183138e-01 +/- 3.29396956e+13
x_O151_Phase0   3.63640040e-01 +/- 3.10593675e+13
x_O168_Phase0   7.22267680e-02 +/- 1.35787335e+13
x_O169_Phase0   9.27773232e-01 +/- 3.26614484e+13
x_O170_Phase0   4.26540384e-01 +/- 3.14087889e+13
x_O171_Phase0   5.73459616e-01 +/- 3.20920387e+13
x_O172_Phase0   9.25745601e-01 +/- 3.39588516e+13
x_O173_Phase0   7.42543989e-02 +/- 1.52724393e+13
x_O174_Phase0   5.74959782e-01 +/- 3.40485089e+13
x_O175_Phase0   4.24643396e-01 +/- 3.10134845e+13
x_O180_Phase0   1.31308789e-01 +/- 2.32565718e+13
x_O181_Phase0   8.68669427e-01 +/- 3.50857312e+13
x_O182_Phase0   6.32214444e-01 +/- 3.40355714e+13
x_O189_Phase0   3.09150118e-01 +/- 3.18795084e+13
x_O192_Phase0   2.16616823e-02 +/- 4.79973064e+12
x_O193_Phase0   9.78485127e-01 +/- 3.35647238e+13
x_O194_Phase0   4.77645044e-01 +/- 3.18025170e+13
x_O195_Phase0   5.22354956e-01 +/- 3.22384335e+13
x_O196_Phase0   9.77489064e-01 +/- 3.31716285e+13
x_O197_Phase0   2.19806000e-02 +/- 4.65951790e+12
x_O198_Phase0   5.22932684e-01 +/- 3.25233965e+13
x_O199_Phase0   4.77067316e-01 +/- 3.24303387e+13
x_O1_Phase0     9.59607637e-01 +/- 3.34625025e+13
x_O205_Phase0   6.87488849e-01 +/- 3.42185487e+13
x_O218_Phase0   1.62558959e-01 +/- 2.33566753e+13
x_O219_Phase0   8.37441041e-01 +/- 3.29334241e+13
x_O224_Phase0   1.58051981e-01 +/- 2.40190614e+13
x_O225_Phase0   8.41948019e-01 +/- 3.26438392e+13
x_O226_Phase0   3.38966283e-01 +/- 3.19295480e+13
x_O227_Phase0   6.61033717e-01 +/- 3.45681595e+13
x_O228_Phase0   8.38795117e-01 +/- 3.49863093e+13
x_O229_Phase0   1.61204883e-01 +/- 2.51324976e+13
x_O230_Phase0   6.58913853e-01 +/- 3.24104009e+13
x_O231_Phase0   3.41086147e-01 +/- 3.07213000e+13
x_O234_Phase0   1.82614700e-03 +/- 3.84056811e+11
x_O235_Phase0   9.98173853e-01 +/- 3.43286333e+13
x_O236_Phase0   9.97585218e-01 +/- 3.43141187e+13
x_O237_Phase0   2.41478210e-03 +/- 4.92677395e+11
x_O248_Phase0   1.64064948e-01 +/- 2.65958705e+13
x_O249_Phase0   8.35935052e-01 +/- 3.35242677e+13
x_O24_Phase0    2.27886173e-02 +/- 5.03511412e+12
x_O250_Phase0   3.37665648e-01 +/- 3.04296732e+13
x_O251_Phase0   6.62238435e-01 +/- 3.33011142e+13
x_O252_Phase0   8.34417134e-01 +/- 3.29153850e+13
x_O253_Phase0   1.65582866e-01 +/- 2.51508169e+13
x_O254_Phase0   6.63038508e-01 +/- 4.36843867e+13
x_O255_Phase0   3.36961480e-01 +/- 3.05192391e+13
x_O25_Phase0    9.77211383e-01 +/- 3.34216715e+13
x_O26_Phase0    4.75902762e-01 +/- 3.23934501e+13
x_O272_Phase0   1.11796902e-02 +/- 2.43075547e+12
x_O273_Phase0   9.88820310e-01 +/- 3.24178589e+13
x_O274_Phase0   4.88374740e-01 +/- 3.17963954e+13
x_O275_Phase0   5.11625260e-01 +/- 3.22352827e+13
x_O276_Phase0   9.88367487e-01 +/- 3.26190036e+13
x_O277_Phase0   1.16325125e-02 +/- 2.45641756e+12
x_O278_Phase0   5.12081374e-01 +/- 3.17454297e+13
x_O279_Phase0   4.87918626e-01 +/- 3.12082324e+13
x_O27_Phase0    5.24097238e-01 +/- 3.27877618e+13
x_O28_Phase0    9.75969549e-01 +/- 3.35815497e+13
x_O296_Phase0   5.84780846e-03 +/- 1.25935705e+12
x_O297_Phase0   9.94152192e-01 +/- 3.22027611e+13
x_O298_Phase0   4.96416163e-01 +/- 3.19329160e+13
x_O299_Phase0   5.03583837e-01 +/- 3.17986586e+13
x_O29_Phase0    2.40304507e-02 +/- 5.07927995e+12
x_O2_Phase0     4.60218252e-01 +/- 3.18263724e+13
x_O300_Phase0   9.95149202e-01 +/- 3.38155662e+13
x_O301_Phase0   4.85079792e-03 +/- 1.03014673e+12
x_O302_Phase0   5.06244410e-01 +/- 3.23976742e+13
