Results written: Fri Feb  6 15:33:02 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01897342
Contributions  0.01809320
Restraints     0.00088021
Chi2           2.86476923
Reduced Chi2   0.00438709
Rw             0.13765541

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   7.92848129e-03 +/- 2.06387955e+12
Uiso_V_Phase0   2.53768285e-03 +/- 5.96943926e+11
Uiso_Zr_Phase0  2.60397828e-03 +/- 6.46017651e+11
a_Phase0        2.64333388e+01 +/- 6.46686144e+12
delta2_Phase0   2.41219888e+00 +/- 6.21382220e+14
psize_Phase0    2.55311332e+02 +/- 4.41663425e+13
s_Phase0        4.89787129e-01 +/- 3.80312340e+11
x_O0_Phase0     4.04229475e-02 +/- 1.10995657e+13
x_O100_Phase0   9.04651992e-01 +/- 3.92881084e+13
x_O101_Phase0   9.53875223e-02 +/- 2.17651712e+13
x_O102_Phase0   5.96895351e-01 +/- 4.00094997e+13
x_O103_Phase0   4.03093619e-01 +/- 3.87277536e+13
x_O120_Phase0   2.11808875e-02 +/- 5.34490249e+12
x_O121_Phase0   9.78823870e-01 +/- 4.04014996e+13
x_O122_Phase0   4.79587848e-01 +/- 3.87260904e+13
x_O123_Phase0   5.20415793e-01 +/- 3.90933836e+13
x_O124_Phase0   9.78894561e-01 +/- 4.00094821e+13
x_O125_Phase0   2.11061450e-02 +/- 5.96595742e+12
x_O126_Phase0   5.21385043e-01 +/- 3.90078398e+13
x_O127_Phase0   4.78612611e-01 +/- 3.88362981e+13
x_O144_Phase0   1.36756074e-01 +/- 2.80916145e+13
x_O145_Phase0   8.63243248e-01 +/- 4.12549003e+13
x_O146_Phase0   3.62664200e-01 +/- 3.81085634e+13
x_O147_Phase0   6.37330977e-01 +/- 4.04600067e+13
x_O148_Phase0   8.63137266e-01 +/- 4.09868342e+13
x_O149_Phase0   1.36853983e-01 +/- 2.73470899e+13
x_O150_Phase0   6.36133289e-01 +/- 4.02577150e+13
x_O151_Phase0   3.63689090e-01 +/- 3.83182785e+13
x_O168_Phase0   7.23269635e-02 +/- 1.89375985e+13
x_O169_Phase0   9.27664387e-01 +/- 4.01318025e+13
x_O170_Phase0   4.26507020e-01 +/- 3.85165521e+13
x_O171_Phase0   5.73499904e-01 +/- 3.97658345e+13
x_O172_Phase0   9.25761256e-01 +/- 4.16483539e+13
x_O173_Phase0   7.42556681e-02 +/- 1.70265513e+13
x_O174_Phase0   5.74982381e-01 +/- 4.23210646e+13
x_O175_Phase0   4.24583889e-01 +/- 3.77949011e+13
x_O180_Phase0   1.31317444e-01 +/- 2.67571697e+13
x_O181_Phase0   8.68658387e-01 +/- 4.31169758e+13
x_O182_Phase0   6.32231410e-01 +/- 4.18663085e+13
x_O189_Phase0   3.09176543e-01 +/- 3.87440190e+13
x_O192_Phase0   2.16572080e-02 +/- 5.99030450e+12
x_O193_Phase0   9.78486155e-01 +/- 4.13943757e+13
x_O194_Phase0   4.77608430e-01 +/- 3.96173293e+13
x_O195_Phase0   5.22386383e-01 +/- 3.98808522e+13
x_O196_Phase0   9.77311494e-01 +/- 4.06949509e+13
x_O197_Phase0   2.19768482e-02 +/- 5.71972747e+12
x_O198_Phase0   5.22959609e-01 +/- 4.00935156e+13
x_O199_Phase0   4.77034073e-01 +/- 3.96737943e+13
x_O1_Phase0     9.59577989e-01 +/- 4.07246730e+13
x_O205_Phase0   6.87508764e-01 +/- 4.19043458e+13
x_O218_Phase0   1.62494144e-01 +/- 3.15140488e+13
x_O219_Phase0   8.37503866e-01 +/- 4.04191405e+13
x_O224_Phase0   1.57930995e-01 +/- 3.09414167e+13
x_O225_Phase0   8.42066704e-01 +/- 3.99876257e+13
x_O226_Phase0   3.39005299e-01 +/- 3.98728416e+13
x_O227_Phase0   6.60993804e-01 +/- 4.28038726e+13
x_O228_Phase0   8.38849309e-01 +/- 4.29743181e+13
x_O229_Phase0   1.61154958e-01 +/- 3.15890936e+13
x_O230_Phase0   6.58829563e-01 +/- 4.02054781e+13
x_O231_Phase0   3.41176570e-01 +/- 3.77063865e+13
x_O234_Phase0   1.85630666e-03 +/- 4.93347533e+11
x_O235_Phase0   9.98138296e-01 +/- 4.20224925e+13
x_O236_Phase0   9.97512116e-01 +/- 4.21576631e+13
x_O237_Phase0   2.48092732e-03 +/- 7.10437432e+11
x_O248_Phase0   1.64051138e-01 +/- 3.14131319e+13
x_O249_Phase0   8.35951726e-01 +/- 4.09435700e+13
x_O24_Phase0    2.27946123e-02 +/- 6.03798406e+12
x_O250_Phase0   3.37763028e-01 +/- 3.83880449e+13
x_O251_Phase0   6.62140509e-01 +/- 4.06918213e+13
x_O252_Phase0   8.34492528e-01 +/- 4.03626948e+13
x_O253_Phase0   1.65448317e-01 +/- 2.97605874e+13
x_O254_Phase0   6.62999450e-01 +/- 3.99467175e+13
x_O255_Phase0   3.37017357e-01 +/- 3.70789863e+13
x_O25_Phase0    9.77204224e-01 +/- 4.10159505e+13
x_O26_Phase0    4.75845344e-01 +/- 3.97514929e+13
x_O272_Phase0   1.11058987e-02 +/- 2.73752715e+12
x_O273_Phase0   9.88892791e-01 +/- 4.01630490e+13
x_O274_Phase0   4.88376948e-01 +/- 3.89387604e+13
x_O275_Phase0   5.11609914e-01 +/- 3.96613715e+13
x_O276_Phase0   9.88342001e-01 +/- 3.98821399e+13
x_O277_Phase0   1.16536948e-02 +/- 3.12087349e+12
x_O278_Phase0   5.12145622e-01 +/- 3.96750104e+13
x_O279_Phase0   4.87850716e-01 +/- 3.87552366e+13
x_O27_Phase0    5.24158521e-01 +/- 4.02528257e+13
x_O28_Phase0    9.75879450e-01 +/- 4.14187980e+13
x_O296_Phase0   5.90079215e-03 +/- 1.62658196e+12
x_O297_Phase0   9.94100080e-01 +/- 4.04549015e+13
x_O298_Phase0   4.96356267e-01 +/- 3.92477768e+13
x_O299_Phase0   5.03651424e-01 +/- 3.93990280e+13
x_O29_Phase0    2.41199300e-02 +/- 6.34890422e+12
x_O2_Phase0     4.60248204e-01 +/- 3.92584093e+13
x_O300_Phase0   9.95057643e-01 +/- 4.13388907e+13
x_O301_Phase0   4.95680890e-03 +/- 1.37086021e+12
x_O302_Phase0   5.06416196e-01 +/- 3.95165439e+13
