Results written: Sat Feb  7 09:43:43 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01781538
Contributions  0.01742556
Restraints     0.00038982
Chi2           2.50986516
Reduced Chi2   0.00868465
Rw             0.13344186

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   9.49648795e-03 +/- 2.51141503e+12
Uiso_V_Phase0   2.86174622e-03 +/- 8.21730555e+11
Uiso_Zr_Phase0  2.09391138e-03 +/- 5.19980661e+11
a_Phase0        2.64267920e+01 +/- 8.97863144e+12
delta2_Phase0   2.44118829e+00 +/- 4.59593877e+14
psize_Phase0    2.55311252e+02 +/- 5.29316809e+13
s_Phase0        4.85336272e-01 +/- 5.14605036e+11
x_O0_Phase0     4.05424778e-02 +/- 1.09565091e+13
x_O100_Phase0   9.04441786e-01 +/- 4.78989338e+13
x_O101_Phase0   9.55521845e-02 +/- 2.34931940e+13
x_O102_Phase0   5.96961968e-01 +/- 4.93604047e+13
x_O103_Phase0   4.03014456e-01 +/- 4.70541819e+13
x_O107_Phase0   1.47995688e-01 +/- 3.29476572e+13
x_O120_Phase0   2.14823934e-02 +/- 5.96769827e+12
x_O122_Phase0   4.79460418e-01 +/- 4.74253495e+13
x_O123_Phase0   5.20550285e-01 +/- 4.78678096e+13
x_O124_Phase0   9.78732448e-01 +/- 4.94539622e+13
x_O125_Phase0   2.12496847e-02 +/- 5.88600512e+12
x_O126_Phase0   5.21628016e-01 +/- 4.24985870e+13
x_O135_Phase0   3.78036233e-01 +/- 4.68624765e+13
x_O144_Phase0   1.36763222e-01 +/- 2.98365730e+13
x_O146_Phase0   3.62606905e-01 +/- 4.10384123e+13
x_O148_Phase0   8.63154135e-01 +/- 5.06340401e+13
x_O149_Phase0   1.36825160e-01 +/- 3.10840028e+13
x_O150_Phase0   6.36047980e-01 +/- 4.92913408e+13
x_O151_Phase0   3.63775719e-01 +/- 4.61452822e+13
x_O168_Phase0   7.25879071e-02 +/- 1.75506587e+13
x_O170_Phase0   4.26332857e-01 +/- 4.05313538e+13
x_O172_Phase0   9.25733544e-01 +/- 5.15136795e+13
x_O173_Phase0   7.42903297e-02 +/- 2.06076120e+13
x_O174_Phase0   5.75033781e-01 +/- 5.08503569e+13
x_O175_Phase0   4.24452165e-01 +/- 4.51027742e+13
x_O177_Phase0   6.32682114e-01 +/- 5.13901900e+13
x_O180_Phase0   1.31319524e-01 +/- 3.32547865e+13
x_O181_Phase0   8.68652086e-01 +/- 5.28042015e+13
x_O182_Phase0   6.32273322e-01 +/- 5.09100709e+13
x_O189_Phase0   3.09233755e-01 +/- 4.58767325e+13
x_O192_Phase0   2.16236157e-02 +/- 5.40358230e+12
x_O193_Phase0   9.78515080e-01 +/- 5.11416699e+13
x_O194_Phase0   4.77407617e-01 +/- 4.26018164e+13
x_O196_Phase0   9.77165794e-01 +/- 5.06082560e+13
x_O197_Phase0   2.19632600e-02 +/- 6.22957957e+12
x_O198_Phase0   5.23083789e-01 +/- 4.46644106e+13
x_O205_Phase0   6.87588090e-01 +/- 5.15138877e+13
x_O218_Phase0   1.62164774e-01 +/- 3.03151300e+13
x_O224_Phase0   1.57293445e-01 +/- 3.41958984e+13
x_O226_Phase0   3.39156997e-01 +/- 4.62613898e+13
x_O228_Phase0   8.39043916e-01 +/- 5.15366493e+13
x_O230_Phase0   6.58397399e-01 +/- 4.36547784e+13
x_O234_Phase0   1.88938241e-03 +/- 5.48767589e+11
x_O236_Phase0   9.97314535e-01 +/- 5.06631682e+13
x_O237_Phase0   2.55583289e-03 +/- 7.57752948e+11
x_O248_Phase0   1.63887216e-01 +/- 3.27985375e+13
x_O24_Phase0    2.28343066e-02 +/- 6.20273639e+12
x_O250_Phase0   3.37997910e-01 +/- 4.53526795e+13
x_O251_Phase0   6.61901094e-01 +/- 4.94883351e+13
x_O252_Phase0   8.34633538e-01 +/- 5.01129913e+13
x_O253_Phase0   1.65312091e-01 +/- 3.53949918e+13
x_O254_Phase0   6.62926749e-01 +/- 4.86665527e+13
x_O255_Phase0   3.37123525e-01 +/- 4.51621116e+13
x_O261_Phase0   8.19941150e-01 +/- 5.23718937e+13
x_O26_Phase0    4.75566188e-01 +/- 4.33513578e+13
x_O272_Phase0   1.10058250e-02 +/- 3.20460032e+12
x_O274_Phase0   4.88374135e-01 +/- 4.82628483e+13
x_O275_Phase0   5.11575566e-01 +/- 4.84552638e+13
x_O276_Phase0   9.88289646e-01 +/- 4.15061621e+13
x_O278_Phase0   5.12416795e-01 +/- 4.18859514e+13
x_O28_Phase0    9.75696397e-01 +/- 5.11909215e+13
x_O296_Phase0   6.23418401e-03 +/- 1.94984212e+12
x_O298_Phase0   4.96222230e-01 +/- 4.54507992e+13
x_O29_Phase0    2.42978007e-02 +/- 6.36477027e+12
x_O2_Phase0     4.60313732e-01 +/- 4.74913505e+13
x_O300_Phase0   9.94960579e-01 +/- 5.10218177e+13
x_O301_Phase0   5.06738624e-03 +/- 1.50791341e+12
x_O302_Phase0   5.07115675e-01 +/- 4.00435230e+13
x_O307_Phase0   1.84508261e-01 +/- 3.95148152e+13
x_O30_Phase0    5.23865661e-01 +/- 4.34155677e+13
x_O320_Phase0   3.58593406e-01 +/- 4.73901993e+13
x_O322_Phase0   1.41021411e-01 +/- 2.80033245e+13
x_O324_Phase0   6.40659838e-01 +/- 4.19301271e+13
x_O326_Phase0   8.58913097e-01 +/- 5.00759817e+13
x_O327_Phase0   1.41138267e-01 +/- 3.17209365e+13
x_O328_Phase0   4.37723355e-01 +/- 4.65758291e+13
x_O335_Phase0   4.39660832e-01 +/- 4.95593867e+13
x_O337_Phase0   6.21728838e-01 +/- 5.17346985e+13
x_O344_Phase0   1.06076906e-02 +/- 3.28016931e+12
x_O346_Phase0   4.89135622e-01 +/- 4.20490323e+13
x_O348_Phase0   9.88166956e-01 +/- 4.29877010e+13
x_O350_Phase0   5.09388420e-01 +/- 4.85835879e+13
x_O351_Phase0   4.90595453e-01 +/- 4.81895707e+13
x_O368_Phase0   2.36072554e-01 +/- 3.77987900e+13
x_O370_Phase0   2.64376066e-01 +/- 3.94648321e+13
x_O372_Phase0   7.66637455e-01 +/- 4.24788390e+13
x_O374_Phase0   7.32336108e-01 +/- 4.40974203e+13
