Results written: Wed Feb 11 20:22:22 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02065118
Contributions  0.02050356
Restraints     0.00014763
Chi2           2.31408499
Reduced Chi2   0.00377502
Rw             0.14368543

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   1.26119227e-02 +/- 3.22215762e+12
Uiso_V_Phase0   2.89306892e-03 +/- 7.79196687e+11
Uiso_Zr_Phase0  3.55460168e-03 +/- 1.10197735e+12
a_Phase0        2.64063097e+01 +/- 8.23786374e+12
delta2_Phase0   2.54656259e+00 +/- 4.45958756e+14
psize_Phase0    2.55311102e+02 +/- 4.49686547e+13
s_Phase0        4.75792853e-01 +/- 4.57979347e+11
x_O0_Phase0     4.07943255e-02 +/- 1.14681966e+13
x_O100_Phase0   9.03998808e-01 +/- 4.19855636e+13
x_O101_Phase0   9.59986282e-02 +/- 2.46226233e+13
x_O102_Phase0   5.97233103e-01 +/- 4.12147234e+13
x_O103_Phase0   4.02747796e-01 +/- 4.06854449e+13
x_O107_Phase0   1.48042402e-01 +/- 3.10141402e+13
x_O120_Phase0   2.16344690e-02 +/- 6.59171595e+12
x_O121_Phase0   9.78365680e-01 +/- 4.23021341e+13
x_O122_Phase0   4.79381080e-01 +/- 4.04456509e+13
x_O123_Phase0   5.20649401e-01 +/- 4.09915978e+13
x_O124_Phase0   9.78626070e-01 +/- 4.18280364e+13
x_O125_Phase0   2.13574693e-02 +/- 6.88223104e+12
x_O126_Phase0   5.21748432e-01 +/- 4.08626926e+13
x_O127_Phase0   4.78251712e-01 +/- 4.22254436e+13
x_O135_Phase0   3.78265173e-01 +/- 4.27152717e+13
x_O144_Phase0   1.36525308e-01 +/- 3.08227722e+13
x_O145_Phase0   8.63474685e-01 +/- 4.19276028e+13
x_O146_Phase0   3.62776435e-01 +/- 4.02830588e+13
x_O147_Phase0   6.37223288e-01 +/- 4.18635454e+13
x_O148_Phase0   8.63221891e-01 +/- 4.25257595e+13
x_O149_Phase0   1.36744489e-01 +/- 2.89340217e+13
x_O150_Phase0   6.35795735e-01 +/- 4.20035370e+13
x_O151_Phase0   3.64034244e-01 +/- 3.99448008e+13
x_O168_Phase0   7.28074746e-02 +/- 1.83068516e+13
x_O169_Phase0   9.27193870e-01 +/- 4.32165680e+13
x_O170_Phase0   4.26319803e-01 +/- 4.05966126e+13
x_O171_Phase0   5.73716277e-01 +/- 4.12581254e+13
x_O172_Phase0   9.25553960e-01 +/- 4.32840967e+13
x_O173_Phase0   7.43643019e-02 +/- 2.05944539e+13
x_O174_Phase0   5.75167919e-01 +/- 4.37028857e+13
x_O175_Phase0   4.23982967e-01 +/- 3.99391482e+13
x_O177_Phase0   6.32803854e-01 +/- 4.38921467e+13
x_O180_Phase0   1.31297737e-01 +/- 3.05076030e+13
x_O181_Phase0   8.68665868e-01 +/- 4.44562091e+13
x_O182_Phase0   6.32378023e-01 +/- 4.32601415e+13
x_O189_Phase0   3.09441761e-01 +/- 4.06518850e+13
x_O192_Phase0   2.15123864e-02 +/- 6.68564069e+12
x_O193_Phase0   9.78697949e-01 +/- 4.29236007e+13
x_O194_Phase0   4.77166432e-01 +/- 4.09276285e+13
x_O195_Phase0   5.22816980e-01 +/- 4.28491419e+13
x_O196_Phase0   9.76692824e-01 +/- 4.22518391e+13
x_O197_Phase0   2.21588352e-02 +/- 6.40461300e+12
x_O198_Phase0   5.23243084e-01 +/- 4.19006062e+13
x_O199_Phase0   4.76756804e-01 +/- 4.15278773e+13
x_O1_Phase0     9.59205352e-01 +/- 4.26632577e+13
x_O205_Phase0   6.87923202e-01 +/- 4.32870399e+13
x_O211_Phase0   4.02985391e-01 +/- 4.18031676e+13
x_O218_Phase0   1.61850785e-01 +/- 3.36140665e+13
x_O219_Phase0   8.38149130e-01 +/- 4.22243614e+13
x_O224_Phase0   1.56095516e-01 +/- 3.20981667e+13
x_O225_Phase0   8.43904469e-01 +/- 4.15795513e+13
x_O226_Phase0   3.39275164e-01 +/- 4.17096864e+13
x_O227_Phase0   6.60724747e-01 +/- 4.37484727e+13
x_O228_Phase0   8.39256350e-01 +/- 4.43180172e+13
x_O229_Phase0   1.60743845e-01 +/- 3.30057327e+13
x_O230_Phase0   6.57556672e-01 +/- 4.16088552e+13
x_O231_Phase0   3.42443239e-01 +/- 3.99155662e+13
x_O234_Phase0   1.43326662e-03 +/- 4.02536762e+11
x_O235_Phase0   9.98566232e-01 +/- 4.35977320e+13
x_O236_Phase0   9.97373467e-01 +/- 4.36877206e+13
x_O237_Phase0   2.54874464e-03 +/- 7.81081790e+11
x_O245_Phase0   1.83501968e-01 +/- 3.62392489e+13
x_O248_Phase0   1.63449042e-01 +/- 3.35442272e+13
x_O249_Phase0   8.36551188e-01 +/- 4.29265632e+13
x_O24_Phase0    2.28525043e-02 +/- 5.80593258e+12
x_O250_Phase0   3.38542844e-01 +/- 3.99176499e+13
x_O251_Phase0   6.61314433e-01 +/- 4.20258422e+13
x_O252_Phase0   8.34985394e-01 +/- 4.24894724e+13
x_O253_Phase0   1.65074839e-01 +/- 3.29509940e+13
x_O254_Phase0   6.62565946e-01 +/- 4.07277035e+13
x_O255_Phase0   3.37103095e-01 +/- 3.79295342e+13
x_O25_Phase0    9.77147399e-01 +/- 4.24852387e+13
x_O261_Phase0   8.20144342e-01 +/- 4.42429505e+13
x_O26_Phase0    4.74708995e-01 +/- 4.11678639e+13
x_O272_Phase0   1.14840908e-02 +/- 3.63451353e+12
x_O273_Phase0   9.88515648e-01 +/- 4.14809283e+13
x_O274_Phase0   4.88269215e-01 +/- 4.09169153e+13
x_O275_Phase0   5.11494666e-01 +/- 4.11273076e+13
x_O276_Phase0   9.87794962e-01 +/- 4.14692406e+13
x_O277_Phase0   1.22031665e-02 +/- 4.25588146e+12
x_O278_Phase0   5.12589667e-01 +/- 4.33368345e+13
x_O279_Phase0   4.87344723e-01 +/- 4.01899882e+13
x_O27_Phase0    5.25291212e-01 +/- 4.15310101e+13
x_O286_Phase0   5.27937944e-01 +/- 4.22082040e+13
x_O28_Phase0    9.75181497e-01 +/- 4.28781385e+13
x_O296_Phase0   7.82807284e-03 +/- 2.41274445e+12
x_O297_Phase0   9.92171003e-01 +/- 4.22562703e+13
x_O298_Phase0   4.96026818e-01 +/- 4.05873940e+13
x_O299_Phase0   5.03824948e-01 +/- 4.34051602e+13
x_O29_Phase0    2.48013241e-02 +/- 8.27079407e+12
x_O2_Phase0     4.60467736e-01 +/- 4.09385828e+13
x_O300_Phase0   9.94665343e-01 +/- 4.24832612e+13
x_O301_Phase0   5.45439759e-03 +/- 1.69040619e+12
x_O302_Phase0   5.07987124e-01 +/- 4.11727135e+13
