Results written: Sat Feb 21 14:26:37 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01769306
Contributions  0.00887112
Restraints     0.00882194
Chi2           2.84641363
Reduced Chi2   0.00964886
Rw             0.13248518

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   8.77092683e-03 +/- 1.97381849e+12
Uiso_V_Phase0   2.69536016e-03 +/- 5.82471303e+11
Uiso_Zr_Phase0  1.03911175e-03 +/- 2.33470795e+11
a_Phase0        2.64414497e+01 +/- 9.86520385e+12
delta2_Phase0   2.40821031e+00 +/- 3.32147468e+14
psize_Phase0    2.20895340e+02 +/- 5.88535201e+13
s_Phase0        5.03549551e-01 +/- 5.99398778e+11
x_O0_Phase0     4.04172081e-02 +/- 8.54173130e+12
x_O100_Phase0   9.04660436e-01 +/- 5.37003047e+13
x_O101_Phase0   9.53848933e-02 +/- 1.95157935e+13
x_O102_Phase0   5.96986863e-01 +/- 4.45798985e+13
x_O120_Phase0   2.09531308e-02 +/- 4.17932723e+12
x_O122_Phase0   4.79590929e-01 +/- 4.23053052e+13
x_O124_Phase0   9.78752997e-01 +/- 4.60506425e+13
x_O126_Phase0   5.21540341e-01 +/- 4.43806695e+13
x_O144_Phase0   1.36939428e-01 +/- 2.74916487e+13
x_O146_Phase0   3.62447642e-01 +/- 4.30706262e+13
x_O148_Phase0   8.62866027e-01 +/- 4.84320576e+13
x_O150_Phase0   6.36335715e-01 +/- 5.26643924e+13
x_O151_Phase0   3.63497166e-01 +/- 4.77855336e+13
x_O168_Phase0   7.24710666e-02 +/- 1.68874246e+13
x_O170_Phase0   4.26480659e-01 +/- 4.36975594e+13
x_O172_Phase0   9.25819929e-01 +/- 5.10185251e+13
x_O174_Phase0   5.74966424e-01 +/- 5.47404387e+13
x_O175_Phase0   4.24643342e-01 +/- 4.71076940e+13
x_O181_Phase0   8.68645371e-01 +/- 5.69660750e+13
x_O182_Phase0   6.32248411e-01 +/- 5.46435192e+13
x_O189_Phase0   3.09148452e-01 +/- 4.57939927e+13
x_O192_Phase0   2.14386287e-02 +/- 4.49146111e+12
x_O193_Phase0   9.78596221e-01 +/- 5.54285181e+13
x_O194_Phase0   4.77797029e-01 +/- 4.60117799e+13
x_O196_Phase0   9.77736376e-01 +/- 5.58856485e+13
x_O197_Phase0   2.18779030e-02 +/- 5.03772977e+12
x_O198_Phase0   5.22907038e-01 +/- 4.80692418e+13
x_O205_Phase0   6.87425901e-01 +/- 5.57161897e+13
x_O218_Phase0   1.62369907e-01 +/- 2.95097672e+13
x_O224_Phase0   1.57898872e-01 +/- 2.76954269e+13
x_O226_Phase0   3.39057808e-01 +/- 4.57243200e+13
x_O228_Phase0   8.38931093e-01 +/- 5.61141056e+13
x_O230_Phase0   6.58723615e-01 +/- 4.03002969e+13
x_O234_Phase0   1.89622724e-03 +/- 4.63864482e+11
x_O236_Phase0   9.97439517e-01 +/- 5.34593959e+13
x_O248_Phase0   1.63990059e-01 +/- 2.83744663e+13
x_O24_Phase0    2.27517497e-02 +/- 5.31143900e+12
x_O250_Phase0   3.37650603e-01 +/- 4.64945893e+13
x_O251_Phase0   6.62253046e-01 +/- 5.41383665e+13
x_O252_Phase0   8.35031144e-01 +/- 4.81434721e+13
x_O254_Phase0   6.63067512e-01 +/- 4.55648680e+13
x_O26_Phase0    4.75918774e-01 +/- 4.65571305e+13
x_O272_Phase0   1.11032700e-02 +/- 2.63081212e+12
x_O274_Phase0   4.88476807e-01 +/- 4.33415637e+13
x_O276_Phase0   9.88334996e-01 +/- 4.66762730e+13
x_O278_Phase0   5.12182627e-01 +/- 4.53116893e+13
x_O28_Phase0    9.75948032e-01 +/- 5.11476379e+13
x_O296_Phase0   5.70686346e-03 +/- 1.36358216e+12
x_O298_Phase0   4.96472846e-01 +/- 4.36013164e+13
x_O2_Phase0     4.60399814e-01 +/- 4.54039002e+13
x_O300_Phase0   9.95122585e-01 +/- 5.07755852e+13
x_O302_Phase0   5.06272894e-01 +/- 4.53218725e+13
x_O30_Phase0    5.23637529e-01 +/- 4.72771958e+13
x_O320_Phase0   3.58464239e-01 +/- 4.77494091e+13
x_O322_Phase0   1.41474570e-01 +/- 2.57332712e+13
x_O324_Phase0   6.40971223e-01 +/- 4.72342067e+13
x_O326_Phase0   8.58642302e-01 +/- 4.85620277e+13
x_O328_Phase0   4.37629925e-01 +/- 4.80820946e+13
x_O344_Phase0   1.08101687e-02 +/- 2.30196942e+12
x_O346_Phase0   4.89284816e-01 +/- 4.50889083e+13
x_O348_Phase0   9.88392943e-01 +/- 4.72715969e+13
x_O350_Phase0   5.09299314e-01 +/- 4.38758417e+13
x_O368_Phase0   2.35896887e-01 +/- 3.54921496e+13
x_O370_Phase0   2.64482744e-01 +/- 3.93655574e+13
x_O372_Phase0   7.66803222e-01 +/- 4.78385973e+13
x_O374_Phase0   7.32432657e-01 +/- 4.63449933e+13
x_O392_Phase0   2.84117962e-01 +/- 3.57821456e+13
x_O394_Phase0   2.16265105e-01 +/- 3.54609888e+13
x_O396_Phase0   7.18572742e-01 +/- 4.76758851e+13
x_O398_Phase0   7.83206292e-01 +/- 4.64056157e+13
x_O416_Phase0   1.91031487e-01 +/- 3.24744665e+13
x_O418_Phase0   3.10176230e-01 +/- 3.92792975e+13
x_O420_Phase0   8.10044361e-01 +/- 4.73704845e+13
x_O422_Phase0   6.90019381e-01 +/- 5.33193676e+13
x_O423_Phase0   3.09815020e-01 +/- 4.27918664e+13
x_O431_Phase0   2.98688732e-01 +/- 4.61617547e+13
x_O440_Phase0   1.57364405e-01 +/- 2.83775891e+13
x_O442_Phase0   3.43520122e-01 +/- 4.40730324e+13
x_O444_Phase0   8.43181638e-01 +/- 5.56327738e+13
x_O446_Phase0   6.57781286e-01 +/- 5.31876301e+13
x_O447_Phase0   3.42132979e-01 +/- 4.74850353e+13
x_O452_Phase0   7.24922431e-02 +/- 1.62674437e+13
x_O455_Phase0   4.27978484e-01 +/- 5.16202427e+13
x_O458_Phase0   8.11681323e-01 +/- 5.58181735e+13
x_O460_Phase0   6.87955686e-01 +/- 5.63126735e+13
x_O461_Phase0   3.12048589e-01 +/- 4.63827501e+13
x_O464_Phase0   1.02558479e-01 +/- 1.84956433e+13
x_O466_Phase0   3.98255219e-01 +/- 3.81957021e+13
x_O468_Phase0   8.97644305e-01 +/- 5.64648084e+13
x_O470_Phase0   6.02203283e-01 +/- 5.31128232e+13
x_O476_Phase0   2.97841325e-01 +/- 4.27802777e+13
x_O478_Phase0   7.98329772e-01 +/- 5.18044434e+13
x_O48_Phase0    9.06432366e-03 +/- 1.86901667e+12
x_O492_Phase0   2.36992674e-02 +/- 5.28807886e+12
x_O494_Phase0   4.75733003e-01 +/- 3.80873134e+13
x_O496_Phase0   9.75073578e-01 +/- 4.89714322e+13
x_O498_Phase0   5.23885405e-01 +/- 3.73290853e+13
x_O4_Phase0     9.60288744e-01 +/- 5.07192727e+13
x_O50_Phase0    4.90653552e-01 +/- 4.44612120e+13
x_O516_Phase0   1.02938441e-01 +/- 1.94266802e+13
x_O518_Phase0   3.97371469e-01 +/- 4.01788758e+13
x_O520_Phase0   8.97791801e-01 +/- 4.86443820e+13
x_O522_Phase0   6.02744376e-01 +/- 4.66253893e+13
x_O52_Phase0    9.90847787e-01 +/- 4.88285876e+13
x_O540_Phase0   2.55135693e-02 +/- 5.55536156e+12
x_O542_Phase0   4.74019227e-01 +/- 4.64279415e+13
x_O544_Phase0   9.76249224e-01 +/- 4.82032370e+13
x_O546_Phase0   5.25704486e-01 +/- 4.64738389e+13
x_O54_Phase0    5.10425038e-01 +/- 4.61998407e+13
x_O564_Phase0   4.00616500e-02 +/- 8.18141166e+12
x_O566_Phase0   4.58461726e-01 +/- 4.50761644e+13
x_O568_Phase0   9.60817817e-01 +/- 5.61524405e+13
x_O570_Phase0   5.40727860e-01 +/- 4.56773236e+13
x_O576_Phase0   2.23895706e-01 +/- 3.69370671e+13
x_O584_Phase0   6.39851856e-01 +/- 5.52625100e+13
x_O588_Phase0   1.63216231e-01 +/- 2.94358719e+13
x_O590_Phase0   3.36892708e-01 +/- 4.03357676e+13
x_O592_Phase0   8.36827720e-01 +/- 4.70479231e+13
x_O594_Phase0   6.62276070e-01 +/- 3.80994722e+13
x_O612_Phase0   2.54955289e-01 +/- 3.56067714e+13
x_O614_Phase0   2.47642915e-01 +/- 3.45791248e+13
x_O616_Phase0   7.47384639e-01 +/- 4.23939917e+13
x_O618_Phase0   7.55820222e-01 +/- 4.58907362e+13
x_O636_Phase0   2.00549597e-01 +/- 3.35692078e+13
x_O638_Phase0   3.00274728e-01 +/- 4.02221298e+13
x_O640_Phase0   8.00232614e-01 +/- 4.89131843e+13
x_O642_Phase0   6.99962043e-01 +/- 4.86270827e+13
x_O660_Phase0   1.43328615e-01 +/- 2.76050187e+13
x_O662_Phase0   3.55954820e-01 +/- 4.30988119e+13
x_O664_Phase0   8.55725482e-01 +/- 5.46319697e+13
x_O665_Phase0   1.44246423e-01 +/- 2.80450057e+13
x_O666_Phase0   6.44540463e-01 +/- 4.76060695e+13
x_O684_Phase0   7.06230116e-02 +/- 1.60094430e+13
x_O686_Phase0   4.31193239e-01 +/- 4.64490020e+13
x_O688_Phase0   9.30255353e-01 +/- 5.45680128e+13
x_O689_Phase0   6.97995957e-02 +/- 1.64717078e+13
x_O690_Phase0   5.69637737e-01 +/- 4.42578045e+13
x_O6_Phase0     5.40673828e-01 +/- 4.81440341e+13
x_O702_Phase0   6.99117359e-01 +/- 5.48899732e+13
x_O708_Phase0   1.36678361e-01 +/- 2.65947876e+13
x_O710_Phase0   3.63420984e-01 +/- 4.16835620e+13
x_O712_Phase0   8.63784456e-01 +/- 5.51408265e+13
x_O713_Phase0   1.36206610e-01 +/- 2.69486947e+13
x_O714_Phase0   6.36600942e-01 +/- 4.68765194e+13
x_O72_Phase0    2.64303671e-02 +/- 5.25351608e+12
