Results written: Sun Feb 22 06:01:07 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01700831
Contributions  0.01697609
Restraints     0.00003223
Chi2           2.75772140
Reduced Chi2   0.00065133
Rw             0.13040477

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   8.73125018e-03 +/- 4.85754680e+12
Uiso_V_Phase0   2.28754297e-03 +/- 2.19917405e+12
Uiso_Zr_Phase0  8.24640774e-04 +/- 7.35898407e+11
a_Phase0        2.64406858e+01 +/- 6.11448048e+12
delta2_Phase0   2.41829222e+00 +/- 1.01686667e+15
psize_Phase0    2.20895455e+02 +/- 5.39652439e+13
s_Phase0        5.01941289e-01 +/- 4.77919377e+11
x_O0_Phase0     4.04267861e-02 +/- 3.35530074e+13
x_O100_Phase0   9.04618797e-01 +/- 5.31333554e+13
x_O101_Phase0   9.54324027e-02 +/- 4.55295238e+13
x_O102_Phase0   5.96990842e-01 +/- 5.31813258e+13
x_O103_Phase0   4.03004894e-01 +/- 5.30704807e+13
x_O104_Phase0   3.53242759e-01 +/- 5.21425573e+13
x_O105_Phase0   6.46754474e-01 +/- 5.29802087e+13
x_O106_Phase0   8.51975865e-01 +/- 5.32153157e+13
x_O107_Phase0   1.48017623e-01 +/- 4.95548797e+13
x_O108_Phase0   1.46282403e-01 +/- 4.93522633e+13
x_O109_Phase0   8.53749862e-01 +/- 5.32325629e+13
x_O10_Phase0    5.90360754e-01 +/- 5.33473703e+13
x_O110_Phase0   6.46659110e-01 +/- 5.31072596e+13
x_O111_Phase0   3.53341016e-01 +/- 5.28614619e+13
x_O112_Phase0   3.70413161e-01 +/- 5.23704881e+13
x_O113_Phase0   6.29585400e-01 +/- 5.32591726e+13
x_O114_Phase0   6.30234375e-01 +/- 5.32201976e+13
x_O115_Phase0   3.69769071e-01 +/- 5.30752413e+13
x_O116_Phase0   8.71570857e-01 +/- 5.33542714e+13
x_O117_Phase0   1.28158239e-01 +/- 4.84133722e+13
