Temperature,Path,Final_Rw,a,vol,outlier_pct,VO_Total,VO_Outliers,VO_Outlier_Pct,Uiso_O_Phase0,Uiso_O_Phase0_err,Uiso_V_Phase0,Uiso_V_Phase0_err,Uiso_Zr_Phase0,Uiso_Zr_Phase0_err,delta2_Phase0,delta2_Phase0_err,psize_Phase0,psize_Phase0_err,s_Phase0,s_Phase0_err
25,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_25C_avg_46_65_00000,0.1430195181153736,26.3404,18275.40867136326,0,800,106,13.25,0.00607922949,20301724000000.0,0.000615926625,2775424390000.0,0.000465027572,2387943710000.0,2.55081557,1.06407216e+16,200.475968,314745360000000.0,0.490079405,2268227960000.0
60,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_60C_avg_66_85_00000,0.1249218624882272,26.3637,18323.949369215858,0,800,122,15.25,0.0061966944,959350823000.0,0.00104939556,207374105000.0,5.19128699e-05,9778061350.0,2.55034664,266880218000000.0,166.004606,12061176100000.0,0.498260955,306444821000.0
70,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_70C_avg_106_125_00000,0.1285146670972435,26.3734,18344.182611930904,0,800,119,14.875,0.00737230461,1900377380000.0,0.00137123792,437454507000.0,0.00010110547,31553979200.0,2.70849727,866847333000000.0,173.345897,20266988600000.0,0.504928189,469164644000.0
75,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_75C_avg_126_145_00000,0.1284911252805488,26.3931,18385.320698383493,0,800,125,15.625,0.00640340688,15086017300000.0,0.00131700741,4211815760000.0,0.000283755139,1034190150000.0,2.56363461,4438729260000000.0,192.169787,224114810000000.0,0.510349633,2090625260000.0
80,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_80C_avg_146_165_00000,0.1209874556524348,26.4126,18426.10166379238,0,800,125,15.625,0.00748909298,571999421000.0,0.000832272947,78885989500.0,3.03496709e-05,3474634810.0,2.70656139,241361989000000.0,202.030111,6792932900000.0,0.500856943,191953349000.0
85,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_85C_avg_166_185_00000,0.1261985535471665,26.4068,18413.965646522433,0,800,125,15.625,0.0077858563,408833559000.0,0.00131715361,112587967000.0,0.000101660636,7177394440.0,2.72344939,287994992000000.0,208.600499,4946713540000.0,0.508450631,104828089000.0
90,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_90C_avg_186_205_00000,0.1080790749547226,26.4141,18429.24115655522,0,800,125,15.625,0.00672587407,487481550000.0,0.000962274102,93806347600.0,2.97419368e-05,2669650600.0,2.55469415,262346483000000.0,213.481673,6101359230000.0,0.507885149,177673348000.0
95,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_95C_avg_206_225_00000,0.1104681009884699,26.4156,18432.381005908417,0,800,125,15.625,0.00624338661,904683081000.0,0.00110722484,190071395000.0,4.62737188e-05,8531425100.0,2.4026528,413285749000000.0,219.460993,12022603100000.0,0.505920474,299696021000.0
100,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_100C_avg_226_245_00000,0.1106509084722125,26.4185,18438.452392531628,0,800,125,15.625,0.00692166168,26325585700.0,0.00123971097,5406482160.0,5.17331742e-05,223470954.0,2.55951647,18068061000000.0,223.222385,289704055000.0,0.50715249,6846154400.0
105,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_105C_avg_246_265_00000,0.1296589674094098,26.4612,18528.002724068934,0,800,138,17.25,0.00760106569,639885096000.0,0.00132163521,123943588000.0,0.000105659913,9572211160.0,2.72139744,512046606000000.0,278.405604,5999247120000.0,0.509142412,119034818000.0
