Results written: Mon Mar  2 07:36:39 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01224365
Contributions  0.01224365
Restraints     0.00000000
Chi2           2.31512012
Reduced Chi2   0.00784786
Rw             0.11065101

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   6.92166033e-03 +/- 7.95394988e+09
Uiso_V_Phase0   1.23969677e-03 +/- 1.33369566e+09
Uiso_Zr_Phase0  5.17388190e-05 +/- 5.37000159e+07
a_Phase0        2.64184949e+01 +/- 1.47876282e+11
delta2_Phase0   2.55951647e+00 +/- 2.39400543e+12
psize_Phase0    2.23222385e+02 +/- 2.84634951e+11
s_Phase0        5.07152405e-01 +/- 8.60429024e+09
x_O0_Phase0     4.03840000e-02 +/- 4.58213510e+10
x_O100_Phase0   9.04969000e-01 +/- 2.68692015e+11
x_O101_Phase0   9.51160000e-02 +/- 9.39383118e+10
x_O102_Phase0   5.96898000e-01 +/- 2.41812305e+11
x_O120_Phase0   2.09760000e-02 +/- 2.26994464e+10
x_O122_Phase0   4.79792000e-01 +/- 2.31424381e+11
x_O124_Phase0   9.79120000e-01 +/- 2.54708652e+11
x_O126_Phase0   5.21190000e-01 +/- 2.42896522e+11
x_O144_Phase0   1.36905000e-01 +/- 1.36635714e+11
x_O146_Phase0   3.62511000e-01 +/- 2.19419206e+11
x_O148_Phase0   8.62864000e-01 +/- 2.54945796e+11
x_O150_Phase0   6.36424000e-01 +/- 2.62601395e+11
x_O151_Phase0   3.63413000e-01 +/- 2.25971631e+11
x_O168_Phase0   7.22570000e-02 +/- 8.30389158e+10
x_O170_Phase0   4.26566000e-01 +/- 2.21510627e+11
x_O172_Phase0   9.25822000e-01 +/- 2.62392518e+11
x_O174_Phase0   5.74942000e-01 +/- 2.59704081e+11
x_O175_Phase0   4.24715000e-01 +/- 2.36768889e+11
x_O181_Phase0   8.68648000e-01 +/- 2.77180839e+11
x_O182_Phase0   6.32188000e-01 +/- 2.67551766e+11
x_O189_Phase0   3.09109000e-01 +/- 2.18044982e+11
x_O192_Phase0   2.14320000e-02 +/- 2.57693559e+10
x_O193_Phase0   9.78609000e-01 +/- 2.74028543e+11
x_O194_Phase0   4.78018000e-01 +/- 2.33483753e+11
x_O196_Phase0   9.77784000e-01 +/- 2.72222808e+11
x_O197_Phase0   2.18690000e-02 +/- 2.40912406e+10
x_O198_Phase0   5.22700000e-01 +/- 2.46162292e+11
x_O205_Phase0   6.87328000e-01 +/- 2.70076633e+11
x_O218_Phase0   1.62759000e-01 +/- 1.53414422e+11
x_O224_Phase0   1.58398000e-01 +/- 1.45921918e+11
x_O226_Phase0   3.38931000e-01 +/- 2.29670367e+11
x_O228_Phase0   8.38748000e-01 +/- 2.72399648e+11
x_O230_Phase0   6.59026000e-01 +/- 2.43735441e+11
x_O234_Phase0   1.88300000e-03 +/- 1.92451031e+09
x_O236_Phase0   9.97675000e-01 +/- 2.68146480e+11
x_O248_Phase0   1.64079000e-01 +/- 1.59283227e+11
x_O24_Phase0    2.28680000e-02 +/- 2.48851734e+10
x_O250_Phase0   3.37436000e-01 +/- 2.27176140e+11
x_O251_Phase0   6.62468000e-01 +/- 2.65595419e+11
x_O252_Phase0   8.34758000e-01 +/- 2.54794266e+11
x_O254_Phase0   6.63276000e-01 +/- 2.42608997e+11
x_O26_Phase0    4.76071000e-01 +/- 2.41118595e+11
x_O272_Phase0   1.12540000e-02 +/- 1.33407832e+10
x_O274_Phase0   4.88500000e-01 +/- 2.35778840e+11
x_O276_Phase0   9.88334000e-01 +/- 2.49951042e+11
x_O278_Phase0   5.11985000e-01 +/- 2.36621353e+11
x_O28_Phase0    9.76162000e-01 +/- 2.63583529e+11
x_O296_Phase0   5.63000001e-03 +/- 6.13575013e+09
x_O298_Phase0   4.96597000e-01 +/- 2.32084726e+11
x_O2_Phase0     4.60203000e-01 +/- 2.34418383e+11
x_O300_Phase0   9.95286000e-01 +/- 2.62504176e+11
x_O302_Phase0   5.05800000e-01 +/- 2.39284418e+11
x_O30_Phase0    5.23590000e-01 +/- 2.50638024e+11
x_O320_Phase0   3.58339000e-01 +/- 2.36262941e+11
x_O322_Phase0   1.41786000e-01 +/- 1.45674402e+11
x_O324_Phase0   6.41127000e-01 +/- 2.49113853e+11
x_O326_Phase0   8.58573000e-01 +/- 2.58031057e+11
x_O328_Phase0   4.37667000e-01 +/- 2.38180805e+11
x_O344_Phase0   1.07880000e-02 +/- 9.91619742e+09
x_O346_Phase0   4.89476000e-01 +/- 2.40137347e+11
x_O348_Phase0   9.88775000e-01 +/- 2.57750133e+11
x_O350_Phase0   5.09183000e-01 +/- 2.41042667e+11
x_O368_Phase0   2.35521000e-01 +/- 1.81605639e+11
x_O370_Phase0   2.64751000e-01 +/- 2.02379861e+11
x_O372_Phase0   7.67189000e-01 +/- 2.55390260e+11
x_O374_Phase0   7.32456000e-01 +/- 2.49561165e+11
x_O392_Phase0   2.83671000e-01 +/- 2.00838863e+11
x_O394_Phase0   2.16407000e-01 +/- 1.62991000e+11
x_O396_Phase0   7.18315000e-01 +/- 2.46625352e+11
x_O398_Phase0   7.83174000e-01 +/- 2.48845087e+11
x_O416_Phase0   1.91256000e-01 +/- 1.66765741e+11
x_O418_Phase0   3.10080000e-01 +/- 2.13590275e+11
x_O420_Phase0   8.09941000e-01 +/- 2.56880018e+11
x_O422_Phase0   6.90140000e-01 +/- 2.67218553e+11
x_O423_Phase0   3.09721000e-01 +/- 2.16538957e+11
x_O431_Phase0   2.98620000e-01 +/- 2.16926605e+11
x_O440_Phase0   1.57264000e-01 +/- 1.44578924e+11
x_O442_Phase0   3.43648000e-01 +/- 2.16619248e+11
x_O444_Phase0   8.43290000e-01 +/- 2.72219535e+11
x_O446_Phase0   6.57819000e-01 +/- 2.62101401e+11
x_O447_Phase0   3.42114000e-01 +/- 2.29891632e+11
x_O452_Phase0   7.24410000e-02 +/- 7.31253636e+10
x_O455_Phase0   4.28070000e-01 +/- 2.45793367e+11
x_O458_Phase0   8.11762000e-01 +/- 2.74994345e+11
x_O460_Phase0   6.87932000e-01 +/- 2.72194444e+11
x_O461_Phase0   3.12073000e-01 +/- 2.14020984e+11
x_O464_Phase0   1.02716000e-01 +/- 1.11589550e+11
