Results written: Tue Mar  3 12:06:35 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01692013
Contributions  0.01673835
Restraints     0.00018178
Chi2           3.41787230
Reduced Chi2   0.00528265
Rw             0.13006319

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   7.31580105e-03 +/- 1.14656647e+12
Uiso_V_Phase0   1.36986915e-03 +/- 2.43367974e+11
Uiso_Zr_Phase0  1.16333126e-04 +/- 2.25878193e+10
a_Phase0        2.64603397e+01 +/- 1.15219227e+13
delta2_Phase0   2.67563403e+00 +/- 3.35788849e+14
psize_Phase0    2.78405595e+02 +/- 2.87607354e+13
s_Phase0        5.11961878e-01 +/- 6.67905708e+11
x_O0_Phase0     4.03826437e-02 +/- 6.92105338e+12
x_O100_Phase0   9.04934954e-01 +/- 2.71933638e+13
x_O101_Phase0   9.51498081e-02 +/- 1.35028065e+13
x_O102_Phase0   5.96710623e-01 +/- 2.68267693e+13
x_O103_Phase0   4.03299763e-01 +/- 2.63026853e+13
x_O120_Phase0   2.10990650e-02 +/- 3.34082829e+12
x_O121_Phase0   9.78863205e-01 +/- 2.78783931e+13
x_O122_Phase0   4.79561180e-01 +/- 2.63521733e+13
x_O123_Phase0   5.20439130e-01 +/- 2.65498623e+13
x_O124_Phase0   9.78892560e-01 +/- 2.78842788e+13
x_O125_Phase0   2.11077908e-02 +/- 3.94431634e+12
x_O126_Phase0   5.21351457e-01 +/- 2.72535239e+13
x_O127_Phase0   4.78648624e-01 +/- 2.65870984e+13
x_O144_Phase0   1.36997027e-01 +/- 1.82570806e+13
x_O145_Phase0   8.63002983e-01 +/- 2.78075426e+13
x_O146_Phase0   3.62449700e-01 +/- 2.59196502e+13
x_O147_Phase0   6.37549394e-01 +/- 2.73555359e+13
x_O148_Phase0   8.62835207e-01 +/- 2.78431615e+13
x_O149_Phase0   1.37164688e-01 +/- 1.89175262e+13
x_O150_Phase0   6.36413612e-01 +/- 2.70585422e+13
x_O151_Phase0   3.63421445e-01 +/- 2.55095131e+13
x_O168_Phase0   7.25420335e-02 +/- 1.10357789e+13
x_O169_Phase0   9.27458341e-01 +/- 2.75120681e+13
x_O170_Phase0   4.26554817e-01 +/- 2.65050847e+13
x_O171_Phase0   5.73507731e-01 +/- 2.69707808e+13
x_O172_Phase0   9.25826153e-01 +/- 2.73552800e+13
x_O173_Phase0   7.41753156e-02 +/- 1.15116022e+13
x_O174_Phase0   5.74942468e-01 +/- 2.80028433e+13
x_O175_Phase0   4.24723439e-01 +/- 2.61987282e+13
x_O181_Phase0   8.68641240e-01 +/- 2.86939157e+13
x_O182_Phase0   6.32229456e-01 +/- 2.78195689e+13
x_O189_Phase0   3.09133351e-01 +/- 2.53346645e+13
x_O192_Phase0   2.14916279e-02 +/- 3.64528633e+12
x_O193_Phase0   9.78521314e-01 +/- 2.81281670e+13
x_O194_Phase0   4.77724400e-01 +/- 2.68717687e+13
x_O195_Phase0   5.22285254e-01 +/- 2.70528162e+13
x_O196_Phase0   9.77719267e-01 +/- 2.79586117e+13
x_O197_Phase0   2.18876448e-02 +/- 3.78582974e+12
x_O198_Phase0   5.22918664e-01 +/- 2.73116368e+13
x_O199_Phase0   4.77081079e-01 +/- 2.70161982e+13
x_O1_Phase0     9.59617465e-01 +/- 2.80340820e+13
x_O205_Phase0   6.87361831e-01 +/- 2.82017236e+13
x_O218_Phase0   1.62570861e-01 +/- 2.13709437e+13
x_O219_Phase0   8.37429469e-01 +/- 2.78350475e+13
x_O224_Phase0   1.58058168e-01 +/- 2.11435412e+13
x_O225_Phase0   8.41942123e-01 +/- 2.72401007e+13
x_O226_Phase0   3.38954348e-01 +/- 2.57527732e+13
x_O227_Phase0   6.61045362e-01 +/- 2.80878959e+13
x_O228_Phase0   8.38822127e-01 +/- 2.85182530e+13
x_O229_Phase0   1.61178157e-01 +/- 2.01898675e+13
x_O230_Phase0   6.59027193e-01 +/- 2.71162239e+13
x_O231_Phase0   3.40972895e-01 +/- 2.50550481e+13
x_O234_Phase0   2.03970092e-03 +/- 3.71560580e+11
x_O235_Phase0   9.97960129e-01 +/- 2.83064854e+13
x_O236_Phase0   9.97362857e-01 +/- 2.82373755e+13
x_O237_Phase0   2.63769090e-03 +/- 4.70305943e+11
x_O248_Phase0   1.64439728e-01 +/- 2.09806055e+13
x_O249_Phase0   8.35560160e-01 +/- 2.76451495e+13
x_O24_Phase0    2.29004266e-02 +/- 3.91662350e+12
x_O250_Phase0   3.37204871e-01 +/- 2.54921434e+13
x_O251_Phase0   6.62724901e-01 +/- 2.74387391e+13
x_O252_Phase0   8.34737385e-01 +/- 2.77740982e+13
x_O253_Phase0   1.65262594e-01 +/- 2.08436286e+13
x_O254_Phase0   6.63337351e-01 +/- 2.71787021e+13
x_O255_Phase0   3.36662855e-01 +/- 2.53857161e+13
x_O25_Phase0    9.77099794e-01 +/- 2.82387380e+13
x_O26_Phase0    4.75992739e-01 +/- 2.69491913e+13
x_O272_Phase0   1.08646870e-02 +/- 2.05736938e+12
x_O273_Phase0   9.89135554e-01 +/- 2.73597002e+13
x_O274_Phase0   4.88682470e-01 +/- 2.67764709e+13
x_O275_Phase0   5.11319558e-01 +/- 2.69717766e+13
x_O276_Phase0   9.88362685e-01 +/- 2.74640788e+13
x_O277_Phase0   1.16452621e-02 +/- 2.12874212e+12
x_O278_Phase0   5.11890959e-01 +/- 2.67632742e+13
x_O279_Phase0   4.88105858e-01 +/- 2.65439487e+13
x_O27_Phase0    5.24007404e-01 +/- 2.71750809e+13
x_O28_Phase0    9.76053154e-01 +/- 2.81138976e+13
x_O296_Phase0   5.54276120e-03 +/- 1.04646140e+12
x_O297_Phase0   9.94457589e-01 +/- 2.80090729e+13
x_O298_Phase0   4.96287348e-01 +/- 2.67074844e+13
x_O299_Phase0   5.03712838e-01 +/- 2.65166158e+13
x_O29_Phase0    2.39460852e-02 +/- 4.69525418e+12
x_O2_Phase0     4.60295459e-01 +/- 2.65845463e+13
x_O300_Phase0   9.95033519e-01 +/- 2.78717426e+13
x_O301_Phase0   4.96719390e-03 +/- 8.63159653e+11
x_O302_Phase0   5.05970130e-01 +/- 2.67760382e+13
x_O303_Phase0   4.94030025e-01 +/- 2.67916914e+13
