Results written: Wed Mar  4 11:34:11 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01628370
Contributions  0.01628370
Restraints     0.00000000
Chi2           3.34422209
Reduced Chi2   0.00500632
Rw             0.12760759

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   8.22636925e-03 +/- 3.29164544e+11
Uiso_V_Phase0   1.54021187e-03 +/- 6.72523760e+10
Uiso_Zr_Phase0  3.87873731e-05 +/- 1.91026780e+09
a_Phase0        2.64658993e+01 +/- 3.95123726e+12
delta2_Phase0   2.69545248e+00 +/- 1.09279638e+14
psize_Phase0    3.00300859e+02 +/- 7.73359110e+12
s_Phase0        5.11284110e-01 +/- 2.29109570e+11
x_O0_Phase0     4.04038503e-02 +/- 1.85931396e+12
x_O100_Phase0   9.04962252e-01 +/- 7.34300071e+12
x_O101_Phase0   9.51232278e-02 +/- 3.63327257e+12
x_O102_Phase0   5.96830458e-01 +/- 7.26255372e+12
x_O103_Phase0   4.03211242e-01 +/- 5.31281148e+12
x_O120_Phase0   2.09392404e-02 +/- 9.91520231e+11
x_O121_Phase0   9.79060835e-01 +/- 7.46498625e+12
x_O122_Phase0   4.79697909e-01 +/- 7.05686135e+12
x_O123_Phase0   5.20302572e-01 +/- 7.17451991e+12
x_O124_Phase0   9.79036563e-01 +/- 7.44705197e+12
x_O125_Phase0   2.09641320e-02 +/- 9.50934539e+11
x_O126_Phase0   5.21259255e-01 +/- 7.29942125e+12
x_O127_Phase0   4.78740760e-01 +/- 7.10367314e+12
x_O144_Phase0   1.36954454e-01 +/- 4.95940459e+12
x_O145_Phase0   8.63046021e-01 +/- 7.43231853e+12
x_O146_Phase0   3.62481815e-01 +/- 6.88672804e+12
x_O147_Phase0   6.37516855e-01 +/- 7.36693591e+12
x_O148_Phase0   8.62848283e-01 +/- 7.40124096e+12
x_O149_Phase0   1.37152212e-01 +/- 4.99050225e+12
x_O150_Phase0   6.36433929e-01 +/- 7.28572175e+12
x_O151_Phase0   3.63402464e-01 +/- 6.91940246e+12
x_O168_Phase0   7.23578242e-02 +/- 3.04985158e+12
x_O169_Phase0   9.27642746e-01 +/- 7.44574952e+12
x_O170_Phase0   4.26495003e-01 +/- 7.03106854e+12
x_O171_Phase0   5.73582097e-01 +/- 7.22583982e+12
x_O172_Phase0   9.25817952e-01 +/- 7.32398421e+12
x_O173_Phase0   7.41837260e-02 +/- 3.14799074e+12
x_O174_Phase0   5.74940603e-01 +/- 7.34989761e+12
x_O175_Phase0   4.24726732e-01 +/- 7.00820805e+12
x_O181_Phase0   8.68648693e-01 +/- 7.59492133e+12
x_O182_Phase0   6.32200840e-01 +/- 7.43463061e+12
x_O189_Phase0   3.09118297e-01 +/- 6.86961312e+12
x_O192_Phase0   2.14586320e-02 +/- 9.59630728e+11
x_O193_Phase0   9.78614809e-01 +/- 7.49972397e+12
x_O194_Phase0   4.77878823e-01 +/- 7.19826448e+12
x_O195_Phase0   5.22119130e-01 +/- 7.25272902e+12
x_O196_Phase0   9.77766760e-01 +/- 7.48607639e+12
x_O197_Phase0   2.18741397e-02 +/- 9.87987675e+11
x_O198_Phase0   5.22622927e-01 +/- 7.25134623e+12
x_O199_Phase0   4.77376807e-01 +/- 7.16579637e+12
x_O1_Phase0     9.59596451e-01 +/- 7.43378860e+12
x_O205_Phase0   6.87339399e-01 +/- 7.37546355e+12
x_O218_Phase0   1.62664873e-01 +/- 5.58027065e+12
x_O219_Phase0   8.37335471e-01 +/- 7.44241483e+12
x_O224_Phase0   1.58266182e-01 +/- 5.14670182e+12
x_O225_Phase0   8.41733745e-01 +/- 7.29561575e+12
x_O226_Phase0   3.38947118e-01 +/- 6.94573386e+12
x_O227_Phase0   6.61051845e-01 +/- 7.46535351e+12
x_O228_Phase0   8.38777180e-01 +/- 7.53069745e+12
x_O229_Phase0   1.61223118e-01 +/- 5.38847283e+12
x_O230_Phase0   6.59014400e-01 +/- 7.29310290e+12
x_O231_Phase0   3.40985396e-01 +/- 6.83855420e+12
x_O234_Phase0   1.95484998e-03 +/- 9.41487054e+10
x_O235_Phase0   9.98044939e-01 +/- 7.55122973e+12
x_O236_Phase0   9.97543039e-01 +/- 7.52412946e+12
x_O237_Phase0   2.45708206e-03 +/- 1.12446083e+11
x_O248_Phase0   1.64186967e-01 +/- 5.75199274e+12
x_O249_Phase0   8.35813778e-01 +/- 7.43931357e+12
x_O24_Phase0    2.28803168e-02 +/- 1.04138847e+12
x_O250_Phase0   3.37361611e-01 +/- 6.71359530e+12
x_O251_Phase0   6.62553949e-01 +/- 7.34418279e+12
x_O252_Phase0   8.34739882e-01 +/- 7.38720743e+12
x_O253_Phase0   1.65260051e-01 +/- 5.43946235e+12
x_O254_Phase0   6.63281296e-01 +/- 7.29049427e+12
x_O255_Phase0   3.36718514e-01 +/- 6.64554481e+12
x_O25_Phase0    9.77119693e-01 +/- 7.50288359e+12
x_O26_Phase0    4.76046034e-01 +/- 7.14786881e+12
x_O272_Phase0   1.11082070e-02 +/- 5.27160892e+11
x_O273_Phase0   9.88891641e-01 +/- 7.31493874e+12
x_O274_Phase0   4.88552159e-01 +/- 7.00708778e+12
x_O275_Phase0   5.11451533e-01 +/- 7.14895303e+12
x_O276_Phase0   9.88340398e-01 +/- 7.35748428e+12
x_O277_Phase0   1.16582907e-02 +/- 5.54127689e+11
x_O278_Phase0   5.12104368e-01 +/- 7.11534024e+12
x_O279_Phase0   4.87987653e-01 +/- 7.13297696e+12
x_O27_Phase0    5.23954879e-01 +/- 7.22858824e+12
x_O28_Phase0    9.76132168e-01 +/- 7.47824163e+12
x_O296_Phase0   5.08464857e-03 +/- 2.26199401e+11
x_O297_Phase0   9.94915125e-01 +/- 7.47055760e+12
x_O298_Phase0   4.96478227e-01 +/- 7.14636303e+12
x_O299_Phase0   5.03521870e-01 +/- 7.17161519e+12
x_O29_Phase0    2.38662962e-02 +/- 1.06193628e+12
x_O2_Phase0     4.60217418e-01 +/- 7.14230281e+12
x_O300_Phase0   9.95189874e-01 +/- 7.44751275e+12
x_O301_Phase0   4.81152298e-03 +/- 2.34283549e+11
x_O302_Phase0   5.05853518e-01 +/- 7.19770153e+12
x_O303_Phase0   4.94146187e-01 +/- 7.12012516e+12
