Results written: Thu Mar  5 15:27:04 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01684734
Contributions  0.01684734
Restraints     0.00000000
Chi2           3.45586848
Reduced Chi2   0.00517346
Rw             0.12979731

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   8.23172120e-03 +/- 4.97065983e+11
Uiso_V_Phase0   1.44582062e-03 +/- 9.69429458e+10
Uiso_Zr_Phase0  5.78724559e-05 +/- 4.30440486e+09
a_Phase0        2.64685133e+01 +/- 5.07031808e+12
delta2_Phase0   2.69336087e+00 +/- 1.57246174e+14
psize_Phase0    3.12605177e+02 +/- 1.05944866e+13
s_Phase0        5.04916077e-01 +/- 2.90229549e+11
x_O0_Phase0     4.04094044e-02 +/- 2.49673821e+12
x_O100_Phase0   9.04967059e-01 +/- 1.00869636e+13
x_O101_Phase0   9.51178148e-02 +/- 5.16628692e+12
x_O102_Phase0   5.96968942e-01 +/- 9.78256358e+12
x_O103_Phase0   4.03140692e-01 +/- 9.39992817e+12
x_O120_Phase0   2.10564306e-02 +/- 1.31336001e+12
x_O121_Phase0   9.78943514e-01 +/- 1.02356151e+13
x_O122_Phase0   4.79707039e-01 +/- 9.67863200e+12
x_O123_Phase0   5.20293491e-01 +/- 9.83602106e+12
x_O124_Phase0   9.79044476e-01 +/- 1.02161680e+13
x_O125_Phase0   2.09560617e-02 +/- 1.34406557e+12
x_O126_Phase0   5.21254068e-01 +/- 9.84705873e+12
x_O127_Phase0   4.78745603e-01 +/- 9.65634582e+12
x_O144_Phase0   1.36957395e-01 +/- 6.34031561e+12
x_O145_Phase0   8.63043086e-01 +/- 1.02045826e+13
x_O146_Phase0   3.62477304e-01 +/- 9.38980414e+12
x_O147_Phase0   6.37521479e-01 +/- 1.00570816e+13
x_O148_Phase0   8.62844008e-01 +/- 1.01999423e+13
x_O149_Phase0   1.37156328e-01 +/- 7.13008282e+12
x_O150_Phase0   6.36439253e-01 +/- 9.99677189e+12
x_O151_Phase0   3.63396857e-01 +/- 9.29598762e+12
x_O168_Phase0   7.23417056e-02 +/- 4.08777256e+12
x_O169_Phase0   9.27659044e-01 +/- 1.02013102e+13
x_O170_Phase0   4.26923256e-01 +/- 9.44006931e+12
x_O171_Phase0   5.73636487e-01 +/- 9.87780982e+12
x_O172_Phase0   9.25826825e-01 +/- 1.00174175e+13
x_O173_Phase0   7.41757538e-02 +/- 4.19354592e+12
x_O174_Phase0   5.74939106e-01 +/- 1.01881235e+13
x_O175_Phase0   4.24727776e-01 +/- 9.48055268e+12
x_O181_Phase0   8.68649320e-01 +/- 1.03990153e+13
x_O182_Phase0   6.32198489e-01 +/- 1.02405358e+13
x_O189_Phase0   3.09116945e-01 +/- 9.45270655e+12
x_O192_Phase0   2.14579456e-02 +/- 1.26511702e+12
x_O193_Phase0   9.78624160e-01 +/- 1.02846306e+13
x_O194_Phase0   4.77904912e-01 +/- 9.88732374e+12
x_O195_Phase0   5.22095046e-01 +/- 9.98108095e+12
x_O196_Phase0   9.77767866e-01 +/- 1.02568588e+13
x_O197_Phase0   2.18737305e-02 +/- 1.60775609e+12
x_O198_Phase0   5.22726015e-01 +/- 9.95531851e+12
x_O199_Phase0   4.77274039e-01 +/- 9.80602614e+12
x_O1_Phase0     9.59590534e-01 +/- 1.02695037e+13
x_O205_Phase0   6.87338683e-01 +/- 1.02207328e+13
x_O218_Phase0   1.62663122e-01 +/- 7.01895800e+12
x_O219_Phase0   8.37337394e-01 +/- 1.02155712e+13
x_O224_Phase0   1.58279202e-01 +/- 7.36541329e+12
x_O225_Phase0   8.41720734e-01 +/- 9.94742121e+12
x_O226_Phase0   3.38944665e-01 +/- 9.65234147e+12
x_O227_Phase0   6.61054487e-01 +/- 1.01576822e+13
x_O228_Phase0   8.38771164e-01 +/- 1.03832079e+13
x_O229_Phase0   1.61229059e-01 +/- 7.73847585e+12
x_O230_Phase0   6.59010237e-01 +/- 1.00077996e+13
x_O231_Phase0   3.40989344e-01 +/- 9.32718734e+12
x_O234_Phase0   1.93838716e-03 +/- 1.26085716e+11
x_O235_Phase0   9.98061540e-01 +/- 1.03017832e+13
x_O236_Phase0   9.97559072e-01 +/- 1.03748713e+13
x_O237_Phase0   2.44105274e-03 +/- 1.79079607e+11
x_O248_Phase0   1.64176134e-01 +/- 7.42183257e+12
x_O249_Phase0   8.35824269e-01 +/- 1.02367126e+13
x_O24_Phase0    2.28733676e-02 +/- 1.38636507e+12
x_O250_Phase0   3.37371241e-01 +/- 9.31823454e+12
x_O251_Phase0   6.62541753e-01 +/- 9.96716689e+12
x_O252_Phase0   8.34742630e-01 +/- 1.00859451e+13
x_O253_Phase0   1.65257357e-01 +/- 7.78450099e+12
x_O254_Phase0   6.63278130e-01 +/- 9.96968189e+12
x_O255_Phase0   3.36721955e-01 +/- 9.35947201e+12
x_O25_Phase0    9.77126727e-01 +/- 1.03224212e+13
x_O26_Phase0    4.76053224e-01 +/- 9.91484585e+12
x_O272_Phase0   1.11340861e-02 +/- 7.22227741e+11
x_O273_Phase0   9.88866146e-01 +/- 1.00000533e+13
x_O274_Phase0   4.88537766e-01 +/- 9.66059106e+12
x_O275_Phase0   5.11465158e-01 +/- 9.85233425e+12
x_O276_Phase0   9.88370869e-01 +/- 1.01248470e+13
x_O277_Phase0   1.16337615e-02 +/- 7.86719029e+11
x_O278_Phase0   5.12033326e-01 +/- 9.62889543e+12
x_O279_Phase0   4.87998596e-01 +/- 9.71062003e+12
x_O27_Phase0    5.23947587e-01 +/- 1.00015986e+13
x_O28_Phase0    9.76138655e-01 +/- 1.02989171e+13
x_O296_Phase0   5.37776969e-03 +/- 3.23480850e+11
x_O297_Phase0   9.94478916e-01 +/- 1.02842974e+13
x_O298_Phase0   4.96501578e-01 +/- 9.74318396e+12
x_O299_Phase0   5.03498500e-01 +/- 9.84918534e+12
x_O29_Phase0    2.38600684e-02 +/- 1.61370525e+12
x_O2_Phase0     4.60216420e-01 +/- 9.87934686e+12
x_O300_Phase0   9.95220249e-01 +/- 1.02197984e+13
x_O301_Phase0   4.78067472e-03 +/- 3.34772261e+11
x_O302_Phase0   5.05830102e-01 +/- 9.91151894e+12
x_O303_Phase0   4.94169801e-01 +/- 9.82726053e+12
