Results written: Fri Mar  6 16:06:21 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01738092
Contributions  0.01738092
Restraints     0.00000000
Chi2           3.60449438
Reduced Chi2   0.00539595
Rw             0.13183671

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   8.33114726e-03 +/- 5.21996955e+11
Uiso_V_Phase0   1.58721888e-03 +/- 1.07719281e+11
Uiso_Zr_Phase0  6.18901478e-05 +/- 3.44600227e+09
a_Phase0        2.64699509e+01 +/- 5.23394073e+12
delta2_Phase0   2.69868970e+00 +/- 1.58304359e+14
psize_Phase0    3.20013036e+02 +/- 1.08627836e+13
s_Phase0        5.13547566e-01 +/- 3.05316506e+11
x_O0_Phase0     4.03953044e-02 +/- 2.40428427e+12
x_O100_Phase0   9.04965713e-01 +/- 1.02755679e+13
x_O101_Phase0   9.51190264e-02 +/- 5.16575788e+12
x_O102_Phase0   5.96796249e-01 +/- 1.01802664e+13
x_O103_Phase0   4.02839693e-01 +/- 9.73885337e+12
x_O120_Phase0   2.10188672e-02 +/- 1.49102543e+12
x_O121_Phase0   9.78981985e-01 +/- 1.04859430e+13
x_O122_Phase0   4.79747842e-01 +/- 1.00498152e+13
x_O123_Phase0   5.20252840e-01 +/- 1.00714437e+13
x_O124_Phase0   9.79079508e-01 +/- 1.04543088e+13
x_O125_Phase0   2.09212672e-02 +/- 1.49050499e+12
x_O126_Phase0   5.21222254e-01 +/- 1.02353950e+13
x_O127_Phase0   4.78777802e-01 +/- 9.94690990e+12
x_O144_Phase0   1.36941213e-01 +/- 6.86556193e+12
x_O145_Phase0   8.63059064e-01 +/- 1.04822096e+13
x_O146_Phase0   3.62487083e-01 +/- 9.63679925e+12
x_O147_Phase0   6.37511786e-01 +/- 1.03206551e+13
x_O148_Phase0   8.62846049e-01 +/- 1.04081256e+13
x_O149_Phase0   1.37154328e-01 +/- 6.86509792e+12
x_O150_Phase0   6.36439522e-01 +/- 1.02483042e+13
x_O151_Phase0   3.63396898e-01 +/- 9.70947434e+12
x_O168_Phase0   7.22920950e-02 +/- 4.25148291e+12
x_O169_Phase0   9.27708384e-01 +/- 1.04259278e+13
x_O170_Phase0   4.26930188e-01 +/- 9.79590116e+12
x_O171_Phase0   5.73426622e-01 +/- 1.00771143e+13
x_O172_Phase0   9.25827151e-01 +/- 1.02607027e+13
x_O173_Phase0   7.41761720e-02 +/- 4.30705435e+12
x_O174_Phase0   5.74940508e-01 +/- 1.02923384e+13
x_O175_Phase0   4.24724426e-01 +/- 9.84625450e+12
x_O181_Phase0   8.68649275e-01 +/- 1.06383228e+13
x_O182_Phase0   6.32194864e-01 +/- 1.04557585e+13
x_O189_Phase0   3.09113757e-01 +/- 9.42140695e+12
x_O192_Phase0   2.14499408e-02 +/- 1.46447674e+12
x_O193_Phase0   9.78609310e-01 +/- 1.05300197e+13
x_O194_Phase0   4.77960317e-01 +/- 1.00582434e+13
x_O195_Phase0   5.22039997e-01 +/- 1.01286730e+13
x_O196_Phase0   9.77774211e-01 +/- 1.04998189e+13
x_O197_Phase0   2.18721582e-02 +/- 1.29404602e+12
x_O198_Phase0   5.22689322e-01 +/- 1.02108774e+13
x_O199_Phase0   4.77310385e-01 +/- 1.00765923e+13
x_O1_Phase0     9.59605276e-01 +/- 1.04742725e+13
x_O205_Phase0   6.87333084e-01 +/- 1.05289940e+13
x_O218_Phase0   1.62702069e-01 +/- 7.97762787e+12
x_O219_Phase0   8.37298304e-01 +/- 1.04729337e+13
x_O224_Phase0   1.58335169e-01 +/- 7.45993589e+12
x_O225_Phase0   8.41664254e-01 +/- 1.02974580e+13
x_O226_Phase0   3.38937919e-01 +/- 9.94526562e+12
x_O227_Phase0   6.61060866e-01 +/- 1.04960700e+13
x_O228_Phase0   8.38760901e-01 +/- 1.06457213e+13
x_O229_Phase0   1.61239469e-01 +/- 7.53096449e+12
x_O230_Phase0   6.59016936e-01 +/- 1.01993139e+13
x_O231_Phase0   3.40982567e-01 +/- 9.49765045e+12
x_O234_Phase0   1.91251374e-03 +/- 1.24713366e+11
x_O235_Phase0   9.98087536e-01 +/- 1.05652500e+13
x_O236_Phase0   9.97614952e-01 +/- 1.06111279e+13
x_O237_Phase0   2.38530286e-03 +/- 1.78925000e+11
x_O248_Phase0   1.64128576e-01 +/- 7.67579597e+12
x_O249_Phase0   8.35871687e-01 +/- 1.04383987e+13
x_O24_Phase0    2.28673445e-02 +/- 1.39837351e+12
x_O250_Phase0   3.37397279e-01 +/- 9.37604410e+12
x_O251_Phase0   6.62511408e-01 +/- 1.00870943e+13
x_O252_Phase0   8.34750673e-01 +/- 1.04074515e+13
x_O253_Phase0   1.65249602e-01 +/- 7.87883040e+12
x_O254_Phase0   6.63274633e-01 +/- 1.01919799e+13
x_O255_Phase0   3.36725607e-01 +/- 9.46543319e+12
x_O25_Phase0    9.77132923e-01 +/- 1.05215328e+13
x_O26_Phase0    4.76062752e-01 +/- 1.00924410e+13
x_O272_Phase0   1.11975945e-02 +/- 7.34313726e+11
x_O273_Phase0   9.88802684e-01 +/- 1.02971144e+13
x_O274_Phase0   4.88518779e-01 +/- 9.98711110e+12
x_O275_Phase0   5.11485940e-01 +/- 1.00550038e+13
x_O276_Phase0   9.88492510e-01 +/- 9.70077746e+12
x_O277_Phase0   1.15139009e-02 +/- 6.97385002e+11
x_O278_Phase0   5.11992804e-01 +/- 1.01164526e+13
x_O279_Phase0   4.87957459e-01 +/- 9.95987164e+12
x_O27_Phase0    5.23938091e-01 +/- 1.01508155e+13
x_O28_Phase0    9.76156535e-01 +/- 1.05161089e+13
x_O296_Phase0   5.28566613e-03 +/- 3.48672614e+11
x_O297_Phase0   9.94714309e-01 +/- 1.04441688e+13
x_O298_Phase0   4.96548765e-01 +/- 1.00810327e+13
x_O299_Phase0   5.03451103e-01 +/- 9.97920338e+12
x_O29_Phase0    2.38421384e-02 +/- 1.60661893e+12
x_O2_Phase0     4.60209332e-01 +/- 9.94783390e+12
x_O300_Phase0   9.95250314e-01 +/- 1.04686991e+13
x_O301_Phase0   4.75131368e-03 +/- 3.31852539e+11
x_O302_Phase0   5.05815351e-01 +/- 1.01078371e+13
x_O303_Phase0   4.94184468e-01 +/- 1.01593861e+13
