Results written: Sat Mar  7 07:47:32 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02235527
Contributions  0.02235527
Restraints     0.00000000
Chi2           4.47934815
Reduced Chi2   0.01518423
Rw             0.14951680

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   8.25311292e-03 +/- 1.40547722e+12
Uiso_V_Phase0   2.08192714e-03 +/- 3.63059813e+11
Uiso_Zr_Phase0  1.56219399e-04 +/- 2.61203600e+10
a_Phase0        2.64677862e+01 +/- 1.44860766e+13
delta2_Phase0   2.56550200e+00 +/- 4.09004713e+14
psize_Phase0    3.22334526e+02 +/- 4.38814095e+13
s_Phase0        5.19273703e-01 +/- 8.61208593e+11
x_O0_Phase0     4.03841501e-02 +/- 6.53326460e+12
x_O100_Phase0   9.04968909e-01 +/- 4.04188906e+13
x_O101_Phase0   9.51160832e-02 +/- 1.45698169e+13
x_O102_Phase0   5.96897606e-01 +/- 3.54055925e+13
x_O120_Phase0   2.09769532e-02 +/- 3.69161195e+12
x_O122_Phase0   4.79791498e-01 +/- 3.39105101e+13
x_O124_Phase0   9.79119073e-01 +/- 3.72944152e+13
x_O126_Phase0   5.21190657e-01 +/- 3.56283138e+13
x_O144_Phase0   1.36905618e-01 +/- 1.83855017e+13
x_O146_Phase0   3.62510592e-01 +/- 3.43268327e+13
x_O148_Phase0   8.62863630e-01 +/- 3.74526583e+13
x_O150_Phase0   6.36424230e-01 +/- 4.02691416e+13
x_O151_Phase0   3.63412761e-01 +/- 3.56956124e+13
x_O168_Phase0   7.22570585e-02 +/- 1.21386509e+13
x_O170_Phase0   4.26565486e-01 +/- 3.32151727e+13
x_O172_Phase0   9.25822011e-01 +/- 3.89798675e+13
x_O174_Phase0   5.74941988e-01 +/- 4.03632168e+13
x_O175_Phase0   4.24715100e-01 +/- 3.60430292e+13
x_O181_Phase0   8.68648015e-01 +/- 4.17895232e+13
x_O182_Phase0   6.32188118e-01 +/- 4.00871835e+13
x_O189_Phase0   3.09109064e-01 +/- 3.25285338e+13
x_O192_Phase0   2.14320561e-02 +/- 3.72295818e+12
x_O193_Phase0   9.78608792e-01 +/- 4.15186019e+13
x_O194_Phase0   4.78017405e-01 +/- 3.49818439e+13
x_O196_Phase0   9.77783870e-01 +/- 4.14856331e+13
x_O197_Phase0   2.18690415e-02 +/- 3.71537004e+12
x_O198_Phase0   5.22700301e-01 +/- 3.60220058e+13
x_O205_Phase0   6.87328090e-01 +/- 4.10882587e+13
x_O218_Phase0   1.62758081e-01 +/- 2.27776257e+13
x_O224_Phase0   1.58397152e-01 +/- 2.21451491e+13
x_O226_Phase0   3.38931103e-01 +/- 3.29644087e+13
x_O228_Phase0   8.38748158e-01 +/- 4.15875971e+13
x_O230_Phase0   6.59025693e-01 +/- 3.71166875e+13
x_O234_Phase0   1.88323072e-03 +/- 2.77427970e+11
x_O236_Phase0   9.97674359e-01 +/- 4.04373193e+13
x_O248_Phase0   1.64079356e-01 +/- 2.24367831e+13
x_O24_Phase0    2.28677482e-02 +/- 3.76410379e+12
x_O250_Phase0   3.37436126e-01 +/- 3.38752920e+13
x_O251_Phase0   6.62467880e-01 +/- 4.00218850e+13
x_O252_Phase0   8.34756439e-01 +/- 3.70187886e+13
x_O254_Phase0   6.63275990e-01 +/- 3.26707614e+13
x_O26_Phase0    4.76071054e-01 +/- 3.66828809e+13
x_O272_Phase0   1.12534848e-02 +/- 2.04368121e+12
x_O274_Phase0   4.88499971e-01 +/- 3.39853214e+13
x_O276_Phase0   9.88334398e-01 +/- 3.59508292e+13
x_O278_Phase0   5.11984956e-01 +/- 3.51297851e+13
x_O28_Phase0    9.76162060e-01 +/- 3.94389324e+13
x_O296_Phase0   5.62958291e-03 +/- 9.70401151e+11
x_O298_Phase0   4.96596638e-01 +/- 3.48320178e+13
x_O2_Phase0     4.60203309e-01 +/- 3.58401353e+13
x_O300_Phase0   9.95285767e-01 +/- 3.86330406e+13
x_O302_Phase0   5.05800346e-01 +/- 3.57155421e+13
x_O30_Phase0    5.23589848e-01 +/- 3.71810552e+13
x_O320_Phase0   3.58339159e-01 +/- 3.58674945e+13
x_O322_Phase0   1.41785535e-01 +/- 1.97595854e+13
x_O324_Phase0   6.41126711e-01 +/- 3.69677320e+13
x_O326_Phase0   8.58572851e-01 +/- 3.83239479e+13
x_O328_Phase0   4.37666577e-01 +/- 3.63357124e+13
x_O344_Phase0   1.07887469e-02 +/- 1.81445330e+12
x_O346_Phase0   4.89475040e-01 +/- 3.52263770e+13
x_O348_Phase0   9.88774126e-01 +/- 3.73929546e+13
x_O350_Phase0   5.09183651e-01 +/- 3.60506419e+13
x_O368_Phase0   2.35521769e-01 +/- 2.94810355e+13
x_O370_Phase0   2.64750994e-01 +/- 2.96118166e+13
x_O372_Phase0   7.67188727e-01 +/- 3.83854636e+13
x_O374_Phase0   7.32455599e-01 +/- 3.68191828e+13
x_O392_Phase0   2.83672495e-01 +/- 2.85000946e+13
x_O394_Phase0   2.16406498e-01 +/- 2.54076280e+13
x_O396_Phase0   7.18314672e-01 +/- 3.66521135e+13
x_O398_Phase0   7.83174981e-01 +/- 3.65890266e+13
x_O416_Phase0   1.91255374e-01 +/- 2.36388942e+13
x_O418_Phase0   3.10080407e-01 +/- 3.24774446e+13
x_O420_Phase0   8.09941552e-01 +/- 3.82372465e+13
x_O422_Phase0   6.90139745e-01 +/- 4.05158699e+13
x_O423_Phase0   3.09721086e-01 +/- 3.22322755e+13
x_O431_Phase0   2.98620091e-01 +/- 3.25632657e+13
x_O440_Phase0   1.57255143e-01 +/- 2.09941925e+13
x_O442_Phase0   3.43648117e-01 +/- 3.42462328e+13
x_O444_Phase0   8.43293339e-01 +/- 4.17835207e+13
x_O446_Phase0   6.57818871e-01 +/- 3.98762472e+13
x_O447_Phase0   3.42114075e-01 +/- 3.52483071e+13
x_O452_Phase0   7.24427810e-02 +/- 1.13438019e+13
x_O455_Phase0   4.28069915e-01 +/- 3.70640649e+13
x_O458_Phase0   8.11761665e-01 +/- 4.11627059e+13
x_O460_Phase0   6.87937944e-01 +/- 4.09928466e+13
x_O461_Phase0   3.12067387e-01 +/- 3.36298555e+13
x_O464_Phase0   1.02716128e-01 +/- 1.61508031e+13
