Results written: Tue Mar 10 04:16:53 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01725004
Contributions  0.01592402
Restraints     0.00132602
Chi2           2.79396287
Reduced Chi2   0.00947106
Rw             0.13125885

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   8.77551782e-03 +/- 1.70200514e+12
Uiso_V_Phase0   2.44857915e-03 +/- 4.43683334e+11
Uiso_Zr_Phase0  1.11673524e-03 +/- 2.12944959e+11
a_Phase0        2.64414053e+01 +/- 8.42921289e+12
delta2_Phase0   2.40821066e+00 +/- 2.36631017e+14
psize_Phase0    2.20895340e+02 +/- 5.14965131e+13
s_Phase0        5.03556234e-01 +/- 5.10211913e+11
x_O0_Phase0     4.04225337e-02 +/- 7.37420476e+12
x_O100_Phase0   9.04619303e-01 +/- 4.60335080e+13
x_O101_Phase0   9.54140615e-02 +/- 1.67563228e+13
x_O102_Phase0   5.97005954e-01 +/- 3.90701595e+13
x_O120_Phase0   2.11750350e-02 +/- 4.16874393e+12
x_O122_Phase0   4.79557359e-01 +/- 3.76246251e+13
x_O124_Phase0   9.78700007e-01 +/- 3.34661578e+13
x_O126_Phase0   5.21586000e-01 +/- 3.80225083e+13
x_O144_Phase0   1.36949984e-01 +/- 2.25630046e+13
x_O146_Phase0   3.62438747e-01 +/- 3.83755163e+13
x_O148_Phase0   8.62866111e-01 +/- 4.18217137e+13
x_O150_Phase0   6.36321159e-01 +/- 4.60852605e+13
x_O151_Phase0   3.63511112e-01 +/- 4.02386734e+13
x_O168_Phase0   7.24808497e-02 +/- 1.42082088e+13
x_O170_Phase0   4.26470470e-01 +/- 3.81187719e+13
x_O172_Phase0   9.25815815e-01 +/- 4.36674991e+13
x_O174_Phase0   5.74970132e-01 +/- 4.57604509e+13
x_O175_Phase0   4.24630229e-01 +/- 4.19630198e+13
x_O181_Phase0   8.68646317e-01 +/- 4.95832766e+13
x_O182_Phase0   6.32256396e-01 +/- 4.73002009e+13
x_O189_Phase0   3.09154570e-01 +/- 4.04077453e+13
x_O192_Phase0   2.14411968e-02 +/- 4.18074712e+12
x_O193_Phase0   9.78593316e-01 +/- 4.83807517e+13
x_O194_Phase0   4.77754086e-01 +/- 3.88772935e+13
x_O196_Phase0   9.77722335e-01 +/- 4.78742691e+13
x_O197_Phase0   2.18815604e-02 +/- 4.47800569e+12
x_O198_Phase0   5.22920519e-01 +/- 2.57577836e+13
x_O205_Phase0   6.87443053e-01 +/- 4.74949244e+13
x_O218_Phase0   1.62316994e-01 +/- 2.50618559e+13
x_O224_Phase0   1.57822218e-01 +/- 2.46431194e+13
x_O226_Phase0   3.39073402e-01 +/- 4.07685337e+13
x_O228_Phase0   8.38957639e-01 +/- 4.84634102e+13
x_O230_Phase0   6.58705231e-01 +/- 3.59705517e+13
x_O234_Phase0   1.88968620e-03 +/- 3.79414091e+11
x_O236_Phase0   9.97413317e-01 +/- 4.60312595e+13
x_O248_Phase0   1.63977619e-01 +/- 2.50555313e+13
x_O24_Phase0    2.27282715e-02 +/- 4.32293599e+12
x_O250_Phase0   3.37682787e-01 +/- 4.01229212e+13
x_O251_Phase0   6.62220533e-01 +/- 4.60782130e+13
x_O252_Phase0   8.35070600e-01 +/- 4.16140454e+13
x_O254_Phase0   6.63041476e-01 +/- 4.04708283e+13
x_O26_Phase0    4.75896814e-01 +/- 3.98373560e+13
x_O272_Phase0   1.10921721e-02 +/- 2.29151467e+12
x_O274_Phase0   4.88468564e-01 +/- 3.85449413e+13
x_O276_Phase0   9.88333541e-01 +/- 4.03073115e+13
x_O278_Phase0   5.12214636e-01 +/- 3.90282580e+13
x_O28_Phase0    9.75916692e-01 +/- 4.39221124e+13
x_O296_Phase0   5.79800867e-03 +/- 1.15643282e+12
x_O298_Phase0   4.96451722e-01 +/- 3.90077937e+13
x_O2_Phase0     4.60426078e-01 +/- 3.95351836e+13
x_O300_Phase0   9.95107542e-01 +/- 4.20231566e+13
x_O302_Phase0   5.06354241e-01 +/- 3.89608590e+13
x_O30_Phase0    5.23633146e-01 +/- 4.03064139e+13
x_O320_Phase0   3.58480022e-01 +/- 4.16050638e+13
x_O322_Phase0   1.41428348e-01 +/- 2.28304605e+13
x_O324_Phase0   6.40948663e-01 +/- 4.02350563e+13
x_O326_Phase0   8.58653226e-01 +/- 4.13638816e+13
x_O328_Phase0   4.37642576e-01 +/- 4.17844073e+13
x_O344_Phase0   1.07992961e-02 +/- 2.11017699e+12
x_O346_Phase0   4.89267184e-01 +/- 3.94734740e+13
x_O348_Phase0   9.88349610e-01 +/- 4.01733275e+13
x_O350_Phase0   5.09307504e-01 +/- 3.77509542e+13
x_O368_Phase0   2.35919918e-01 +/- 3.08973678e+13
x_O370_Phase0   2.64473924e-01 +/- 3.46252475e+13
x_O372_Phase0   7.66762595e-01 +/- 4.07659661e+13
x_O374_Phase0   7.32405727e-01 +/- 4.01026768e+13
x_O392_Phase0   2.84178884e-01 +/- 3.28442351e+13
x_O394_Phase0   2.16223964e-01 +/- 2.94049663e+13
x_O396_Phase0   7.18618076e-01 +/- 4.09785374e+13
x_O398_Phase0   7.83213858e-01 +/- 3.98862325e+13
x_O416_Phase0   1.91021035e-01 +/- 2.89390203e+13
x_O418_Phase0   3.10198226e-01 +/- 3.68668865e+13
x_O420_Phase0   8.10067110e-01 +/- 4.16052227e+13
x_O422_Phase0   6.90270043e-01 +/- 4.19353993e+13
x_O423_Phase0   3.09827434e-01 +/- 3.61175926e+13
x_O431_Phase0   2.98727311e-01 +/- 3.80105837e+13
x_O440_Phase0   1.57387681e-01 +/- 2.46045598e+13
x_O442_Phase0   3.43492431e-01 +/- 3.79117150e+13
x_O444_Phase0   8.43161786e-01 +/- 4.82850725e+13
x_O446_Phase0   6.57784396e-01 +/- 4.56297664e+13
x_O447_Phase0   3.42129761e-01 +/- 3.98036381e+13
x_O452_Phase0   7.25004593e-02 +/- 1.38397474e+13
x_O455_Phase0   4.27968865e-01 +/- 4.41049695e+13
x_O458_Phase0   8.11667218e-01 +/- 4.85947878e+13
x_O460_Phase0   6.87960208e-01 +/- 4.88244318e+13
x_O461_Phase0   3.12043981e-01 +/- 3.83680117e+13
x_O464_Phase0   1.02566697e-01 +/- 1.70482723e+13
x_O466_Phase0   3.98268844e-01 +/- 3.39880709e+13
x_O468_Phase0   8.97632847e-01 +/- 4.93794945e+13
x_O470_Phase0   6.02228761e-01 +/- 4.59405614e+13
x_O476_Phase0   2.97831100e-01 +/- 3.73839065e+13
x_O478_Phase0   7.98318465e-01 +/- 4.52070788e+13
x_O48_Phase0    9.10915596e-03 +/- 1.93945026e+12
x_O492_Phase0   2.37496957e-02 +/- 4.26380211e+12
x_O494_Phase0   4.75846565e-01 +/- 3.77448033e+13
x_O496_Phase0   9.75026274e-01 +/- 4.30137744e+13
x_O498_Phase0   5.23983905e-01 +/- 3.90136136e+13
x_O4_Phase0     9.60285369e-01 +/- 4.39325640e+13
x_O50_Phase0    4.90609192e-01 +/- 3.90096707e+13
x_O516_Phase0   1.02959601e-01 +/- 1.91973154e+13
x_O518_Phase0   3.97343884e-01 +/- 3.37529621e+13
x_O520_Phase0   8.97774638e-01 +/- 4.22075519e+13
x_O522_Phase0   6.02774180e-01 +/- 3.98139630e+13
x_O52_Phase0    9.90788600e-01 +/- 4.28567317e+13
x_O540_Phase0   2.55511715e-02 +/- 4.53955259e+12
x_O542_Phase0   4.74000471e-01 +/- 3.38828966e+13
x_O544_Phase0   9.76261129e-01 +/- 4.13977852e+13
x_O546_Phase0   5.25745372e-01 +/- 4.03553132e+13
x_O54_Phase0    5.10523469e-01 +/- 3.92171921e+13
x_O564_Phase0   4.00988944e-02 +/- 7.73197613e+12
x_O566_Phase0   4.58392831e-01 +/- 3.90025145e+13
x_O568_Phase0   9.60816029e-01 +/- 4.82309252e+13
x_O570_Phase0   5.40772316e-01 +/- 3.99635148e+13
x_O576_Phase0   2.23877763e-01 +/- 3.35342369e+13
x_O584_Phase0   6.39854412e-01 +/- 4.80848096e+13
x_O588_Phase0   1.63170084e-01 +/- 2.58885583e+13
x_O590_Phase0   3.36936156e-01 +/- 3.42846681e+13
x_O592_Phase0   8.36871679e-01 +/- 4.10553719e+13
x_O594_Phase0   6.62236728e-01 +/- 2.79635092e+13
x_O612_Phase0   2.54896853e-01 +/- 3.08163686e+13
x_O614_Phase0   2.47781606e-01 +/- 3.07199737e+13
x_O616_Phase0   7.47504061e-01 +/- 3.67369972e+13
x_O618_Phase0   7.55774398e-01 +/- 4.00976265e+13
x_O636_Phase0   2.00538809e-01 +/- 2.79649278e+13
x_O638_Phase0   3.00279433e-01 +/- 3.46151484e+13
x_O640_Phase0   8.00204079e-01 +/- 4.23951205e+13
x_O642_Phase0   6.99979246e-01 +/- 4.20412656e+13
x_O660_Phase0   1.43329092e-01 +/- 2.41647347e+13
x_O662_Phase0   3.55952553e-01 +/- 3.61796873e+13
x_O664_Phase0   8.55717288e-01 +/- 4.64137805e+13
x_O665_Phase0   1.44253093e-01 +/- 2.36127248e+13
x_O666_Phase0   6.44553544e-01 +/- 4.11144900e+13
x_O684_Phase0   7.05947549e-02 +/- 1.16029432e+13
x_O686_Phase0   4.31240964e-01 +/- 4.13342159e+13
x_O688_Phase0   9.30270193e-01 +/- 4.72410820e+13
x_O689_Phase0   6.97857912e-02 +/- 1.35609456e+13
x_O690_Phase0   5.69589887e-01 +/- 3.93317543e+13
x_O6_Phase0     5.40689991e-01 +/- 4.09202644e+13
x_O702_Phase0   6.99118410e-01 +/- 4.79234557e+13
x_O708_Phase0   1.36656661e-01 +/- 2.17206805e+13
x_O710_Phase0   3.63419375e-01 +/- 3.64853807e+13
x_O712_Phase0   8.63778064e-01 +/- 4.75469649e+13
x_O713_Phase0   1.36212927e-01 +/- 2.30105588e+13
x_O714_Phase0   6.36599908e-01 +/- 4.05307444e+13
x_O72_Phase0    2.64416377e-02 +/- 5.42668786e+12
x_O732_Phase0   1.98784248e-01 +/- 2.85178201e+13
x_O734_Phase0   2.99726967e-01 +/- 3.51178765e+13
x_O736_Phase0   7.99064724e-01 +/- 4.88201819e+13
x_O738_Phase0   7.01023839e-01 +/- 4.88151518e+13
x_O739_Phase0   2.98931244e-01 +/- 3.86154926e+13
x_O744_Phase0   2.54364680e-01 +/- 3.05083924e+13
x_O746_Phase0   7.55768229e-01 +/- 4.68971565e+13
x_O747_Phase0   2.44193248e-01 +/- 3.50787412e+13
x_O74_Phase0    4.71735469e-01 +/- 3.86016055e+13
x_O76_Phase0    9.72791461e-01 +/- 4.11567087e+13
x_O78_Phase0    5.26244110e-01 +/- 4.44612145e+13
x_O79_Phase0    4.73794114e-01 +/- 4.32596885e+13
x_O96_Phase0    9.85038938e-02 +/- 1.74658803e+13
x_O98_Phase0    4.02435014e-01 +/- 3.66571269e+13
x_V0_Phase0     4.40937680e-02 +/- 7.84967651e+12
x_V100_Phase0   8.73545182e-01 +/- 3.18587032e+13
x_V101_Phase0   1.26648454e-01 +/- 2.21985139e+13
x_V102_Phase0   6.28794007e-01 +/- 3.81365192e+13
x_V103_Phase0   3.70778554e-01 +/- 3.89923906e+13
x_V119_Phase0   7.94546098e-01 +/- 4.75802674e+13
x_V120_Phase0   1.34623876e-01 +/- 2.19968755e+13
x_V121_Phase0   8.65377740e-01 +/- 3.46375425e+13
x_V122_Phase0   3.66325616e-01 +/- 3.79406120e+13
x_V123_Phase0   6.33701327e-01 +/- 4.68691096e+13
x_V124_Phase0   8.67458370e-01 +/- 4.33118660e+13
x_V126_Phase0   6.29023933e-01 +/- 3.60288816e+13
x_V127_Phase0   3.70852691e-01 +/- 3.41267550e+13
x_V12_Phase0    2.80939786e-01 +/- 3.29311526e+13
x_V131_Phase0   1.26066248e-01 +/- 2.29038831e+13
x_V132_Phase0   1.25738351e-01 +/- 2.08920059e+13
x_V138_Phase0   7.94761722e-01 +/- 4.32178526e+13
x_V140_Phase0   7.03897611e-01 +/- 4.71767556e+13
x_V141_Phase0   2.96083369e-01 +/- 3.79844662e+13
x_V144_Phase0   2.79287953e-02 +/- 5.18668366e+12
x_V146_Phase0   4.76366058e-01 +/- 3.55670753e+13
x_V147_Phase0   5.23622586e-01 +/- 3.57192113e+13
x_V148_Phase0   9.79953478e-01 +/- 2.90873431e+13
x_V149_Phase0   2.00389245e-02 +/- 3.90255987e+12
