Results written: Wed Mar 11 09:34:44 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01895148
Contributions  0.01893037
Restraints     0.00002111
Chi2           2.86505653
Reduced Chi2   0.00442822
Rw             0.13766231

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   1.00375006e-02 +/- 2.79636698e+12
Uiso_V_Phase0   2.97267966e-03 +/- 9.69147893e+11
Uiso_Zr_Phase0  1.86264358e-03 +/- 5.24270286e+11
a_Phase0        2.64310075e+01 +/- 7.44065011e+12
delta2_Phase0   2.55360625e+00 +/- 6.30874456e+14
psize_Phase0    1.97697406e+02 +/- 5.07856964e+13
s_Phase0        5.03907320e-01 +/- 4.39841682e+11
x_O0_Phase0     4.03980456e-02 +/- 1.26260291e+13
x_O100_Phase0   9.04882314e-01 +/- 4.65524357e+13
x_O101_Phase0   9.51679716e-02 +/- 2.60850893e+13
x_O102_Phase0   5.96774004e-01 +/- 4.68948422e+13
x_O103_Phase0   4.03225991e-01 +/- 4.52282030e+13
x_O120_Phase0   2.11254071e-02 +/- 6.16156821e+12
x_O121_Phase0   9.78876881e-01 +/- 4.78595171e+13
x_O122_Phase0   4.79614063e-01 +/- 4.53108510e+13
x_O123_Phase0   5.20385942e-01 +/- 4.59654448e+13
x_O124_Phase0   9.78815747e-01 +/- 4.69045324e+13
x_O125_Phase0   2.11842553e-02 +/- 6.15668591e+12
x_O126_Phase0   5.21437395e-01 +/- 4.54842020e+13
x_O127_Phase0   4.78562605e-01 +/- 4.55668849e+13
x_O144_Phase0   1.36877045e-01 +/- 3.54669194e+13
x_O145_Phase0   8.63122954e-01 +/- 4.86796781e+13
x_O146_Phase0   3.62517037e-01 +/- 4.48773068e+13
x_O147_Phase0   6.37482954e-01 +/- 4.75788726e+13
x_O148_Phase0   8.62923874e-01 +/- 4.80830623e+13
x_O149_Phase0   1.37076117e-01 +/- 2.98069894e+13
x_O150_Phase0   6.36330414e-01 +/- 4.75503477e+13
x_O151_Phase0   3.63502955e-01 +/- 4.48888450e+13
x_O168_Phase0   7.26607079e-02 +/- 2.02857697e+13
x_O169_Phase0   9.27339293e-01 +/- 4.74648149e+13
x_O170_Phase0   4.26266001e-01 +/- 4.52244558e+13
x_O171_Phase0   5.73733999e-01 +/- 4.63028378e+13
x_O172_Phase0   9.25158082e-01 +/- 4.68236305e+13
x_O173_Phase0   7.48418624e-02 +/- 2.24602570e+13
x_O174_Phase0   5.74968865e-01 +/- 4.96371694e+13
x_O175_Phase0   4.24632468e-01 +/- 4.44812938e+13
x_O181_Phase0   8.68664603e-01 +/- 5.04253714e+13
x_O182_Phase0   6.32232999e-01 +/- 4.87375563e+13
x_O189_Phase0   3.09126826e-01 +/- 4.53373004e+13
x_O192_Phase0   2.14236817e-02 +/- 6.35146673e+12
x_O193_Phase0   9.78605740e-01 +/- 4.84129862e+13
x_O194_Phase0   4.77839101e-01 +/- 4.60421468e+13
x_O195_Phase0   5.22160896e-01 +/- 4.69012377e+13
x_O196_Phase0   9.77691282e-01 +/- 4.79237793e+13
x_O197_Phase0   2.18968113e-02 +/- 6.77623118e+12
x_O198_Phase0   5.22849197e-01 +/- 4.71137021e+13
x_O199_Phase0   4.77150793e-01 +/- 4.70501926e+13
x_O1_Phase0     9.59601959e-01 +/- 4.84453745e+13
x_O205_Phase0   6.87435594e-01 +/- 4.93637268e+13
x_O218_Phase0   1.62525980e-01 +/- 3.46168142e+13
x_O219_Phase0   8.37474016e-01 +/- 4.77168337e+13
x_O224_Phase0   1.57948193e-01 +/- 3.35673394e+13
x_O225_Phase0   8.42051802e-01 +/- 4.71701759e+13
x_O226_Phase0   3.39038945e-01 +/- 4.59112880e+13
