Results written: Sat Mar 14 01:22:16 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02410423
Contributions  0.02257793
Restraints     0.00152630
Chi2           3.01821280
Reduced Chi2   0.01023123
Rw             0.15515391

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   1.26628294e-02 +/- 2.36291218e+11
Uiso_V_Phase0   4.55146637e-03 +/- 8.46648701e+10
Uiso_Zr_Phase0  4.46827537e-03 +/- 7.98541890e+10
a_Phase0        2.64162528e+01 +/- 8.25095020e+11
delta2_Phase0   2.55601192e+00 +/- 3.52279091e+13
psize_Phase0    1.52841194e+02 +/- 4.04906885e+12
s_Phase0        5.05490753e-01 +/- 4.90258617e+10
x_O0_Phase0     4.03657812e-02 +/- 7.23469788e+11
x_O100_Phase0   9.04947676e-01 +/- 4.58590801e+12
x_O101_Phase0   9.51371901e-02 +/- 1.72529154e+12
x_O102_Phase0   5.96956659e-01 +/- 3.71469475e+12
x_O120_Phase0   2.10586745e-02 +/- 3.83728636e+11
x_O122_Phase0   4.79781189e-01 +/- 3.55391860e+12
x_O124_Phase0   9.79019507e-01 +/- 3.99835517e+12
x_O126_Phase0   5.21258344e-01 +/- 3.75727953e+12
x_O144_Phase0   1.36835170e-01 +/- 2.04384440e+12
x_O146_Phase0   3.62535152e-01 +/- 3.72421908e+12
x_O148_Phase0   8.62942890e-01 +/- 4.09204566e+12
x_O150_Phase0   6.36348666e-01 +/- 4.42994242e+12
x_O151_Phase0   3.63486555e-01 +/- 3.98070988e+12
x_O168_Phase0   7.23967852e-02 +/- 1.38483951e+12
x_O170_Phase0   4.26539436e-01 +/- 3.51687212e+12
x_O172_Phase0   9.25726870e-01 +/- 4.26917897e+12
x_O174_Phase0   5.74961307e-01 +/- 4.62007957e+12
x_O175_Phase0   4.24643822e-01 +/- 4.10866194e+12
x_O181_Phase0   8.68642191e-01 +/- 4.83192528e+12
x_O182_Phase0   6.32219300e-01 +/- 4.53500686e+12
x_O189_Phase0   3.09123228e-01 +/- 3.80944258e+12
