Results written: Mon Feb 23 16:52:51 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01627904
Contributions  0.01362709
Restraints     0.00265195
Chi2           2.72268558
Reduced Chi2   0.00922944
Rw             0.12742888

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   6.02979885e-03 +/- 3.03752818e+11
Uiso_V_Phase0   9.14812635e-04 +/- 5.88179599e+10
Uiso_Zr_Phase0  5.89861272e-05 +/- 3.34652753e+09
a_Phase0        2.63654395e+01 +/- 8.17305833e+12
delta2_Phase0   2.54350046e+00 +/- 1.15470405e+14
psize_Phase0    1.66004589e+02 +/- 1.47040892e+13
s_Phase0        4.95371295e-01 +/- 4.63745575e+11
x_O0_Phase0     4.03631433e-02 +/- 2.42835391e+12
x_O100_Phase0   9.04958833e-01 +/- 1.43391407e+13
x_O101_Phase0   9.51249999e-02 +/- 5.11314857e+12
x_O102_Phase0   5.96865481e-01 +/- 1.28212997e+13
x_O120_Phase0   2.09528344e-02 +/- 1.07560449e+12
x_O122_Phase0   4.79776761e-01 +/- 1.25052626e+13
x_O124_Phase0   9.79129129e-01 +/- 1.37660865e+13
x_O126_Phase0   5.21190811e-01 +/- 1.22052733e+13
x_O144_Phase0   1.36848903e-01 +/- 7.02195635e+12
x_O146_Phase0   3.62550515e-01 +/- 1.16853713e+13
x_O148_Phase0   8.62914217e-01 +/- 1.35880484e+13
x_O150_Phase0   6.36376992e-01 +/- 1.42725941e+13
x_O151_Phase0   3.63457759e-01 +/- 1.23393833e+13
x_O168_Phase0   7.23463712e-02 +/- 4.16796901e+12
x_O170_Phase0   4.26537748e-01 +/- 1.23465234e+13
x_O172_Phase0   9.25804781e-01 +/- 1.42105634e+13
x_O174_Phase0   5.74942695e-01 +/- 1.39379700e+13
x_O175_Phase0   4.24698433e-01 +/- 1.29332890e+13
x_O181_Phase0   8.68650816e-01 +/- 1.48655441e+13
x_O182_Phase0   6.32187653e-01 +/- 1.43401782e+13
x_O189_Phase0   3.09108024e-01 +/- 1.18509222e+13
x_O192_Phase0   2.14541371e-02 +/- 1.21592393e+12
x_O193_Phase0   9.78612621e-01 +/- 1.48447728e+13
x_O194_Phase0   4.77969937e-01 +/- 1.26975629e+13
x_O196_Phase0   9.77752228e-01 +/- 1.46735381e+13
x_O197_Phase0   2.18790588e-02 +/- 1.50822659e+12
x_O198_Phase0   5.22721308e-01 +/- 1.34192698e+13
x_O205_Phase0   6.87346753e-01 +/- 1.45270881e+13
x_O218_Phase0   1.62767226e-01 +/- 8.28222095e+12
x_O224_Phase0   1.58360448e-01 +/- 7.11548084e+12
x_O226_Phase0   3.38931411e-01 +/- 1.24376240e+13
x_O228_Phase0   8.38751307e-01 +/- 1.47674875e+13
x_O230_Phase0   6.59031405e-01 +/- 1.30535416e+13
x_O234_Phase0   1.87818246e-03 +/- 1.02248753e+11
x_O236_Phase0   9.97672613e-01 +/- 1.42820749e+13
x_O248_Phase0   1.64065429e-01 +/- 8.08695646e+12
x_O24_Phase0    2.28958902e-02 +/- 1.31057850e+12
x_O250_Phase0   3.37441792e-01 +/- 1.25050946e+13
x_O251_Phase0   6.62463050e-01 +/- 1.41883330e+13
x_O252_Phase0   8.34731155e-01 +/- 1.36152072e+13
x_O254_Phase0   6.63164525e-01 +/- 1.32031533e+13
x_O26_Phase0    4.76018759e-01 +/- 1.29457586e+13
x_O272_Phase0   1.12257204e-02 +/- 6.81456464e+11
x_O274_Phase0   4.88512621e-01 +/- 1.25657891e+13
x_O276_Phase0   9.88376395e-01 +/- 1.36117210e+13
x_O278_Phase0   5.11994022e-01 +/- 1.25380332e+13
x_O28_Phase0    9.76090104e-01 +/- 1.41817363e+13
x_O296_Phase0   5.66297132e-03 +/- 2.70412331e+11
x_O298_Phase0   4.96555965e-01 +/- 1.25294924e+13
x_O2_Phase0     4.60214860e-01 +/- 1.25160928e+13
x_O300_Phase0   9.95248639e-01 +/- 1.39241125e+13
x_O302_Phase0   5.05876934e-01 +/- 1.28853445e+13
x_O30_Phase0    5.23628376e-01 +/- 1.28220193e+13
x_O320_Phase0   3.58359229e-01 +/- 1.22953630e+13
x_O322_Phase0   1.41744442e-01 +/- 6.89817121e+12
x_O324_Phase0   6.41110577e-01 +/- 1.33657558e+13
x_O326_Phase0   8.58608264e-01 +/- 1.39619013e+13
x_O328_Phase0   4.37666139e-01 +/- 1.30506556e+13
x_O344_Phase0   1.07894543e-02 +/- 6.17176505e+11
x_O346_Phase0   4.89451258e-01 +/- 1.30989759e+13
x_O348_Phase0   9.88727783e-01 +/- 1.36779853e+13
x_O350_Phase0   5.09188933e-01 +/- 1.27378788e+13
x_O368_Phase0   2.35599471e-01 +/- 9.97055194e+12
x_O370_Phase0   2.64674220e-01 +/- 1.10161769e+13
x_O372_Phase0   7.67127228e-01 +/- 1.36546608e+13
x_O374_Phase0   7.32509933e-01 +/- 1.34821208e+13
x_O392_Phase0   2.83631404e-01 +/- 1.07640534e+13
x_O394_Phase0   2.16464802e-01 +/- 9.21695846e+12
x_O396_Phase0   7.18406256e-01 +/- 1.35029496e+13
x_O398_Phase0   7.83109102e-01 +/- 1.32003822e+13
x_O416_Phase0   1.91298740e-01 +/- 8.35820873e+12
