Results written: Sun Mar 22 12:18:37 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.03575706
Contributions  0.03565702
Restraints     0.00010004
Chi2           3.87064093
Reduced Chi2   0.01312082
Rw             0.18908906

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   1.58116513e-02 +/- 1.38962346e+12
Uiso_V_Phase0   5.73555795e-03 +/- 4.88162690e+11
Uiso_Zr_Phase0  6.65450852e-03 +/- 6.04479392e+11
a_Phase0        2.64047249e+01 +/- 3.87913876e+12
delta2_Phase0   2.55392478e+00 +/- 4.87684770e+13
psize_Phase0    1.31953607e+02 +/- 1.25393118e+13
s_Phase0        5.05834542e-01 +/- 2.29986279e+11
x_O0_Phase0     4.03747361e-02 +/- 3.38920946e+12
x_O100_Phase0   9.04963662e-01 +/- 2.15866468e+13
x_O101_Phase0   9.51212160e-02 +/- 8.76284699e+12
x_O102_Phase0   5.96918286e-01 +/- 1.88138863e+13
x_O120_Phase0   2.09757873e-02 +/- 1.97139708e+12
x_O122_Phase0   4.79801731e-01 +/- 1.68255609e+13
x_O124_Phase0   9.79111342e-01 +/- 1.91575961e+13
x_O126_Phase0   5.21193593e-01 +/- 1.76583071e+13
x_O144_Phase0   1.36883275e-01 +/- 1.10246750e+13
x_O146_Phase0   3.62521015e-01 +/- 1.71603477e+13
x_O148_Phase0   8.62892112e-01 +/- 1.90976113e+13
x_O150_Phase0   6.36403207e-01 +/- 2.12386286e+13
x_O151_Phase0   3.63433420e-01 +/- 1.88552403e+13
x_O168_Phase0   7.22997385e-02 +/- 6.42363601e+12
x_O170_Phase0   4.26558375e-01 +/- 1.69918990e+13
x_O172_Phase0   9.25795461e-01 +/- 2.04768846e+13
x_O174_Phase0   5.74948040e-01 +/- 2.17778314e+13
x_O175_Phase0   4.24691641e-01 +/- 1.91250115e+13
x_O181_Phase0   8.68645202e-01 +/- 2.25345619e+13
x_O182_Phase0   6.32199025e-01 +/- 2.14040659e+13
x_O189_Phase0   3.09112425e-01 +/- 1.87129773e+13
x_O192_Phase0   2.14247724e-02 +/- 1.89091865e+12
x_O193_Phase0   9.78616669e-01 +/- 2.18209717e+13
x_O194_Phase0   4.78012569e-01 +/- 1.83658644e+13
x_O196_Phase0   9.77770058e-01 +/- 2.18667694e+13
x_O197_Phase0   2.18733728e-02 +/- 2.09852641e+12
x_O198_Phase0   5.22700870e-01 +/- 1.88859105e+13
x_O205_Phase0   6.87341663e-01 +/- 2.18826658e+13
