Results written: Mon Mar 23 12:21:18 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.03408042
Contributions  0.03149704
Restraints     0.00258339
Chi2           3.66099729
Reduced Chi2   0.01241016
Rw             0.18444056

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   1.61565311e-02 +/- 2.07202444e+12
Uiso_V_Phase0   5.23124056e-03 +/- 7.78335190e+11
Uiso_Zr_Phase0  6.10276942e-03 +/- 8.57375832e+11
a_Phase0        2.64035172e+01 +/- 6.78343287e+12
delta2_Phase0   2.53044296e+00 +/- 1.40439212e+14
psize_Phase0    1.30862504e+02 +/- 1.83841191e+13
s_Phase0        5.06679529e-01 +/- 3.96112542e+11
x_O0_Phase0     4.03564420e-02 +/- 5.73604637e+12
x_O100_Phase0   9.04938724e-01 +/- 3.71596979e+13
x_O101_Phase0   9.51462615e-02 +/- 1.24396532e+13
x_O102_Phase0   5.96866294e-01 +/- 3.15995238e+13
x_O120_Phase0   2.09760226e-02 +/- 3.31101623e+12
x_O122_Phase0   4.79775937e-01 +/- 2.93145969e+13
x_O124_Phase0   9.79082565e-01 +/- 3.29981272e+13
x_O126_Phase0   5.21208693e-01 +/- 3.13522785e+13
x_O144_Phase0   1.36830941e-01 +/- 2.10025609e+13
x_O146_Phase0   3.62550039e-01 +/- 2.96262050e+13
x_O148_Phase0   8.62965834e-01 +/- 3.36256777e+13
x_O150_Phase0   6.36345531e-01 +/- 3.56565796e+13
x_O151_Phase0   3.63490809e-01 +/- 3.19831717e+13
x_O168_Phase0   7.25309595e-02 +/- 9.93003417e+12
x_O170_Phase0   4.26421085e-01 +/- 2.85526706e+13
x_O172_Phase0   9.25950977e-01 +/- 3.57215472e+13
x_O174_Phase0   5.74963145e-01 +/- 3.75311456e+13
x_O175_Phase0   4.24636520e-01 +/- 3.31098662e+13
x_O181_Phase0   8.68624814e-01 +/- 3.91826590e+13
x_O182_Phase0   6.32229998e-01 +/- 3.66736727e+13
x_O189_Phase0   3.09115074e-01 +/- 3.07246098e+13
x_O192_Phase0   2.14147764e-02 +/- 2.83359006e+12
x_O193_Phase0   9.78624988e-01 +/- 3.83679726e+13
x_O194_Phase0   4.77968062e-01 +/- 3.14445539e+13
x_O196_Phase0   9.77733416e-01 +/- 3.81334693e+13
x_O197_Phase0   2.18845908e-02 +/- 3.31187544e+12
x_O198_Phase0   5.22728829e-01 +/- 3.22903761e+13
x_O205_Phase0   6.87374786e-01 +/- 3.78390351e+13
x_O218_Phase0   1.62713211e-01 +/- 1.95142666e+13
x_O224_Phase0   1.58208199e-01 +/- 1.89137986e+13
x_O226_Phase0   3.38988326e-01 +/- 3.07245311e+13
x_O228_Phase0   8.38805568e-01 +/- 3.80577630e+13
x_O230_Phase0   6.58904086e-01 +/- 3.24980462e+13
x_O234_Phase0   1.92532781e-03 +/- 2.81637990e+11
x_O236_Phase0   9.97591594e-01 +/- 3.69761322e+13
x_O248_Phase0   1.63996929e-01 +/- 2.07253619e+13
x_O24_Phase0    2.29623159e-02 +/- 3.31250522e+12
x_O250_Phase0   3.37498383e-01 +/- 3.14394561e+13
x_O251_Phase0   6.62403569e-01 +/- 3.64354415e+13
x_O252_Phase0   8.35318943e-01 +/- 3.28903799e+13
x_O254_Phase0   6.63365261e-01 +/- 3.26607932e+13
x_O26_Phase0    4.75936613e-01 +/- 3.24300405e+13
x_O272_Phase0   1.12118685e-02 +/- 1.57922393e+12
x_O274_Phase0   4.88487681e-01 +/- 3.08555920e+13
x_O276_Phase0   9.88310014e-01 +/- 3.24580944e+13
