Results written: Thu Mar 26 10:21:09 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.03495246
Contributions  0.03493367
Restraints     0.00001879
Chi2           3.68341169
Reduced Chi2   0.00084696
Rw             0.18694869

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   1.88016408e-02 +/- 4.91393462e+12
Uiso_V_Phase0   5.57440919e-03 +/- 1.29014847e+12
Uiso_Zr_Phase0  6.69893672e-03 +/- 1.57490864e+12
a_Phase0        2.63999077e+01 +/- 3.30945816e+12
delta2_Phase0   2.61113309e+00 +/- 1.13940383e+14
psize_Phase0    1.58187386e+02 +/- 2.88281574e+13
s_Phase0        4.93619077e-01 +/- 2.34840809e+11
x_O0_Phase0     4.03476867e-02 +/- 1.67694528e+13
x_O100_Phase0   9.04906818e-01 +/- 2.98989147e+13
x_O101_Phase0   9.51782887e-02 +/- 2.52298677e+13
x_O102_Phase0   5.96733922e-01 +/- 3.03546225e+13
x_O103_Phase0   4.03263199e-01 +/- 3.00366164e+13
x_O104_Phase0   3.53385106e-01 +/- 3.01219065e+13
x_O105_Phase0   6.46613796e-01 +/- 3.00918312e+13
x_O106_Phase0   8.52075735e-01 +/- 3.02098101e+13
x_O107_Phase0   1.47922517e-01 +/- 2.77862151e+13
x_O108_Phase0   1.46206100e-01 +/- 2.79094147e+13
x_O109_Phase0   8.53790904e-01 +/- 3.01499625e+13
x_O10_Phase0    5.89972400e-01 +/- 3.00775210e+13
x_O110_Phase0   6.46653009e-01 +/- 3.01913871e+13
x_O111_Phase0   3.53346045e-01 +/- 2.98973489e+13
x_O112_Phase0   3.70886878e-01 +/- 2.99583139e+13
x_O113_Phase0   6.29112416e-01 +/- 3.01019976e+13
x_O114_Phase0   6.30027119e-01 +/- 3.02451864e+13
x_O115_Phase0   3.69974231e-01 +/- 3.01583548e+13
x_O116_Phase0   8.71816009e-01 +/- 3.03133050e+13
x_O117_Phase0   1.28158678e-01 +/- 2.78051617e+13
x_O118_Phase0   1.29377358e-01 +/- 2.76779758e+13
x_O119_Phase0   8.70621193e-01 +/- 3.02621451e+13
x_O11_Phase0    4.10028093e-01 +/- 2.99607856e+13
x_O120_Phase0   2.09720769e-02 +/- 1.00646390e+13
x_O121_Phase0   9.79029594e-01 +/- 3.01258364e+13
x_O122_Phase0   4.79898657e-01 +/- 2.98745924e+13
x_O123_Phase0   5.20270191e-01 +/- 2.98481408e+13
x_O124_Phase0   9.79088554e-01 +/- 3.35154204e+13
x_O125_Phase0   2.09311527e-02 +/- 8.71880299e+12
x_O126_Phase0   5.21220027e-01 +/- 2.99539966e+13
x_O127_Phase0   4.78779703e-01 +/- 3.01391019e+13
x_O128_Phase0   3.77729817e-01 +/- 3.00203211e+13
x_O129_Phase0   6.22269621e-01 +/- 3.03283238e+13
x_O12_Phase0    4.10592272e-01 +/- 2.97748113e+13
x_O130_Phase0   8.88352750e-01 +/- 2.94445689e+13
x_O131_Phase0   1.11521534e-01 +/- 2.61229708e+13
x_O132_Phase0   1.21854065e-01 +/- 2.69654166e+13
x_O133_Phase0   8.78169116e-01 +/- 3.01978451e+13
x_O134_Phase0   6.22072021e-01 +/- 3.02230284e+13
x_O135_Phase0   3.77927154e-01 +/- 2.98654260e+13
x_O136_Phase0   4.33788915e-01 +/- 2.98583153e+13
x_O137_Phase0   5.66211579e-01 +/- 3.00068234e+13
x_O138_Phase0   5.73898388e-01 +/- 2.91282797e+13
x_O139_Phase0   4.26104993e-01 +/- 2.92083241e+13
x_O13_Phase0    5.89407292e-01 +/- 2.99752408e+13
x_O140_Phase0   9.34238646e-01 +/- 3.01313045e+13
x_O141_Phase0   6.57610690e-02 +/- 2.16464955e+13
x_O142_Phase0   6.53665276e-02 +/- 2.22805270e+13
x_O143_Phase0   9.34634784e-01 +/- 3.01882389e+13
x_O144_Phase0   1.36838667e-01 +/- 2.81029602e+13
x_O145_Phase0   8.63161715e-01 +/- 3.03012061e+13
x_O146_Phase0   3.62544365e-01 +/- 2.98925546e+13
x_O147_Phase0   6.37453612e-01 +/- 3.01793275e+13
x_O148_Phase0   8.62962407e-01 +/- 3.02421977e+13
x_O149_Phase0   1.37035585e-01 +/- 2.81025191e+13
x_O14_Phase0    9.11152140e-01 +/- 3.00496532e+13
x_O150_Phase0   6.36340038e-01 +/- 3.01944744e+13
x_O151_Phase0   3.63492722e-01 +/- 3.25199978e+13
x_O152_Phase0   3.63463467e-01 +/- 2.99150569e+13
x_O153_Phase0   6.36536905e-01 +/- 3.00912392e+13
x_O154_Phase0   8.63354400e-01 +/- 3.01973035e+13
x_O155_Phase0   1.36643394e-01 +/- 2.78688630e+13
x_O156_Phase0   1.35214443e-01 +/- 2.74482543e+13
x_O157_Phase0   8.64786264e-01 +/- 3.01846151e+13
x_O158_Phase0   6.36549494e-01 +/- 3.02478463e+13
x_O159_Phase0   3.63518917e-01 +/- 2.98502044e+13
x_O15_Phase0    8.88462079e-02 +/- 2.52568094e+13
x_O160_Phase0   2.71093940e-01 +/- 2.95001801e+13
x_O161_Phase0   7.28905620e-01 +/- 2.99632451e+13
x_O162_Phase0   7.28806303e-01 +/- 3.02524438e+13
x_O163_Phase0   2.71189442e-01 +/- 2.94875263e+13
x_O164_Phase0   7.69446635e-01 +/- 3.02002833e+13
x_O165_Phase0   2.30552709e-01 +/- 2.88757230e+13
x_O166_Phase0   2.28696297e-01 +/- 2.90674189e+13
x_O167_Phase0   7.71404913e-01 +/- 3.05558687e+13
x_O168_Phase0   7.26820118e-02 +/- 2.47785065e+13
x_O169_Phase0   9.27318172e-01 +/- 3.02037209e+13
x_O16_Phase0    3.47447338e-01 +/- 2.96545560e+13
x_O170_Phase0   4.26282366e-01 +/- 2.99214216e+13
x_O171_Phase0   5.73718955e-01 +/- 3.00459539e+13
x_O172_Phase0   9.25745656e-01 +/- 3.01104186e+13
x_O173_Phase0   7.42433509e-02 +/- 2.37358669e+13
x_O174_Phase0   5.74962469e-01 +/- 3.01062273e+13
x_O175_Phase0   4.24636115e-01 +/- 2.98011253e+13
x_O176_Phase0   3.67608527e-01 +/- 2.98660247e+13
x_O177_Phase0   6.32392263e-01 +/- 3.01180404e+13
x_O178_Phase0   8.67339957e-01 +/- 3.02391584e+13
x_O179_Phase0   1.32660151e-01 +/- 2.73743334e+13
x_O17_Phase0    6.52553487e-01 +/- 3.00828947e+13
x_O180_Phase0   1.31414734e-01 +/- 2.70983281e+13
x_O181_Phase0   8.68628737e-01 +/- 3.02416777e+13
x_O182_Phase0   6.32255233e-01 +/- 3.02324433e+13
x_O183_Phase0   3.67493624e-01 +/- 3.02666575e+13
x_O184_Phase0   1.90015835e-01 +/- 3.01033577e+13
x_O185_Phase0   8.09985403e-01 +/- 3.02078710e+13
x_O186_Phase0   8.09661526e-01 +/- 3.02333030e+13
x_O187_Phase0   1.90337993e-01 +/- 2.88976609e+13
x_O188_Phase0   6.90699103e-01 +/- 3.02120513e+13
x_O189_Phase0   3.09131971e-01 +/- 2.98150532e+13
x_O18_Phase0    6.51904702e-01 +/- 3.00513663e+13
x_O190_Phase0   3.08957126e-01 +/- 2.95017803e+13
x_O191_Phase0   6.90773126e-01 +/- 3.00951134e+13
x_O192_Phase0   2.13733539e-02 +/- 9.98812724e+12
x_O193_Phase0   9.78614988e-01 +/- 3.03280720e+13
x_O194_Phase0   4.77925978e-01 +/- 2.99492072e+13
x_O195_Phase0   5.22073324e-01 +/- 3.00102310e+13
x_O196_Phase0   9.77728200e-01 +/- 3.02371290e+13
x_O197_Phase0   2.18863911e-02 +/- 1.07040916e+13
