Results written: Sun Mar  1 15:32:38 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01236317
Contributions  0.01236317
Restraints     0.00000000
Chi2           2.30948967
Reduced Chi2   0.00345732
Rw             0.11118980

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   6.59012115e-03 +/- 4.07316242e+11
Uiso_V_Phase0   1.08714784e-03 +/- 6.26347905e+10
Uiso_Zr_Phase0  4.65204115e-05 +/- 2.65096373e+09
a_Phase0        2.64155926e+01 +/- 4.98816910e+12
delta2_Phase0   2.41128293e+00 +/- 1.19448672e+14
psize_Phase0    2.19460984e+02 +/- 1.02768960e+13
s_Phase0        5.05699033e-01 +/- 2.96479338e+11
x_O0_Phase0     4.03834964e-02 +/- 2.52772265e+12
x_O100_Phase0   9.04956156e-01 +/- 9.48498054e+12
x_O101_Phase0   9.51414555e-02 +/- 5.18828763e+12
x_O102_Phase0   5.96897807e-01 +/- 9.57152589e+12
x_O103_Phase0   4.03100958e-01 +/- 9.34024947e+12
x_O120_Phase0   2.09760639e-02 +/- 1.27428288e+12
x_O121_Phase0   9.79024096e-01 +/- 9.88129480e+12
x_O122_Phase0   4.79791192e-01 +/- 9.42734318e+12
x_O123_Phase0   5.20208775e-01 +/- 9.53573214e+12
x_O124_Phase0   9.79118135e-01 +/- 9.87487473e+12
x_O125_Phase0   2.08818147e-02 +/- 1.40787443e+12
x_O126_Phase0   5.21192668e-01 +/- 9.57664519e+12
x_O127_Phase0   4.78807334e-01 +/- 9.45472975e+12
x_O144_Phase0   1.36902649e-01 +/- 6.19161672e+12
x_O145_Phase0   8.63097266e-01 +/- 9.84429794e+12
x_O146_Phase0   3.62512463e-01 +/- 9.37137708e+12
x_O147_Phase0   6.37486972e-01 +/- 9.71607185e+12
x_O148_Phase0   8.62869085e-01 +/- 9.80784633e+12
x_O149_Phase0   1.37130629e-01 +/- 6.41416761e+12
x_O150_Phase0   6.36418801e-01 +/- 9.65956482e+12
x_O151_Phase0   3.63418026e-01 +/- 8.89170224e+12
x_O168_Phase0   7.22602879e-02 +/- 3.96390968e+12
x_O169_Phase0   9.27739775e-01 +/- 9.92293538e+12
x_O170_Phase0   4.26567804e-01 +/- 9.37889299e+12
x_O171_Phase0   5.73432271e-01 +/- 9.52145928e+12
x_O172_Phase0   9.25829595e-01 +/- 9.67625888e+12
x_O173_Phase0   7.41753810e-02 +/- 4.09912492e+12
x_O174_Phase0   5.74942278e-01 +/- 9.84998160e+12
x_O175_Phase0   4.24713786e-01 +/- 9.05355764e+12
x_O181_Phase0   8.68648462e-01 +/- 1.00740023e+13
x_O182_Phase0   6.32187186e-01 +/- 9.85214243e+12
x_O189_Phase0   3.09109952e-01 +/- 8.90425746e+12
x_O192_Phase0   2.14335361e-02 +/- 1.19572248e+12
x_O193_Phase0   9.78607229e-01 +/- 9.97257732e+12
x_O194_Phase0   4.78012853e-01 +/- 9.58295731e+12
x_O195_Phase0   5.21987188e-01 +/- 9.70628476e+12
x_O196_Phase0   9.77777188e-01 +/- 9.87653489e+12
x_O197_Phase0   2.18686662e-02 +/- 1.34474249e+12
x_O198_Phase0   5.22704007e-01 +/- 9.63702976e+12
x_O199_Phase0   4.77295898e-01 +/- 9.58054820e+12
x_O1_Phase0     9.59616571e-01 +/- 9.88520923e+12
x_O205_Phase0   6.87326575e-01 +/- 9.89181538e+12
x_O218_Phase0   1.62755599e-01 +/- 6.89777856e+12
x_O219_Phase0   8.37244300e-01 +/- 9.86243826e+12
x_O224_Phase0   1.58395876e-01 +/- 6.95718524e+12
x_O225_Phase0   8.41604182e-01 +/- 9.69545279e+12
x_O226_Phase0   3.38932094e-01 +/- 9.22760373e+12
x_O227_Phase0   6.61067915e-01 +/- 9.88589587e+12
x_O228_Phase0   8.38750060e-01 +/- 1.00516652e+13
x_O229_Phase0   1.61250025e-01 +/- 7.13040027e+12
x_O230_Phase0   6.59026086e-01 +/- 9.63536678e+12
x_O231_Phase0   3.40973994e-01 +/- 9.04360092e+12
x_O234_Phase0   1.88503942e-03 +/- 1.07952198e+11
x_O235_Phase0   9.98114920e-01 +/- 9.99093757e+12
x_O236_Phase0   9.97671525e-01 +/- 1.00007012e+13
x_O237_Phase0   2.32855934e-03 +/- 1.55915095e+11
x_O248_Phase0   1.64078124e-01 +/- 7.18283645e+12
x_O249_Phase0   8.35922022e-01 +/- 9.81406188e+12
x_O24_Phase0    2.28691876e-02 +/- 1.31818104e+12
x_O250_Phase0   3.37439970e-01 +/- 9.09563479e+12
x_O251_Phase0   6.62463885e-01 +/- 9.66721943e+12
x_O252_Phase0   8.34755358e-01 +/- 9.75838345e+12
x_O253_Phase0   1.65238117e-01 +/- 7.32401209e+12
x_O254_Phase0   6.63277032e-01 +/- 9.60325174e+12
x_O255_Phase0   3.36723003e-01 +/- 8.89534764e+12
x_O25_Phase0    9.77130662e-01 +/- 9.91980773e+12
x_O26_Phase0    4.76066808e-01 +/- 9.53150820e+12
x_O272_Phase0   1.12476563e-02 +/- 7.33791473e+11
x_O273_Phase0   9.88752325e-01 +/- 9.75159749e+12
x_O274_Phase0   4.88501668e-01 +/- 9.38002906e+12
x_O275_Phase0   5.11498142e-01 +/- 9.56415985e+12
x_O276_Phase0   9.88335823e-01 +/- 9.71912098e+12
x_O277_Phase0   1.16642432e-02 +/- 7.78971626e+11
x_O278_Phase0   5.11983311e-01 +/- 9.43336604e+12
x_O279_Phase0   4.88016560e-01 +/- 9.39268517e+12
x_O27_Phase0    5.23933387e-01 +/- 9.62706777e+12
x_O28_Phase0    9.76156421e-01 +/- 9.93999341e+12
x_O296_Phase0   5.63158247e-03 +/- 3.37076322e+11
x_O297_Phase0   9.94368548e-01 +/- 9.88564460e+12
x_O298_Phase0   4.96595942e-01 +/- 9.46738061e+12
x_O299_Phase0   5.03404260e-01 +/- 9.41719080e+12
x_O29_Phase0    2.38434909e-02 +/- 1.41146466e+12
x_O2_Phase0     4.60202131e-01 +/- 9.38581736e+12
x_O300_Phase0   9.95281795e-01 +/- 9.89129724e+12
x_O301_Phase0   4.71876608e-03 +/- 3.10164702e+11
x_O302_Phase0   5.05805707e-01 +/- 9.52511809e+12
x_O303_Phase0   4.94194105e-01 +/- 9.54876522e+12
